regime,exp,width,seed,base_run_id,t_int,h,n_treated,treated_frac,n_guard_fallback,treated_hash,pre_dead_frac,pre_eval_loss,s3_posonly_cos_err_f64,s3_posonly_norm_relerr_f64,s3_dironly_norm_relerr_f64,s3_dironly_cos_g_f64,s3_full_exact_f64,s3_guard_full_exact_f64,s3_posonly_cos_err_f32,s3_posonly_norm_relerr_f32,s3_dironly_norm_relerr_f32,s3_dironly_cos_g_f32,s3_full_exact_f32,s3_guard_full_exact_f32,s3_readout_zero_ok,s3_bias_ok,s3_untreated_hash_ok,s3_pass
B,B,20,0,B_w20_K100_c0.0_lr0.01_s0,500000,20,19,0.949999988079071,0,a3fd5563a720a0f87b5231f3cace072cd95b1c47a9fb6a567b8f18c21203db55,0.949999988079071,0.566508412361145,2.220446049250313e-16,1.8168199180995096e-16,3.0765033219438983e-16,2.220446049250313e-16,0.0,0.0,5.551115123125783e-16,1.5181565037907567e-08,1.3596762490963874e-08,5.551115123125783e-16,0.0,0.0,True,True,True,True
B,B,20,1,B_w20_K100_c0.0_lr0.01_s1,500000,20,19,0.949999988079071,0,8f25841a76274ba05323c5b930408b0844fa49966ac30e5980d546c6a07f41ee,0.949999988079071,0.5481032729148865,4.440892098500626e-16,1.8092477058932622e-16,2.0162777500064244e-16,3.3306690738754696e-16,0.0,0.0,5.551115123125783e-16,1.9133540808847058e-08,1.606594364884633e-08,5.551115123125783e-16,0.0,0.0,True,True,True,True
B,B,20,2,B_w20_K100_c0.0_lr0.01_s2,500000,20,20,1.0,0,8a4f7ef2dd0356d0ccbc22cfc3b14e65b73db04bf7a26f9efb2198b2baa38fdb,1.0,0.7602908611297607,2.220446049250313e-16,1.9805533884927113e-16,2.2028759460524416e-16,2.220446049250313e-16,0.0,0.0,4.440892098500626e-16,3.11633230496464e-08,1.619359875455194e-08,4.440892098500626e-16,0.0,0.0,True,True,True,True
B,B,20,3,B_w20_K100_c0.0_lr0.01_s3,500000,20,18,0.8999999761581421,0,c91949446ad947f37386e525dad363ddd93a41943a05cd38326ed9a867bbbd88,0.8999999761581421,0.6646986603736877,2.220446049250313e-16,1.6616065829605211e-16,1.841185251016957e-16,2.220446049250313e-16,0.0,0.0,5.551115123125783e-16,1.600183201987094e-08,1.1743474246851442e-08,6.661338147750939e-16,0.0,0.0,True,True,True,True
B,B,20,4,B_w20_K100_c0.0_lr0.01_s4,500000,20,19,0.949999988079071,0,0bdb54c2dd6be658b208aeca47a8f5170b95b626cfe47c0849328b8618dd8f5f,0.949999988079071,0.6995468735694885,2.220446049250313e-16,1.8419118625187677e-16,1.9508702378158185e-16,3.3306690738754696e-16,0.0,0.0,6.661338147750939e-16,2.2493628319482157e-08,1.1316843811024706e-08,4.440892098500626e-16,0.0,0.0,True,True,True,True
B,B,20,5,B_w20_K100_c0.0_lr0.01_s5,500000,20,19,0.949999988079071,0,a3fd5563a720a0f87b5231f3cace072cd95b1c47a9fb6a567b8f18c21203db55,0.949999988079071,0.4801342785358429,2.220446049250313e-16,1.663767039879975e-16,1.8126959236449545e-16,2.220446049250313e-16,0.0,0.0,6.661338147750939e-16,1.7017932069839033e-08,2.049850304314241e-08,5.551115123125783e-16,0.0,0.0,True,True,True,True
B,B,20,6,B_w20_K100_c0.0_lr0.01_s6,500000,20,19,0.949999988079071,0,00329e3c9f242149b79b086b715c61cb9285b4d0640546c0c2430aad9a684869,0.949999988079071,0.5475780963897705,2.220446049250313e-16,1.8384875910120802e-16,2.1831524467171133e-16,2.220446049250313e-16,0.0,0.0,5.551115123125783e-16,1.6927142161234835e-08,1.3567507035776592e-08,4.440892098500626e-16,0.0,0.0,True,True,True,True
B,B,20,7,B_w20_K100_c0.0_lr0.01_s7,500000,20,18,0.8999999761581421,0,9c3c59b3b952dc9082585717b43f03257a46860a4b38e03350e899be35358e3d,0.8999999761581421,0.7084892392158508,4.440892098500626e-16,1.868249080301192e-16,2.5422395427360055e-16,2.220446049250313e-16,0.0,0.0,5.551115123125783e-16,1.5416572647935518e-08,1.8389056419134347e-08,6.661338147750939e-16,0.0,0.0,True,True,True,True
B,B,20,8,B_w20_K100_c0.0_lr0.01_s8,500000,20,19,0.949999988079071,0,16d0fcc4a11294ad2921980ced72befa0b940e4c29d701dd4545fda136101481,0.949999988079071,0.5312281847000122,2.220446049250313e-16,2.5043574498165673e-16,2.031613853045931e-16,4.440892098500626e-16,0.0,0.0,6.661338147750939e-16,1.3831856208106133e-08,1.6363175045902818e-08,6.661338147750939e-16,0.0,0.0,True,True,True,True
B,B,20,9,B_w20_K100_c0.0_lr0.01_s9,500000,20,19,0.949999988079071,0,16d0fcc4a11294ad2921980ced72befa0b940e4c29d701dd4545fda136101481,0.949999988079071,0.8680607676506042,2.220446049250313e-16,2.5410778867497687e-16,1.567943795172394e-16,2.220446049250313e-16,0.0,0.0,6.661338147750939e-16,1.800499292880983e-08,1.3292438382550972e-08,4.440892098500626e-16,0.0,0.0,True,True,True,True
