regime,seed,arm,base_run_id,treated_frac,n_treated,n_guard_fallback,M,M_late,n_eval_points,n_nan_points,n_late_points,n_nan_late
A,0,cont,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.39627391716127747,0.39279968899999984,501,0,100,0
A,0,dironly,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.1134393043036612,0.06484195372027583,501,0,100,0
A,0,full,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.1312911752771265,0.09068735124760359,501,0,100,0
A,0,none,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.39627391716127747,0.39279968899999984,501,0,100,0
A,0,posonly,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.20434431135403194,0.210084696085,501,0,100,0
A,1,cont,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.44576355501672055,0.13857319763377,501,0,100,0
A,1,dironly,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.14050696234339854,0.0979480021926668,501,0,100,0
A,1,full,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.12463874712525949,0.13941314323794998,501,0,100,0
A,1,none,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.44576355501672055,0.13857319763377,501,0,100,0
A,1,posonly,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.19630270765579813,0.060616596210948594,501,0,100,0
A,2,cont,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.24405637968131605,0.5324520969999998,501,0,100,0
A,2,dironly,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.054772132118126954,0.213237067,501,0,100,0
A,2,full,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.052651287261306204,0.1815493022,501,0,100,0
A,2,none,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.24405637968131605,0.5324520969999998,501,0,100,0
A,2,posonly,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.07363472024183443,0.24569137900000002,501,0,100,0
A,3,cont,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.6029871322554891,0.6482161599999999,501,0,100,0
A,3,dironly,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.19689781763713823,0.29723917450000004,501,0,100,0
A,3,full,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.15560167344051876,0.18442575590000004,501,0,100,0
A,3,none,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.6029871322554891,0.6482161599999999,501,0,100,0
A,3,posonly,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.3714260297141547,0.39173427550000006,501,0,100,0
