regime,kind,statistic,point,ci_lo,ci_hi
A,diff,D_dironly-D_posonly,0.06851093747600248,0.038157847770899166,0.10388605731846089
A,diff,D_full-D_dironly,0.01881256466135487,0.005472317081070754,0.0342021706033571
A,diff,D_full-D_posonly,0.08732350213735736,0.050190634186702714,0.1288041636897001
A,ratio,D_posonly/D_full,0.7035692638024456,0.6160248138349254,0.796849286399482
A,ratio,D_dironly/D_full,0.9361383561603192,0.8946217233083498,0.9792199112629251
B,diff,D_dironly-D_posonly,-0.007624324550898165,-0.024319557350299396,0.00977186487524953
B,diff,D_full-D_dironly,0.009441271656686645,-0.013130746152694597,0.03095299658682634
B,diff,D_full-D_posonly,0.0018169471057884802,-0.015138958622754457,0.018567888448103857
B,ratio,D_posonly/D_full,0.8630041998086277,,
B,ratio,D_dironly/D_full,0.288138569740795,,
