step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
500000,A_w100_T10000_std_lr0.01_s0_posflip,0,0.0650505,0.85,8.26259,5.45486,0.259554,0.554667,0.00141414,0.994449,27.7212,0.0358732,15.9029,0.280888,3.56014,3.56014,0,0.175204,-0.0554639,nan,0.208035,-1.10979,2.01975,-0.776971,-1.50883,0.064,0.86437,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s1_posflip,0,0.215758,0.98,3.89702,4.64266,0.264827,0.588101,0.000808081,0.106393,10.0529,0.0105834,16.6665,0.194739,5.13507,5.13507,0,0.383756,-0.00149384,nan,0.0213739,-0.206506,3.51299,2.18887,-1.26796,0.1665,0.988325,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s2_posflip,0,0.0820202,0.97,5.22959,4.88857,0.250686,0.585192,0.00040404,1.7281,29.2958,0.0589882,17.1167,0.18425,5.42741,5.42741,0,0.440399,-0.00802942,nan,0.0554186,-0.438197,2.57371,1.735,-1.40624,0.09,0.971,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s3_posflip,0,0.124444,0.96,5.07771,4.84768,0.261369,0.577939,0.000808081,0.370116,9.11358,0.0406115,16.7931,0.18706,5.34589,5.34589,0,0.354983,-0.0162975,nan,0.0830026,-0.55105,2.82751,1.71681,-1.4738,0.061,0.959035,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s4_posflip,0,0.210505,0.97,4.418,4.9415,0.253941,0.576768,0.00040404,0.492726,9.22436,0.0534157,16.6474,0.212912,4.69679,4.69679,0,0.745591,-0.00479585,nan,0.0355178,-0.343733,3.35685,2.01508,-1.46183,0.071,0.976975,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s5_posflip,0,0.0979798,0.92,5.99431,4.96277,0.242824,0.551636,0.00040404,0.772072,7.51998,0.102669,16.9797,0.236061,4.23619,4.23619,0,0.066336,-0.0116894,nan,0.0984125,-0.841325,2.52118,1.63881,-1.421,0.0585,0.93776,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s6_posflip,0,0.0563636,0.81,8.28821,4.96568,0.273513,0.551909,0.0010101,0.363765,36.608,0.00993676,16.0399,0.235526,4.24582,4.24582,0,0.220039,-0.0755053,nan,0.216069,-1.23182,1.62375,-0.944199,-1.61157,0.057,0.82667,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s7_posflip,0,0.111919,0.95,5.46897,4.7108,0.257176,0.586717,0.000606061,0.446406,17.6851,0.025242,17.1973,0.186283,5.36816,5.36816,0,0.218841,-0.00854978,nan,0.0487187,-0.420931,2.6759,1.57126,-1.05697,0.158,0.957735,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s8_posflip,0,0.030505,0.76,10.1636,5.35868,0.266982,0.523101,0.00040404,0.436085,15.0421,0.028991,16.3813,0.215865,4.63253,4.63253,0,0.120396,-0.13149,nan,0.294851,-1.22894,1.20171,-1.03766,-1.61087,0.0565,0.764695,nan,nan,0,nan
500000,A_w100_T10000_std_lr0.01_s9_posflip,0,0.170707,0.98,4.18648,4.69617,0.267894,0.588717,0.000606061,0.528527,38.7501,0.0136394,16.679,0.213819,4.67684,4.67684,0,1.18753,-8.25441e-05,nan,0.135202,-0.96014,3.10854,2.07519,-1.4789,0.072,0.98628,nan,nan,0,nan
501000,A_w100_T10000_std_lr0.01_s0_posflip,0.8,0.00040404,0.75,10.6421,4.05274,0.272973,0.584404,0.000808081,1.37261,46.5248,0.0295027,15.8004,0.278745,3.58751,2.16731,0.8,0.576054,-0.235967,-0.376817,0.228801,-1.53548,-0.26922,-1.41875,-21.3063,0,0.083395,0,nan,0.75,nan
501000,A_w100_T10000_std_lr0.01_s1_posflip,0.9,0,0.9,5.07619,2.26835,0.313479,0.652485,0.00424242,0.546662,26.2403,0.0208329,15.727,0.368675,2.71241,2.88802,0.9,0.413126,-0.100709,-0.404272,0.175487,-0.827736,0.098893,-1.30114,-22.1722,0,0.040735,0,nan,0.9,nan
501000,A_w100_T10000_std_lr0.01_s2_posflip,0.25,0.00444444,0.21,15.9462,5.93375,0.248056,0.553899,0.00020202,6.903,43.0871,0.16021,17.1249,0.186296,5.3678,4.98357,0.25,0.504227,-0.132092,-0.251638,0.0988284,-0.541625,-0.35289,-1.3748,-3.6141,0,0.27734,0,nan,0.21,nan
501000,A_w100_T10000_std_lr0.01_s3_posflip,0.92,0.00020202,0.9,4.31357,1.63566,0.345587,0.64795,0.0040404,0.0392034,1.82289,0.0215062,15.5643,0.405033,2.46893,1.57021,0.92,0.286151,-0.1767,-0.485966,0.194368,-0.968214,-0.43828,-1.34675,-20.7911,0,0.02938,0,nan,0.9,nan
501000,A_w100_T10000_std_lr0.01_s4_posflip,0.93,0,0.92,4.347,1.90285,0.586528,0.720778,0.0169697,1.95175,21.8731,0.0892307,12.792,0.707766,1.4129,1.98856,0.93,0.306429,-0.0988502,-0.801941,0.348053,-1.50232,-0.192353,-0.944916,-28.0494,0,0.02999,0,nan,0.92,nan
501000,A_w100_T10000_std_lr0.01_s5_posflip,0.85,0.00020202,0.81,7.93929,3.05195,0.317465,0.594737,0.00282828,0.526593,43.8832,0.0119999,15.7987,0.366831,2.72605,2.14586,0.85,0.531448,-0.11262,-0.435087,0.224007,-0.982481,-0.361021,-1.41134,-30.1806,0,0.0579,0,nan,0.81,nan
501000,A_w100_T10000_std_lr0.01_s6_posflip,0.51,0.00343434,0.41,15.7663,5.08892,0.263407,0.538919,0.00040404,0.71338,9.30131,0.0766967,16.2117,0.236417,4.22982,3.28804,0.51,0.155098,-0.190669,-0.360937,0.207052,-1.18044,-0.810101,-1.40537,-7.32616,0,0.11401,0,nan,0.41,nan
501000,A_w100_T10000_std_lr0.01_s7_posflip,0.77,0,0.75,8.28033,3.10046,0.283589,0.593384,0.00222222,0.208363,6.13463,0.033965,16.7157,0.303559,3.29425,3.06936,0.77,0.173773,-0.143083,-0.387498,0.179002,-0.961887,-0.55254,-1.50109,-11.5201,0,0.074515,0,nan,0.75,nan
501000,A_w100_T10000_std_lr0.01_s8_posflip,0.17,0.00787879,0.14,17.3015,6.07774,0.255221,0.516475,0.000606061,0.362312,5.48161,0.0660959,16.3779,0.21274,4.70057,3.97331,0.17,0.0952665,-0.175094,-0.719322,0.294321,-1.45505,-0.0148861,-1.00052,-3.45035,0,0.413145,0,nan,0.14,nan
501000,A_w100_T10000_std_lr0.01_s9_posflip,0.94,0.00020202,0.94,2.76418,1.96221,0.559378,0.709232,0.0220202,2.15519,60.882,0.0353994,11.822,0.79069,1.26472,2.16674,0.94,0.880579,-0.0737426,-0.8447,0.466278,-1.91761,0.385064,-1.37332,-24.8467,0,0.03074,0,nan,0.94,nan
502000,A_w100_T10000_std_lr0.01_s0_posflip,0.81,0.00040404,0.75,10.933,4.00169,0.273724,0.585505,0.000808081,3.88195,53.4663,0.0726056,15.7913,0.28123,3.5558,2.0689,0.81,0.538492,-0.246245,-0.374132,0.228936,-1.53548,-0.318791,-1.40675,-21.3063,0,0.07609,0,1,0.75,1
502000,A_w100_T10000_std_lr0.01_s1_posflip,0.9,0,0.9,5.99707,2.54558,0.313687,0.652434,0.00424242,0.176565,19.7384,0.00894525,15.6916,0.364559,2.74304,3.13277,0.9,0.23086,-0.0987069,-0.404272,0.175836,-0.827736,0.0508581,-1.11771,-22.1722,0,0.043115,0,1,0.9,1
502000,A_w100_T10000_std_lr0.01_s2_posflip,0.29,0.00363636,0.23,16.8191,6.31322,0.249868,0.554111,0.00040404,2.16788,14.4328,0.150205,17.0555,0.184793,5.41147,5.09327,0.29,0.124441,-0.130059,-0.245835,0.0968243,-0.526984,-0.327051,-1.26705,-3.6141,0,0.264915,0,1,0.23,1
