regime,seed,arm,base_run_id,treated_frac,n_treated,n_guard_fallback,M,M_late,n_eval_points,n_nan_points,n_late_points,n_nan_late
A,0,dirkeep,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.12612861825331237,0.0595887691735,501,0,100,0
A,0,posflip,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.23991646613388196,0.13580119683074854,501,0,100,0
A,0,vzero,A_w100_T10000_std_lr0.01_s0,0.8500000238418579,85,0,0.40869659860279445,0.412871001,501,0,100,0
A,1,dirkeep,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.22154196465500997,0.21618236242999994,501,0,100,0
A,1,posflip,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.3339298276149701,0.23460842935099996,501,0,100,0
A,1,vzero,A_w100_T10000_std_lr0.01_s1,0.9800000190734864,98,0,0.2927675364093518,0.02741137613906479,501,0,100,0
A,2,dirkeep,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.057414310943857315,0.21458678280000001,501,0,100,0
A,2,posflip,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.04764018385167097,0.18527508,501,0,100,0
A,2,vzero,A_w100_T10000_std_lr0.01_s2,0.9700000286102296,97,0,0.09990777599563307,0.18192666819999995,501,0,100,0
A,3,dirkeep,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.2307404523452076,0.19608113680000003,501,0,100,0
A,3,posflip,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.4095130451916167,0.3656316759999999,501,0,100,0
A,3,vzero,A_w100_T10000_std_lr0.01_s3,0.959999978542328,96,0,0.48614537657724555,0.424561731,501,0,100,0
A,4,dirkeep,A_w100_T10000_std_lr0.01_s4,0.9700000286102296,97,0,0.3421280538291231,0.398030707,501,0,100,0
A,4,posflip,A_w100_T10000_std_lr0.01_s4,0.9700000286102296,97,0,1.0599210788423155,1.07552707,501,0,100,0
A,4,vzero,A_w100_T10000_std_lr0.01_s4,0.9700000286102296,97,0,0.6038938569362096,0.47222441900000006,501,0,100,0
A,5,dirkeep,A_w100_T10000_std_lr0.01_s5,0.9200000166893004,92,0,0.018206582366364528,0.0129713065496,501,0,100,0
A,5,posflip,A_w100_T10000_std_lr0.01_s5,0.9200000166893004,92,0,0.1847888642215569,0.061187920300000004,501,0,100,0
A,5,vzero,A_w100_T10000_std_lr0.01_s5,0.9200000166893004,92,0,0.04791133983687179,0.037365580557999996,501,0,100,0
A,6,dirkeep,A_w100_T10000_std_lr0.01_s6,0.8100000023841858,81,0,0.0792066793630539,0.05385675707,501,0,100,0
A,6,posflip,A_w100_T10000_std_lr0.01_s6,0.8100000023841858,81,0,0.08864443577947449,0.213419037,501,0,100,0
A,6,vzero,A_w100_T10000_std_lr0.01_s6,0.8100000023841858,81,0,0.23206655740077844,0.36310856999999996,501,0,100,0
A,7,dirkeep,A_w100_T10000_std_lr0.01_s7,0.949999988079071,95,0,0.16447783595767107,0.2325184594,501,0,100,0
A,7,posflip,A_w100_T10000_std_lr0.01_s7,0.949999988079071,95,0,0.19804989536655845,0.36786464499999993,501,0,100,0
A,7,vzero,A_w100_T10000_std_lr0.01_s7,0.949999988079071,95,0,0.2520434920189421,0.18690206026300005,501,0,100,0
A,8,dirkeep,A_w100_T10000_std_lr0.01_s8,0.7599999904632568,76,0,0.182832625321856,0.3558170307,501,0,100,0
A,8,posflip,A_w100_T10000_std_lr0.01_s8,0.7599999904632568,76,0,0.1435353542300048,0.365532059494,501,0,100,0
A,8,vzero,A_w100_T10000_std_lr0.01_s8,0.7599999904632568,76,0,0.3451076512577345,0.38998551379000007,501,0,100,0
A,9,dirkeep,A_w100_T10000_std_lr0.01_s9,0.9800000190734864,98,0,0.09617918870428736,0.04862070702553576,501,0,100,0
A,9,posflip,A_w100_T10000_std_lr0.01_s9,0.9800000190734864,98,0,0.4984270899001996,0.7932267879999999,501,0,100,0
A,9,vzero,A_w100_T10000_std_lr0.01_s9,0.9800000190734864,98,0,0.3069417852728857,0.17042753618405906,501,0,100,0
