id,regime,statistic,point,ci_lo,ci_hi,threshold,result,n_seed,den_pos_frac,note
Q1,A,Δ_posflip − 0.9·Δ_dironly,-0.1419218444833524,-0.28314003505941476,-0.023543986165919125,CI下限>0でPASS、点推定のみ正でweak,FAIL,10,,主判定。新特徴を供給しない符号反転が dironly 便益の90%水準を再現するか。
Q2,A,Δ_dironly − Δ_posflip,0.16949890372951243,0.04826229678771442,0.3139867018833661,CI下限>0,PASS,10,,正なら新特徴に固有の残差寄与。
Q3,A,Δ_posflip − Δ_posonly,-0.10098796625350989,-0.24356519254537104,0.016702062719558146,CI下限>0,FAIL,10,,正ならマージン反転が操舵回復へ上乗せ。
Q4,A,Δ_vzero,0.11916011581446777,0.07664761021081766,0.160750294951917,報告のみ,report,10,,v←0 だけの共通床 V。判定には使わない。
Q4_floor_share,A,Δ_vzero / Δ_full,0.40450417117612747,0.2746327870989338,0.5393212429401119,報告のみ; 点推定>0.05なら本体比へ補正注記,report,10,1.0,共通床が full 便益に占める比。0.05を超えるため補正注記を要する。
Q5,A,(Δ_posonly−Δ_vzero)/(Δ_full−Δ_vzero),0.502211901663498,0.30687979500115153,0.6547280364029633,報告のみ; 正分母標本>0.95でCI報告,report,10,1.0,"床抜き ratio-of-means。分子 0.0881 CI [0.041966, 0.13124]; 分母 0.17542 CI [0.11401, 0.23694]; 正分母bootstrap標本 1.000。家内規約 >0.95 を満たしCI報告。"
Q5_posflip,A,(Δ_posflip−Δ_vzero)/(Δ_full−Δ_vzero),-0.07347054860208205,-0.7592393101065639,0.5778251896546576,報告のみ; 正分母標本>0.95でCI報告,report,10,1.0,"床抜き ratio-of-means。分子 -0.012888 CI [-0.13973, 0.095188]; 分母 0.17542 CI [0.11401, 0.23694]; 正分母bootstrap標本 1.000。家内規約 >0.95 を満たしCI報告。"
Q5_dironly,A,(Δ_dironly−Δ_vzero)/(Δ_full−Δ_vzero),0.8927588729449035,0.819550381386666,0.9678141498810374,報告のみ; 正分母標本>0.95でCI報告,report,10,1.0,"床抜き ratio-of-means。分子 0.15661 CI [0.1002, 0.21362]; 分母 0.17542 CI [0.11401, 0.23694]; 正分母bootstrap標本 1.000。家内規約 >0.95 を満たしCI報告。"
Q6,A,"posflip-treated の median Δcos(u, µ̂)",-0.627730841934681,-0.6754008748382331,-0.5838751436397434,報告のみ,report,10,,"seed別median [-0.6224, -0.64111, -0.51, -0.70758, -0.7904, -0.60322, -0.57577, -0.59243, -0.5703, -0.6641]。"
Q7,A,"vzero-treated の median Δcos(u, µ̂)",-0.00152394101023674,-0.024553890526294708,0.024097376652061936,報告のみ,report,10,,"seed別median [-0.01955, 0.09237, -0.00534, -0.01878, 0.00547, 0.01447, -0.0693, -0.00858, -0.02884, 0.02284]。"
Q8,A,Δ_dirkeep − Δ_dironly,-0.00094791079026178,-0.024133510865203305,0.019260851617054417,報告のみ,report,10,,dironly の b保持と dirkeep の b←0 の差。
