arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,l2,1,20,-0.2848948127868983,-1.1224042566781127,-0.415126081118677,0.5890817173337574,0.83701572499565,0.5903061178194021,-0.15171483399963337,-0.1877529958270884,0.03603816182745504
LR,l2,1,21,-0.20847597626089207,-0.8610247098398047,-0.3101661055715442,0.4948774594346162,0.810447543638828,0.47042505617244673,-0.14102796828762837,-0.1774107009350995,0.03638273264747113
LR,l2,1,22,-0.18303231912919485,-0.8754723818707024,-0.29185723217487913,0.5881558335291313,0.821424549547521,0.4823768705352914,-0.1296272318709861,-0.16688359988664614,0.03725636801565997
LR,l2,1,23,-0.175750644304945,-0.8974384413322161,-0.3058972598145568,0.7188291835796274,0.8058297181170253,0.4692556320538492,-0.09247936005183657,-0.1311815935583196,0.038702233506483025
LR,l2,1,24,-0.26206657519884535,-0.9121987268684031,-0.31625624640140976,0.5168260729226906,0.8690682601778471,0.5394442406938148,-0.09461836423484188,-0.13385956615783784,0.03924120192299597
LR,l2,1,25,-0.17452462639539426,-0.9780383844307406,-0.20159281906224386,0.5686630662343135,0.8130469190242828,0.48225868327859567,-0.11786394244964167,-0.1583401140637782,0.040476171614136545
LR,l2,1,26,-0.13548621104261677,-0.7132061636465177,-0.2845951029838516,0.7548662828496732,0.7910305314098867,0.43845646369470004,-0.07352964504584782,-0.11461469629713214,0.04108505125128431
LR,l2,1,27,-0.07386050054183152,-0.7627274789105456,-0.1448287008546332,0.7970515673042434,0.8194713387947569,0.4600873228397532,-0.05721838684003511,-0.10037352358144186,0.04315513674140675
LR,l2,1,28,-0.08736841387858582,-0.8612085150953903,-0.21007301444358287,0.8049016847096473,0.8097174126098144,0.4902037323769173,-0.060506687623271535,-0.10340764680498726,0.042900959181715735
LR,l2,1,29,-0.26966911369564384,-1.0073882446772602,-0.392698760265184,0.6374404039007007,0.7954473114005749,0.6132472107757172,-0.1057466885492703,-0.1498486299511659,0.0441019414018956
LR,l2,1,30,-0.16685709515686356,-0.8549507199848221,-0.285202991053508,0.6622075131992391,0.7725858361646429,0.5219852497377461,-0.09410640013825314,-0.13667077538396394,0.042564375245710835
LR,l2,1,31,-0.15222208770978593,-1.034775292116887,-0.24489954384640375,0.8581935510635781,0.7980869192670248,0.6255770474409565,-0.06655306065694551,-0.11070616912569044,0.0441531084687449
LR,l2,1,32,-0.2485010678506056,-1.0120504113652191,-0.3467662188760511,0.6895362825221778,0.8149323659086527,0.5728453611264175,-0.11839114075141467,-0.16188637222127497,0.0434952314698603
LR,l2,1,33,-0.14157232388673707,-0.9068144783378403,-0.18957506419204834,0.7845492465083518,0.8132768684397415,0.5020671602323619,-0.0729584195639907,-0.11654432989548495,0.04358591033149423
LR,l2,1,34,-0.16827628747828427,-0.9487734881370148,-0.17680846788280558,0.5751493538560334,0.8257357442842429,0.5017765633569272,-0.07858987560870416,-0.12330556297001721,0.04471568736131303
LR,l2,1,35,-0.07337854104225716,-0.783602188707236,-0.23530617326076503,0.772229553424037,0.8042123562762902,0.5294122138858798,-0.037953936854284914,-0.08386505597413114,0.045911119119846265
LR,l2,1,36,-0.16978875701791835,-0.8099980040757672,-0.27841498258631303,0.4108816151915215,0.8188827535252295,0.43856007319988083,-0.059304301624124235,-0.10662589581106634,0.047321594186942095
LR,l2,1,37,-0.1188599337032712,-0.7840731198623552,-0.24663985915254444,0.7943628811359137,0.8096939222587151,0.47942746196232483,-0.03957508567530419,-0.08850412464859651,0.04892903897329234
LR,l2,1,38,-0.1419723437075526,-0.9584484802534932,-0.23520808352706696,0.7876676633152575,0.8311977345806948,0.5509582021418628,-0.05268115995926117,-0.10175931591549224,0.04907815595623106
LR,l2,1,39,-0.12343754071515933,-0.7188775606198845,-0.24108377102964546,0.5443730804384479,0.8251935011895299,0.4596571838128224,-0.06259509935195637,-0.11190516494075382,0.04931006558879744
LR,l2,1,40,-0.046374500319298406,-0.8326809879252335,-0.09765488641624304,0.681422344176398,0.8476969079610225,0.5072888130348692,-0.03896956437475968,-0.08976396713265204,0.05079440275789238
LR,l2,1,41,-0.1797996998242172,-0.9194091789674685,-0.34587520215885514,0.791890724964916,0.8648468187589414,0.5926294861835602,-0.055529571241643774,-0.10617986936326189,0.05065029812161811
LR,l2,1,42,-0.24926590500421916,-1.055464654068934,-0.30974815905407527,0.5809603397076668,0.8605044959191125,0.5710956892277965,-0.08922405628227542,-0.1391822438022628,0.0499581875199874
LR,l2,1,43,-0.20059874577420886,-0.9831668913966997,-0.30516742324257023,0.7236300661180567,0.8485010362408194,0.5983440625351097,-0.08051202943753294,-0.12987747326203236,0.04936544382449938
LR,l2,1,44,-0.08780221454091498,-0.8324660414753319,-0.19170663875831886,0.7212378135877172,0.7896781813074994,0.5036402074421557,-0.03787187077856691,-0.08635711243138251,0.048485241652815605
LR,l2,1,45,-0.1538336979773122,-0.8733281844507859,-0.33066213922958887,0.7220486100083388,0.8215481496041712,0.5645728852010677,-0.048401798035464426,-0.09577961207132711,0.047377814035862685
LR,l2,1,46,-0.13167468887346787,-0.8330395941312446,-0.3047737862365595,0.8439096970114999,0.7775036015783716,0.5336504893080775,-0.05229981294857287,-0.0970482774934004,0.04474846454482759
LR,l2,1,47,-0.11301356577827454,-0.8226055534866532,-0.29531634154090436,0.7685763417509122,0.8010281738696358,0.5826758138523845,-0.03945527204861576,-0.08337756519100224,0.04392229314238648
LR,l2,1,48,-0.10695027639563882,-0.850187182762029,-0.15816609843378432,0.7490888706885657,0.8417386932178392,0.5051270901669743,-0.03800995993771143,-0.08065616450499298,0.04264620456728153
LR,l2,1,49,-0.18979161258129623,-1.0596063437642005,-0.31412172848930575,0.870800937042977,0.8213019667970848,0.6455178255988785,-0.0612961716228285,-0.1042622303782384,0.0429660587554099
LR,l2,1,50,-0.11771395471313603,-0.7928815193446849,-0.2937802294325156,0.8160271925604653,0.8484910480973863,0.48289773750127696,-0.053870020631212295,-0.09502364422681325,0.04115362359560095
LR,l2,1,51,-0.09440716710340329,-0.8713503219503568,-0.1192772582589296,0.602004495203143,0.8436198177402645,0.47767352765815174,-0.04476870283377477,-0.08515993038783902,0.04039122755406424
LR,l2,1,52,-0.0930993985912275,-0.871792357982362,-0.20681813258095963,0.6810460721439558,0.8040908413930073,0.5104660599263877,-0.031905987269884875,-0.07507536703297904,0.043169379763094186
LR,l2,1,53,-0.06896550225677033,-0.8421221392607758,-0.28938145567501206,0.8967669606519678,0.8236629678025436,0.587141551998415,-0.00789570648548918,-0.05233741214941049,0.04444170566392131
LR,l2,1,54,-0.12462854625760335,-0.8766013288169365,-0.2598518508974169,0.7865034845827821,0.8360532517868146,0.5551726312749713,-0.03397995285719459,-0.07683332470042456,0.04285337184322998
LR,l2,1,55,-0.21821856743186432,-0.9680175161986337,-0.42615650072554195,0.8153916457064138,0.8188734259050853,0.6275477664037192,-0.06695739054852931,-0.11022673149859369,0.043269340950064364
LR,l2,1,56,-0.12859139377416023,-0.8922005640678043,-0.25220972783654905,0.5344730857545905,0.775891025040685,0.5271430012411953,-0.040509456032716024,-0.08289234250126526,0.042382886468549257
LR,l2,1,57,-0.1548310829283045,-0.890962116692145,-0.3068920926830672,0.7092776638194006,0.807709527208519,0.5572804969102165,-0.03870998618805251,-0.08091040552885906,0.042200419340806546
