arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
H,raw,0,0,0.001,1,none,0.5800708333,0.7741667032,0.7741667032,0.9399999976,0.03999999911,-6.439538002,1.777873635,-17.72327423,0,1.166334106,0.9578250051,-3.719277859,0,0.008158332668,0.9499999881,-0.3565191627,0.03023299202,0.001790955896,2406.233398,0,0,-0.7779103518,4.704835415,-2.939842939,0.4683333337,32.97082406,0.5619999766,-0.1340370029,0.4683333337,0.3956500292,0,-0.198975116,0.1773727089,-4.649955492e+11,2.939842939,0.05010781437,0.6596003175,1.517679811,2.38795805,23.89332199,1.778663039
H,raw,0,0,0.001,2,none,0.2040291667,0.3000000119,0.3000000119,0.969999969,0.03999999911,-6.608802319,1.777873635,-71.98920441,0,1.144735672,0.9791583419,-3.719277859,0,0.0008416666533,0.9899999499,-0.3565191627,0.02963706292,0.0026552903,1107.947266,0.1299999952,0,-2.463387966,2.425821543,-5.648301601,0.0808333382,2.904219751,0.7995499969,-1.271276712,0.0808333382,0.1467500031,0.1899999976,0.2062160969,0.783806622,-1.642322723e+12,5.648301601,0.01336484496,0.6596003175,1.351505995,1.04396677,18.8198719,4.213682652
H,raw,0,0,0.001,3,none,0.12465625,0.1283333302,0.1283333302,0.9799999595,0.03999999911,-6.688925743,1.777873635,-130.1265717,0,1.252934405,0.9998666644,-3.719277859,0,0.0001333333348,0.9899999499,-0.3565191627,0.02193955332,1.746183782e+10,130.1265717,0.5899999738,0,-2.280882597,0.1337662935,-4.90060091,0,1.624448545,0.8988916874,-18.90939522,0,0.001658333465,0.9099999666,-5.168522835,16.79518127,-2.020205003e+12,4.90060091,0.003377446672,0.6596003175,1.385088563,1.267785907,0.002586710732,0.1294165999
H,raw,0,0,0.001,4,none,0.11585,0.1183333397,0.1183333397,0.9899999499,0.03999999911,-6.688925743,1.777873635,-164.646225,0,1,0.9999499917,-3.719277859,0,4.999999874e-05,1,-0.3578425348,0.02319633402,1.969623859e+10,164.646225,0.7799999714,0,-2.288700104,0.03932237253,-4.901409626,0,1.450858997,0.8698750138,-60.08399963,0,0.0004749999789,1,-22.19678688,57.73351669,-2.0128942e+12,4.901409626,0.00172838755,0.6596003175,1.387246609,1.502173424,0.0005751544377,0.1316241473
H,raw,0,0,0.001,5,none,0.12063125,0.1208333373,0.1208333373,0.9899999499,0.03999999911,-6.688925743,1.777873635,-240.2956543,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02303071879,1.940179558e+10,240.2956543,0.8299999833,0,-2.282585859,0.01360853575,-4.901517868,0,1.028797373,0.8699916601,-109.0581512,0,5.833333125e-05,1,-34.55422211,169.3745422,-1.981403365e+12,4.901517868,0.0004911760334,0.6596003175,1.383475184,1.465896368,0.0001567770087,0.1625332385
H,raw,0,0,0.001,6,none,0.1147416667,0.1150000021,0.1150000021,0.9899999499,0.03999999911,-6.688925743,1.777873635,-203.2500305,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02326527238,1.981880115e+10,203.2500305,0.8299999833,0,-2.282781601,0.01489050779,-4.901627541,0,1.015572556,0.8799750209,-82.37464142,0,5.833333125e-05,1,-34.55430222,157.4087677,-1.937826513e+12,4.901627541,0.003170232289,0.6596003175,1.383475184,1.47508502,0.0001879674383,0.204319641
H,raw,0,0,0.001,7,none,0.1096375,0.1099999994,0.1099999994,0.9899999499,0.03999999911,-6.688925743,1.777873635,-202.3144836,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02332313173,1.992167014e+10,202.3144836,0.8199999928,0,-2.282949448,0.01251349598,-4.901721954,0,1.015561474,0.8799666762,-80.82993317,0,6.666666013e-05,1,-34.55397034,187.2939758,-1.935471673e+12,4.901721954,0.005446866155,0.6596003175,1.383475184,1.468637705,0.0001745911286,0.2053166926
H,raw,0,0,0.001,8,none,0.1144875,0.1174999997,0.1174999997,0.9899999499,0.03999999911,-6.688925743,1.777873635,-154.4304352,0,1,0.9999583364,-3.719277859,0,4.166666622e-05,1,-0.3587725759,0.02363472059,2.047563571e+10,154.4304352,0.8399999738,0,-2.282194853,0.01274557132,-4.901292324,0,1.12788397,0.8698833585,-44.34680939,0,0.0001166666625,1,-20.25896454,183.0211487,-1.951433753e+12,4.901292324,0.002820249181,0.6596003175,1.383475184,1.532347202,0.0008015987114,0.1939582825
H,raw,0,0,0.001,9,none,0.12025,0.1208333373,0.1208333373,0.9899999499,0.03999999911,-6.688925743,1.777873635,-180.3127594,0,1,0.9999833703,-3.719277859,0,1.666666685e-05,1,-0.3587725759,0.02375034243,2.068119347e+10,180.3127594,0.8399999738,0,-2.28256917,0.0219739899,-4.90150547,0,1.166877409,0.8700166941,-61.30940247,0,0.0001166666625,1,-32.9877243,106.4620972,-1.955652829e+12,4.90150547,0.0001026934478,0.6596003175,1.383475184,1.570997596,0.000330681185,0.1932405829
H,raw,0,0,0.001,10,none,0.1230770833,0.1233333349,0.1233333349,0.9899999499,0.03999999911,-6.688925743,1.777873635,-178.5298157,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.0236854814,2.056588083e+10,178.5298157,0.8399999738,0,-2.288701534,0.02036477067,-4.90148592,0,1.013019011,0.8700166941,-60.05994415,0,6.666666013e-05,1,-34.55405426,115.3356857,-1.948692906e+12,4.90148592,0.0003315325885,0.6596003175,1.383475184,1.48184371,0.0002929325856,0.2014426887
H,raw,0,0,0.001,11,none,0.1071895833,0.1083333343,0.1083333343,0.9899999499,0.03999999911,-6.688925743,1.777873635,-202.8393707,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3587725759,0.02383321151,2.082852864e+10,202.8393707,0.8299999833,0,-2.288702488,0.02298545092,-4.901729584,0,1.038638941,0.8600249887,-58.60759735,0,7.499999629e-05,1,-34.55433655,103.1243439,-1.93092649e+12,4.901729584,0.004041449632,0.6596003175,1.354938507,1.534791946,0.0002552329388,0.2207625955
H,raw,0,0,0.001,12,none,0.1188916667,0.1191666722,0.1191666722,0.9899999499,0.03999999911,-6.688925743,1.777873635,-200.0220947,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3587725759,0.02395238169,2.104039219e+10,200.0220947,0.8299999833,0,-2.28870225,0.02094443329,-4.901521206,0,1.020990151,0.8799750209,-57.06882858,0,5.833333125e-05,1,-34.55437088,112.2605438,-1.948771549e+12,4.901521206,0.0003137177555,0.6596003175,1.354938507,1.52583003,0.0003014725808,0.2026160508
H,raw,0,0,0.001,13,none,0.1206125,0.1208333373,0.1208333373,0.9899999499,0.03999999911,-6.688925743,1.777873635,-217.7137909,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02458853275,2.2171392e+10,217.7137909,0.8299999833,0,-2.28870368,0.01975292154,-4.901655197,0,1.00873171,0.8799750209,-56.75109482,0,5.833333125e-05,1,-34.55435944,119.4886093,-1.9446108e+12,4.901655197,0.00239681825,0.6596003175,1.354938507,1.489716768,0.0003114696883,0.2097105682
H,raw,0,0,0.001,14,none,0.1133416667,0.113333337,0.113333337,0.9899999499,0.03999999911,-6.688925743,1.777873635,-252.1556854,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3581940234,0.0245858077,2.216654643e+10,252.1556854,0.8399999738,0,-2.288701057,0.02141082846,-4.90148735,0,1.008699844,0.8799999952,-61.87015533,0,6.666666741e-05,1,-34.55423355,110.2447357,-1.947774616e+12,4.90148735,0.0002127685002,0.6596003175,1.354938507,1.490527511,0.0003138657485,0.2081400007
H,raw,0,0,0.001,15,none,0.1095770833,0.1099999994,0.1099999994,0.9899999499,0.03999999911,-6.688925743,1.777873635,-248.7945404,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.024748208,2.245527757e+10,248.7945404,0.8299999833,0,-2.288704395,0.02288030274,-4.901908398,0,1.009286303,0.8799833655,-56.78902817,0,6.666666741e-05,1,-34.55438232,104.1417313,-1.923189047e+12,4.901908398,0.00629934622,0.6596003175,1.354938507,1.52050972,0.0002653751581,0.2317630351
H,raw,0,0,0.001,16,none,0.1237208333,0.1266666651,0.1266666651,0.9899999499,0.03999999911,-6.688925743,1.777873635,-169.5391083,0,1,0.9999499917,-3.719277859,0,4.999999874e-05,1,-0.3578425348,0.02520841546,2.327346381e+10,169.5391083,0.8100000024,0,-2.288698673,0.04138741642,-4.901280403,0,1.213503974,0.8699833155,-37.96755981,0,0.0003666666744,1,-22.31575966,57.27742767,-1.954910962e+12,4.901280403,0.00221652328,0.6596003175,1.354938507,1.882102847,0.001067971229,0.2151124924
H,raw,0,0,0.001,17,none,0.1138270833,0.113333337,0.113333337,0.9899999499,0.03999999911,-6.688925743,1.777873635,-235.4463806,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3587725759,0.02509522252,2.307222323e+10,235.4463806,0.8100000024,0,-2.288703918,0.0251433365,-4.901790142,0,1.007713521,0.8699833155,-54.26450729,0,8.333332516e-05,1,-34.5543251,94.63526154,-1.957082956e+12,4.901790142,0.004040658474,0.6596003175,1.354938507,1.643864989,0.0003207946138,0.2133294195
H,raw,0,0,0.001,18,none,0.1120020833,0.1125000045,0.1125000045,0.9899999499,0.03999999911,-6.688925743,1.777873635,-273.0514221,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3587725759,0.02504060976,2.297513165e+10,273.0514221,0.8299999833,0,-2.288702726,0.02221600339,-4.901676655,0,1.045622374,0.8699750304,-58.37406158,0,4.166666622e-05,1,-34.55405426,107.5797424,-1.965156073e+12,4.901676655,0.002628327115,0.6596003175,1.354938507,1.607018113,0.0003151567653,0.2144218832
H,raw,0,0,0.001,19,none,0.1116479167,0.1150000021,0.1150000021,0.9899999499,0.03999999911,-6.688925743,1.777873635,-225.3240204,0,1,0.9999833703,-3.719277859,0,1.666666685e-05,1,-0.3578425348,0.02515216917,2.317346406e+10,225.3240204,0.8299999833,0,-2.288703203,0.01333137788,-4.901758671,0,1.062548921,0.8699333668,-45.34602737,0,6.666666741e-05,1,-28.29705238,179.3672791,-1.948338225e+12,4.901758671,0.003022135003,0.6596003175,1.354938507,1.682440162,0.0005468212184,0.2252354026
H,raw,0,0,0.001,20,none,0.1149729167,0.1150000021,0.1150000021,0.9899999499,0.03999999911,-6.688925743,1.777873635,-256.9503784,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02515457384,2.317774438e+10,256.9503784,0.8399999738,0,-2.288701534,0.01959367841,-4.901605129,0,1.004054832,0.8799750209,-52.87697983,0,4.166666622e-05,1,-34.55410767,120.8354721,-1.971100975e+12,4.901605129,0.001445363276,0.6596003175,1.354938507,1.675296783,0.0003635932808,0.200772658
H,raw,0,0,0.001,21,none,0.1235166667,0.1241666675,0.1241666675,0.9899999499,0.03999999911,-6.688925743,1.777873635,-213.1907654,0,1,0.9999833703,-3.719277859,0,1.666666685e-05,1,-0.3578425348,0.02566499263,2.408520294e+10,213.1907654,0.8100000024,0,-2.288704872,0.01646302454,-4.902075768,0,1.092984676,0.8798916936,-42.26071167,0,0.0001083333336,1,-29.35651779,143.625946,-1.983954289e+12,4.902075768,0.005940642674,0.6596003175,1.354938507,1.719735622,0.0005590275396,0.1927770227
H,raw,0,0,0.001,22,none,0.1106520833,0.1108333394,0.1108333394,0.9899999499,0.03999999911,-6.688925743,1.777873635,-258.6210327,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02538637258,2.358985114e+10,258.6210327,0.7999999523,0,-2.28869915,0.01714239269,-4.90115881,0,1.026087122,0.8799417019,-53.0533638,0,7.499999629e-05,1,-34.55433655,138.2220459,-1.980478128e+12,4.90115881,0.004471443128,0.6596003175,1.354938507,1.718106985,0.0004690399219,0.1968972385
H,raw,0,0,0.001,23,none,0.1112770833,0.1116666719,0.1116666719,0.9899999499,0.03999999911,-6.688925743,1.777873635,-282.137085,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3580322862,0.0254875645,2.376976384e+10,282.137085,0.7999999523,0,-2.28305912,0.02602041699,-4.901788712,0,1.016921227,0.8799417019,-53.07072449,0,7.499999629e-05,1,-34.55431747,90.98117828,-1.964316557e+12,4.901788712,0.003711299272,0.6596003175,1.354938507,1.715376735,0.0003538991441,0.2043159306
H,raw,0,0,0.001,24,none,0.1181208333,0.1183333397,0.1183333397,0.9899999499,0.03999999911,-6.688925743,1.777873635,-291.2919312,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02568783425,2.412581069e+10,291.2919312,0.7999999523,0,-2.28870368,0.02152607404,-4.901815891,0,1.010172762,0.8799417019,-50.29137039,0,7.499999629e-05,1,-34.55431747,110.5332642,-1.958759629e+12,4.901815891,0.00383940246,0.6596003175,1.354938507,1.690839887,0.0003715587955,0.2129501253
H,raw,0,0,0.001,25,none,0.1133854167,0.113333337,0.113333337,0.9899999499,0.03999999911,-6.688925743,1.777873635,-244.6025391,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02606196329,2.479096627e+10,244.6025391,0.8100000024,0,-2.282912254,0.03432637826,-4.901703835,0,1.015221009,0.8699750304,-42.2804451,0,7.499999629e-05,1,-34.5543251,69.31612396,-1.97231693e+12,4.901703835,0.0020792617,0.6596003175,1.354938507,1.703969717,0.0004736154515,0.2050666809
H,raw,0,0,0.001,26,none,0.1064479167,0.1091666669,0.1091666669,0.9899999499,0.03999999911,-6.688925743,1.777873635,-272.9533997,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02594651096,2.458570752e+10,272.9533997,0.8100000024,0,-2.281689167,0.02122111991,-4.901004314,0,1.002498847,0.8799583316,-45.20342255,0,7.499999629e-05,1,-34.5544281,111.8806763,-1.968750854e+12,4.901004314,0.005514930468,0.6596003175,1.354938507,1.726979613,0.0005686143413,0.2067090571
H,raw,0,0,0.001,27,none,0.1106354167,0.1116666719,0.1116666719,0.9899999499,0.03999999911,-6.688925743,1.777873635,-294.1373596,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02583276853,2.43834921e+10,294.1373596,0.8199999928,0,-2.282249451,0.03077986836,-4.901325226,0,1.011175985,0.8799750209,-47.62585831,0,7.499999629e-05,1,-34.55412292,76.5904541,-1.988477059e+12,4.901325226,0.002079416066,0.6596003175,1.354938507,1.729251385,0.0004857467429,0.1861859411
H,raw,0,0,0.001,28,none,0.1174104167,0.1174999997,0.1174999997,0.9899999499,0.03999999911,-6.688925743,1.777873635,-318.0471497,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02637723275,2.535148134e+10,318.0471497,0.8399999738,0,-2.282382965,0.03602669016,-4.901399136,0,1.007676019,0.8999666572,-45.01913071,0,6.666666741e-05,1,-34.55423355,65.71632385,-1.973432746e+12,4.901399136,0.001081457012,0.6596003175,1.383475184,1.70880425,0.0005139937275,0.2006431222
H,raw,0,0,0.001,29,none,0.1122895833,0.1125000045,0.1125000045,0.9899999499,0.03999999911,-6.688925743,1.777873635,-306.9431458,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.02666089311,2.58557911e+10,306.9431458,0.8399999738,0,-2.282661915,0.03121720068,-4.901559353,0,1.002489838,0.8999750018,-41.55267715,0,7.499999629e-05,1,-34.55435944,75.33530426,-1.974638346e+12,4.901559353,0.0005719481851,0.6596003175,1.383475184,1.772145867,0.0005261609913,0.1933656335
H,raw,0,0,0.001,30,none,0.11815,0.1183333397,0.1183333397,0.9899999499,0.03999999911,-6.688925743,1.777873635,-276.2712708,0,1,0.9999916553,-3.719277859,0,8.333333426e-06,1,-0.3578425348,0.0270094201,2.647542989e+10,276.2712708,0.8100000024,0,-2.282346249,0.04006297141,-4.901377678,0,1.003547622,0.8999750018,-38.51942062,0,0.0001249999914,1,-34.55440521,58.25758743,-1.987749347e+12,4.901377678,0.001089657308,0.6596003175,1.383475184,1.771001458,0.0006181255449,0.177773267
