seed,A_within,n_within,A_boundary,n_boundary,A_1step,n_1step,n_deaths,n_descent,PE_median,n_frozen_iv,BC_median,BC_naive_median,n_bc,BCw_median,n_bcw,frac_w_moves,n_iv_scored,dead_frac_final,e1_ratio_self_rest,e1_sign_stab_self,e1_sign_stab_rest,e1_sign_stab_diff,e1_n_windows
0,0.5181023720349563,801,0.5454545454545454,99,0.794985026140805,19701,100,71,0.3604793226004654,1091,0.9290176325663495,0.9525604019623071,476,0.30181069292105844,364,0.7647058823529411,476,0.95,0.683697378471622,1.0,0.7963340122199593,0.20366598778004075,71
1,0.5043695380774033,801,0.4444444444444444,99,0.8072179077204202,19701,100,73,0.40236876653290987,975,0.9252820810251431,0.9604428587447487,459,0.36523462888340047,345,0.7516339869281046,459,0.95,0.5931444686677889,1.0,0.7823343848580442,0.21766561514195581,73
2,0.5168539325842697,801,0.5959595959595959,99,0.7923963250596416,19701,100,83,0.33204505971938214,1282,0.9211897699689403,0.937079205727176,581,0.32384783729554945,440,0.7573149741824441,581,0.95,0.6319736634522003,1.0,0.8024149286498353,0.19758507135016468,83
3,0.4781523096129838,801,0.48484848484848486,99,0.8158976701690269,19701,98,77,0.3483567759681613,924,0.9202324392408958,0.9575632956153309,431,0.2973644012558526,341,0.7911832946635731,431,0.98,0.7027459571547099,1.0,0.8285714285714286,0.17142857142857137,77
4,0.5081148564294632,801,0.5656565656565656,99,0.81539008172174,19701,99,80,0.4466405404764119,870,0.9401890038770024,0.9831629526687832,446,0.2690693298596034,317,0.7107623318385651,446,0.99,0.6394561695360694,1.0,0.8383108826657214,0.1616891173342786,80
5,0.5056179775280899,801,0.3939393939393939,99,0.7452413583066849,19701,100,80,0.476577438404046,1257,0.9055021967336184,0.9500176055190042,563,0.30973277647309877,460,0.8170515097690941,563,0.87,0.4847048368727596,1.0,0.8081622138809156,0.19183778611908442,80
6,0.4794007490636704,801,0.45454545454545453,99,0.783208974163748,19701,100,77,0.39298480108746264,1073,0.937610611738912,0.9710240945807134,528,0.34167948950036203,393,0.7443181818181818,528,0.95,0.5613003594284444,1.0,0.7857142857142857,0.2142857142857143,77
7,0.50187265917603,801,0.46464646464646464,99,0.8112786152987158,19701,100,70,0.40477698671378337,1036,0.933855878236771,0.9678381494634118,510,0.3039249318638498,376,0.7372549019607844,510,0.95,0.7002529230280807,1.0,0.8196127502634352,0.18038724973656484,70
8,0.46691635455680397,801,0.48484848484848486,99,0.8094005380437541,19701,99,80,0.40441494886741886,1271,0.9254324695571992,0.9398912404774435,578,0.30750174449398465,457,0.7906574394463668,578,0.95,0.5833219672257628,1.0,0.8045814032312733,0.19541859676872675,80
9,0.49063670411985016,801,0.5252525252525253,99,0.7983858687376275,19701,99,75,0.42233658348100006,1039,0.9019364071137818,0.937058236548943,495,0.33269048223859243,389,0.7858585858585858,495,0.93,0.5954164687427851,1.0,0.7937219730941704,0.20627802690582964,75
