run_id,n_reset,expected,rho,width,steps
B_w20_K1000_c0.0_lr0.01_cbp1e-5_s0,199,200.00,1e-05,20,1000000
B_w20_K1000_c0.0_lr0.01_cbp1e-5_s1,199,200.00,1e-05,20,1000000
B_w20_K1000_c0.0_lr0.01_cbp1e-5_s2,199,200.00,1e-05,20,1000000
B_w20_K1000_c0.0_lr0.01_cbp1e-5_s3,199,200.00,1e-05,20,1000000
B_w20_K1000_c0.0_lr0.01_cbp1e-5_s4,199,200.00,1e-05,20,1000000
