act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
R,none,0,0.001,0,1,0.1247222222,0.1808333397,0.1808333397,0.200000003,0.200000003,-0.2001084536,0.3298432827,-0.9486014843,0.2908333242,37.64543076,0.1099999994,0.1099999994,-0.0220883023,0.1825540662,-0.4955101907,0.4441666603,27.82573518,0.6836324334,0.5964742303,0.6096009612,0,0.08773961299,0.01560818667,0.001325204274,,,,,,,,,,
R,none,0,0.001,0,2,0.1363888889,0.2083333284,0.2083333284,0.25,0.25,-0.5377899408,0.4525134265,-1.739930034,0.08833333105,35.59739203,0.1000000015,0.1000000015,-0.02173431031,0.2140133083,-0.6297231317,0.4308333397,33.65696267,0.7907387614,0.6203933954,0.6562082171,0,0.107157244,0.03398248546,0.005066883573,,,,,,,,,,
R,none,0,0.001,1,1,0.1225,0.164166674,0.164166674,0.1800000072,0.1800000072,-0.1768608093,0.3120539486,-1.145651579,0.3108333349,33.20499425,0.1400000006,0.1400000006,-0.01751112938,0.1698470265,-0.579668045,0.4333333373,22.67279991,0.6747463942,0.5924538374,0.5908216238,0,0.08418225752,0.01380036738,0.0009628891879,,,,,,,,,,
R,none,0,0.001,1,2,0.1233333333,0.1949999928,0.1949999928,0.2399999946,0.2399999946,-0.4969094992,0.4307016432,-1.202074528,0.1016666666,32.85330363,0.150000006,0.150000006,-0.0208806619,0.2055549622,-0.7513320446,0.426666677,31.07553113,0.7578709722,0.6047785282,0.6059647799,0,0.09884566314,0.02768747171,0.003437624181,,,,,,,,,,
R,l2,0.001,0.001,0,1,0.1147222222,0.1458333284,0.1458333284,0.1000000015,0.1000000015,-0.04300185665,0.2524696589,-0.6718124151,0.3325000107,31.81635271,0.150000006,0.150000006,-0.008420139551,0.1161195487,-0.2081049681,0.4316666722,19.219655,0.3442052603,0.3214735389,0.4689679444,0.02491523779,0.02491523779,0.04562201874,0.01205821154,,,,,,,,,,
R,l2,0.001,0.001,0,2,0.1272222222,0.1899999976,0.1899999976,0.1599999964,0.1599999964,-0.1708725244,0.2833814025,-1.01105547,0.05166666582,27.40894341,0.2099999934,0.2099999934,0.00249356078,0.09951196611,-0.2669848502,0.5233333111,21.75267387,0.2919917405,0.2744324207,0.4611027837,0.02117881326,0.02117881326,0.05722384375,0.01531243344,,,,,,,,,,
R,l2,0.001,0.001,1,1,0.1202777778,0.1566666663,0.1566666663,0.150000006,0.150000006,-0.08145275712,0.2599184513,-0.6280984282,0.3174999952,26.77480757,0.2199999988,0.2199999988,-0.05167347565,0.09995739162,-0.4085401893,0.3033333421,13.53602523,0.3607710302,0.3361208737,0.4600939155,0.02584479523,0.02584479523,0.04261675818,0.01099585843,,,,,,,,,,
R,l2,0.001,0.001,1,2,0.1233333333,0.1525000036,0.1525000036,0.2399999946,0.2399999946,-0.09632375091,0.2512779236,-0.6793538928,0.03500000015,24.18234251,0.200000003,0.200000003,-0.02351550385,0.08552942425,-0.2897707522,0.2558333278,19.63298893,0.2666585445,0.280308485,0.4356625676,0.01926756851,0.01926756851,0.05213862397,0.01628487944,,,,,,,,,,
R,l2init,0.001,0.001,0,1,0.1222222222,0.1741666645,0.1741666645,0.0700000003,0.0700000003,-0.1642283499,0.3320991695,-1.047450542,0.2666666806,38.54279404,0.05999999866,0.05999999866,-0.03470569476,0.1636839658,-0.435403645,0.421666652,29.81299031,0.6574577093,0.5924270153,0.5968884826,0.01059344132,0.08219725533,0.01059344132,0.0006189855347,,,,,,,,,,
R,l2init,0.001,0.001,0,2,0.1363888889,0.1883333325,0.1883333325,0.05000000075,0.05000000075,-0.3186517954,0.395675987,-0.8856172562,0.1574999988,38.68845019,0.07999999821,0.07999999821,-0.08596754074,0.1777456701,-0.4602488577,0.2508333325,32.98929157,0.6670660377,0.606841743,0.6302838326,0.01525774973,0.08756866726,0.01525774973,0.001199458874,,,,,,,,,,
R,l2init,0.001,0.001,1,1,0.1191666667,0.1741666645,0.1741666645,0.03999999911,0.03999999911,-0.1939132512,0.3119838238,-1.062464356,0.2450000048,33.25157018,0.1000000015,0.1000000015,-0.04972231388,0.1541179717,-0.7417278886,0.3983333409,23.45926019,0.6423388124,0.5872769952,0.5903233886,0.008850675012,0.07929358882,0.008850675012,0.0004158441523,,,,,,,,,,
R,l2init,0.001,0.001,1,2,0.1225,0.1891666651,0.1891666651,0.02999999933,0.02999999933,-0.2533405125,0.3542703688,-0.7822384238,0.2208333313,37.26532152,0.03999999911,0.03999999911,-0.0830161348,0.1851911247,-0.5145282745,0.3308333457,33.05984008,0.6569027305,0.5939360857,0.5961546302,0.01292765971,0.08376730626,0.01292765971,0.0008193652792,,,,,,,,,,
R,shell,0.001,0.001,0,1,0.1158333333,0.1633333266,0.1633333266,0.1800000072,0.1800000072,-0.3086972237,0.3447278142,-1.130872607,0.1774999946,36.16265258,0.1000000015,0.1000000015,-0.05101520941,0.1828293204,-0.553594172,0.3833333254,28.29003832,0.5998316407,0.5896314383,0.6048724651,6.262845902e-05,0.07393279235,0.02733902715,6.262845902e-05,,,,,,,,,,
R,shell,0.001,0.001,0,2,0.1366666667,0.212500006,0.212500006,0.200000003,0.200000003,-0.4466421008,0.4630973935,-1.354325414,0.09833333641,36.67314597,0.05000000075,0.05000000075,-0.02963050455,0.2146413773,-0.6168598533,0.3891666532,35.9901878,0.6660867929,0.5979987979,0.6427496672,0.0006503533982,0.08201801417,0.04306944335,0.0006503533982,,,,,,,,,,
R,shell,0.001,0.001,1,1,0.1225,0.1808333397,0.1808333397,0.1800000072,0.1800000072,-0.05655867979,0.3471603394,-0.881360054,0.4183333218,35.94912405,0.07999999821,0.07999999821,-0.05420553312,0.1706296355,-0.5367488861,0.3725000024,26.31691915,0.6093466282,0.577712059,0.5834064484,4.784016695e-05,0.07299755712,0.02605764483,4.784016695e-05,,,,,,,,,,
