act,kind,name,a,b,n,mean,se,ci95_lo,ci95_hi,ci975_lo,ci975_hi,wins,n_sign,p_sign,class,class_bonf,shell_median,l2init_median,ratio,pass,label,reason,label_bonf,reason_bonf,sentence,problems
R,contrast,d1,shell,l2,0,,,,,,,0,0,,UNRESOLVED,UNRESOLVED,,,,,,,,,,
R,contrast,d2,shell,l2init,0,,,,,,,0,0,,AMBIG,AMBIG,,,,,,,,,,
R,contrast,d3,l2init,l2,0,,,,,,,0,0,,UNRESOLVED,UNRESOLVED,,,,,,,,,,
R,contrast_report,r_l2_none,l2,none,0,,,,,,,0,0,,,,,,,,,,,,,
R,contrast_report,r_l2init_none,l2init,none,0,,,,,,,0,0,,,,,,,,,,,,,
R,contrast_report,r_shell_none,shell,none,0,,,,,,,0,0,,,,,,,,,,,,,
R,guard,W1,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard,W2,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard,W3,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard_bias_report,b1,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard_bias_report,b2,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard_bias_report,b3,,,,,,,,,,,,,,,,,,False,,,,,,
R,guard_summary,weights_W1_W2_W3,,,,,,,,,,,,,,,,,,False,,,,,,
R,label,conclusion,,,0,,,,,,,,,,,,,,,,D,INCOMPLETE,D,INCOMPLETE,方向効果は未同定。性能比較のみ確定,R_none_s0: window tasks 31-50 incomplete or non-finite | R_none_s0: layer_metrics window rows 0 != 120 | R_none_s1: window tasks 31-50 incomplete or non-finite | R_none_s1: layer_metrics window rows 0 != 120 | R_none_s2: missing | R_none_s3: missing | R_none_s4: missing | R_none_s5: missing | R_none_s6: missing | R_none_s7: missing | R_none_s8: missing | R_none_s9: missing | R_l2_s0: window tasks 31-50 incomplete or non-finite | R_l2_s0: layer_metrics window rows 0 != 120 | R_l2_s1: window tasks 31-50 incomplete or non-finite | R_l2_s1: layer_metrics window rows 0 != 120 | R_l2_s2: missing | R_l2_s3: missing | R_l2_s4: missing | R_l2_s5: missing | R_l2_s6: missing | R_l2_s7: missing | R_l2_s8: missing | R_l2_s9: missing | R_l2init_s0: window tasks 31-50 incomplete or non-finite | R_l2init_s0: layer_metrics window rows 0 != 120 | R_l2init_s1: window tasks 31-50 incomplete or non-finite | R_l2init_s1: layer_metrics window rows 0 != 120 | R_l2init_s2: missing | R_l2init_s3: missing | R_l2init_s4: missing | R_l2init_s5: missing | R_l2init_s6: missing | R_l2init_s7: missing | R_l2init_s8: missing | R_l2init_s9: missing | R_shell_s0: window tasks 31-50 incomplete or non-finite | R_shell_s0: layer_metrics window rows 0 != 120 | R_shell_s1: window tasks 31-50 incomplete or non-finite | R_shell_s1: layer_metrics window rows 0 != 120 | R_shell_s2: missing | R_shell_s3: missing | R_shell_s4: missing | R_shell_s5: missing | R_shell_s6: missing | R_shell_s7: missing | R_shell_s8: missing | R_shell_s9: missing
SNA,contrast,d1,shell,l2,0,,,,,,,0,0,,UNRESOLVED,UNRESOLVED,,,,,,,,,,
SNA,contrast,d2,shell,l2init,0,,,,,,,0,0,,AMBIG,AMBIG,,,,,,,,,,
SNA,contrast,d3,l2init,l2,0,,,,,,,0,0,,UNRESOLVED,UNRESOLVED,,,,,,,,,,
SNA,contrast_report,r_l2_none,l2,none,0,,,,,,,0,0,,,,,,,,,,,,,
SNA,contrast_report,r_l2init_none,l2init,none,0,,,,,,,0,0,,,,,,,,,,,,,
SNA,contrast_report,r_shell_none,shell,none,0,,,,,,,0,0,,,,,,,,,,,,,
SNA,guard,W1,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard,W2,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard,W3,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard_bias_report,b1,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard_bias_report,b2,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard_bias_report,b3,,,,,,,,,,,,,,,,,,False,,,,,,
SNA,guard_summary,weights_W1_W2_W3,,,,,,,,,,,,,,,,,,False,,,,,,
