arm,seed,k_star,censored,frac_windows_over,u10_at_last_k
CB1f_a1_1216,0,314,0,0.38085539714867617,0.8327126723763684
CB1f_a1_1216,1,264,0,0.48268839103869654,0.740268561146749
CB1f_a1_1216,2,399,0,0.20773930753564154,0.5744872895908113
CB1f_a1_1216,3,266,0,0.4786150712830957,0.8437387837373805
CB1f_a1_1216,4,238,0,0.5356415478615071,0.6668817717543192
CB1f_a1_1216,5,413,0,0.17922606924643583,0.38644143792168
CB1f_a1_1216,6,312,0,0.384928716904277,0.5689049424783619
CB1f_a1_1216,7,235,0,0.5417515274949084,0.9156236967992044
CB1f_a1_1216,8,296,0,0.4175152749490835,0.41140364157973297
CB1f_a1_1216,9,335,0,0.3380855397148676,0.5945368918885506
CB1l_a1_1216,0,500,1,0.0,1.1906791541060891e-07
CB1l_a1_1216,1,500,1,0.0,3.9855744346766614e-08
CB1l_a1_1216,2,500,1,0.0,4.4110185818189266e-07
CB1l_a1_1216,3,500,1,0.0,1.3344144185467588e-09
CB1l_a1_1216,4,500,1,0.0,4.8602368501408226e-08
CB1l_a1_1216,5,500,1,0.0,1.943755955345107e-12
CB1l_a1_1216,6,500,1,0.0,4.684591680493796e-07
CB1l_a1_1216,7,500,1,0.0,0.0012574975103856613
CB1l_a1_1216,8,500,1,0.0,3.527869380142226e-08
CB1l_a1_1216,9,500,1,0.0,1.499971323624255e-09
RB_dpi_1216,0,463,0,0.012219959266802444,0.013584846976764719
RB_dpi_1216,1,500,1,0.0,0.00688867448169681
RB_dpi_1216,2,500,1,0.0,0.016053024902965028
RB_dpi_1216,3,500,1,0.0,0.00842430471611344
RB_dpi_1216,4,500,1,0.0,0.004787781711459216
RB_dpi_1216,5,500,1,0.0,0.0046956136549078705
RB_dpi_1216,6,500,1,0.0,0.0005146446698923501
RB_dpi_1216,7,131,0,0.04276985743380855,0.008664119692492278
RB_dpi_1216,8,500,1,0.0,0.009810620903571054
RB_dpi_1216,9,500,1,0.0,0.0015700649233390874
