arm,k,at_risk,events,censored,survival
CB1f_a1_1216,235,10,1,0,0.9
CB1f_a1_1216,238,9,1,0,0.7999999999999999
CB1f_a1_1216,264,8,1,0,0.7
CB1f_a1_1216,266,7,1,0,0.6
CB1f_a1_1216,296,6,1,0,0.5
CB1f_a1_1216,312,5,1,0,0.4
CB1f_a1_1216,314,4,1,0,0.30000000000000004
CB1f_a1_1216,335,3,1,0,0.20000000000000004
CB1f_a1_1216,399,2,1,0,0.10000000000000002
CB1f_a1_1216,413,1,1,0,0.0
CB1l_a1_1216,500,10,0,10,1.0
RB_dpi_1216,131,10,1,0,0.9
RB_dpi_1216,463,9,1,0,0.7999999999999999
RB_dpi_1216,500,8,0,8,0.7999999999999999
