arm,activation,dial,submerged_defined,median_submerged_frac,median_span_all,median_span_submerged,median_depth_submerged,median_absv_all,median_absv_submerged,at_well_frac,in_band_frac,median_frozen_frac,median_frozen_abs_frac,window
CB1f_a1_1216,comb1_flat,1.0,True,0.9964999999999999,6.709310054779053,6.709309816360474,8.235996961593628,2.0218576788902283,2.0255602598190308,0.0025,,0.977,0.977,"late_tasks_5m (491-500, task-end records only)"
CB1l_a1_1216,comb1_leaky,1.0,True,0.91,5.85210120677948,5.850555777549744,5.9601662158966064,0.6075187027454376,0.6243396252393723,0.0465,,0.0,0.0,"late_tasks_5m (491-500, task-end records only)"
RB_dpi_1216,band_leaky_dpi,0.1,True,0.903,7.8542379923164845,7.829203061759472,5.994741439819336,1.4635009765625,1.4685671627521515,,0.01,0.01,0.01,"late_tasks_5m (491-500, task-end records only)"
