arm,stage,family,activation,dial,second_param,target_dose,is_control,status,capacity_status,EXACT_FIT,u_1m_seed_median,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_submerged_frac_5m,median_span_all_5m,at_well_frac,in_band_frac,V5,V6,NUMERIC_DIVERGENCE
CB1f_a1_1216,A,comb1,comb1_flat,1.0,3.141592653589793,12.16,False,COMPLETE,OK,EXACT_FIT,1.6457998773540326e-10,0,0.0,0.3084971078187607,"[2.7478474499468924e-11, 2.4467154673730496e-13, 3.728801834706289e-10, 4.968227412617697e-09, 6.203508818557624e-09, 4.872824449847698e-12, 2.805302015885962e-10, 2.292087036733005e-08, 1.1704417808265756e-12, 4.86297738822103e-11]",-9.932559063000808,10,0.6915028921812392,1.0,"[0.8327126723763689, 0.7402685611467502, 0.5744872895908115, 0.8437387837373794, 0.6668817717543195, 0.3864414379216796, 0.5689049424783595, 0.9156236967992045, 0.41140364157973314, 0.5945368918885495]",-0.2008861724132484,0.9964999999999999,6.709310054779053,0.0025,,INCONCLUSIVE_EXACT_FIT,LEVEL_FROM_SINGLE_LOBE,
CB1l_a1_1216,A,comb1,comb1_leaky,1.0,3.141592653589793,12.16,False,COMPLETE,OK,EXACT_FIT,1.1744188758654433e-09,0,0.0,0.3084971078187607,"[1.4860264354751357e-07, 1.0473815898692557e-13, 7.823614594913545e-12, 1.4947599906323294e-12, 5.317988108328413e-09, 3.491529698674845e-08, 2.341014137135973e-09, 2.22501044462575e-12, 3.0671799800654443e-12, 4.676548689245189e-06]",-9.868594257722327,0,0.0,0.3084971078187607,"[1.1906791541249198e-07, 3.9855744346750706e-08, 4.411018581818948e-07, 1.3344144185190708e-09, 4.860236850140807e-08, 1.9437559554490396e-12, 4.6845916804938e-07, 0.001257497510385661, 3.5278693801443906e-08, 1.4999713236229448e-09]",-7.356425820826006,0.91,5.85210120677948,0.0465,,INCONCLUSIVE_EXACT_FIT,LEVEL_FROM_SINGLE_LOBE,
RB_dpi_1216,A,band,band_leaky_dpi,0.1,3.141592653589793,12.16,False,COMPLETE,OK,,0.002985235950913604,0,0.0,0.3084971078187607,"[0.0036959028375995037, 0.002185792957043059, 0.009831653053084106, 0.0016804875309174246, 0.004694303240083868, 0.00043730390475043586, 0.0009670541737622183, 0.0022745690642277045, 0.012189188585690892, 0.013911873613974186]",-2.5376901632156383,0,0.0,0.3084971078187607,"[0.013584846976764837, 0.006888674481696784, 0.016053024902965052, 0.008424304716113457, 0.004787781711459263, 0.004695613654907874, 0.0005146446698923355, 0.00866411969249235, 0.009810620903571087, 0.0015700649233391136]",-2.118165134806166,0.903,7.8542379923164845,,0.01,,,
SN_a1_1216,A,snake,snake,1.0,,12.16,False,NUMERIC_DIVERGENCE,,,,,,,,,,,,,,,,,,,,"{""detected_step"": 1000, ""bad_seeds"": [3]}"
R_1216,,,,,,12.16,True,TRANSCRIBED,,,0.22430427054453836,10,,,"[0.22008817205469797, 0.1553162042192267, 0.16558869134419346, 0.326407317592699, 0.3986922998381343, 0.2618935638191647, 0.150005670193653, 0.2079232060873296, 0.2635425968032131, 0.22852036903437875]",-0.6492391899413728,10,,,"[0.49785829368919127, 0.5669833542872723, 0.9638110689756122, 0.999884664334106, 0.4006331885271228, 0.6785477511014105, 0.36832435436972844, 0.6728659568821506, 0.39763733408382784, 0.3909596477422529]",-0.2746619723906341,,,,,,,
LR_1216,,,,,,12.16,True,TRANSCRIBED,,,0.006244353426007812,0,,,"[0.012032930536320178, 0.004290790058555907, 0.010682835518073402, 0.0005018424923207941, 0.007906691614363028, 0.007027791045677846, 0.005460915806337776, 0.0005676650513143089, 0.004534270783074649, 0.00783057819247634]",-2.207957839412672,0,,,"[0.0006292188849146179, 0.0024370768076876874, 0.0037971040163324943, 0.010710332972067875, 0.002034373848895862, 0.000727015920609707, 0.0002555180150803024, 0.011259625245095254, 0.000860378424169195, 0.006496837656442743]",-2.652350009361937,,,,,,,
E_1216,,,,,,12.16,True,TRANSCRIBED,,,0.005574965546752188,0,,,"[0.005852760114306911, 0.00039732101868337355, 0.0046501091420909765, 0.0008278064569236059, 0.02662105249752794, 0.0012401998726283598, 0.012074013988198093, 0.005297170979197465, 0.009019375733044387, 0.0230245507221671]",-2.254297642381876,0,,,"[0.005604607493161496, 0.0018894830424636174, 0.00026626045950491734, 0.0075121604494495925, 0.0040852454070371335, 0.00251376954539925, 8.769512963882915e-06, 0.0018725907457023572, 0.00039874657924512616, 0.0002545521062825292]",-2.725607064304479,,,,,,,
S_b1_1216,,,,,,12.16,True,TRANSCRIBED,,,0.01949560196440718,1,,,"[0.03083372319274883, 0.016333991975230777, 0.022657211953583584, 0.009682543938109, 0.06175563869822729, 0.004780136312148646, 0.0021561322379043033, 0.01295289333710041, 0.03293708561793006, 0.032540375620629496]",-1.71585059735001,10,,,"[0.19026244094972164, 0.13161999027471172, 0.15656099628699974, 0.23194151610181196, 0.21590923305886517, 0.16394050845784036, 0.06655762461859045, 0.38342449234065984, 0.23157084302340264, 0.12431724214562756]",-0.7529803290579633,,,,,,,
CB_a1_1216,,,,,,12.16,True,TRANSCRIBED,,EXACT_FIT,1.5034901518861568e-13,0,,,"[9.006143625672166e-14, 1.0529391591638375e-13, 2.3657556018728783e-13, 1.5267983967851014e-13, 2.256373874324138e-13, 3.005707267721211e-13, 1.2601471512728302e-13, 1.4801819069872118e-13, 2.053399521908524e-13, 7.217329335364967e-14]",-12.822951606724589,0,,,"[2.68662894778906e-13, 2.2402317855185638e-13, 5.453128532906283e-13, 4.3375208368861305e-13, 3.2420748045652366e-13, 4.113826563628809e-13, 1.6135133952340026e-13, 7.125855613791288e-13, 3.2162054859920756e-13, 2.2937480498519385e-13]",-12.490916590240268,,,,,,,
RB_d2_1216,,,,,,12.16,True,TRANSCRIBED,,,0.010330000076529906,0,,,"[0.01656661539698049, 0.005951285435452121, 0.006943112173639453, 0.013870305075202694, 0.011014238204796297, 0.00202341634031251, 0.001335108373906466, 0.014118575380107445, 0.009645761948263514, 0.029707854175475185]",-1.9868544978430722,1,,,"[0.03249577247060574, 0.011960009927190107, 0.05002697207147829, 0.020625744435699544, 0.021757789583707686, 0.013642877000789403, 0.013207005093897934, 0.02937714240907886, 0.019878632604159268, 0.014723196616674764]",-1.6936019302603729,,,,,,,
RB_d4_1216,,,,,,12.16,True,TRANSCRIBED,,,0.001993007130226255,0,,,"[0.0039196662391932395, 0.0016098184147301004, 0.002376195845722409, 0.0008860464917986949, 0.0031924119869067907, 0.0003748202138158978, 0.00021070241722809783, 0.0006498979285362453, 0.0029542240888709363, 0.006254118231810321]",-2.7086704383716205,0,,,"[0.0011822227600066545, 0.0021150651168338926, 0.0037307308742110454, 0.006192973627064823, 0.0017923794242715961, 0.0002194544406139393, 0.0007641611596696657, 0.0035949720950514464, 0.00287548472579149, 0.00045269715420390643]",-2.710623153816294,,,,,,,
