key,arm,kind,window,against,point,percentile_lo,percentile_hi,studentized_lo,studentized_hi,ci_degenerate,equivalence,margin,sign_pos,sign_neg,sign_p,seed_values
P3':CB1f_a1_1216:5M,CB1f_a1_1216,P3prime,5M,R_1216,0.12480373221405115,-0.0737418948950529,0.20167439848665547,-0.03629112122529697,0.15612225171786068,1,INCONCLUSIVE_WIDE,0.15,7,3,0.34375,"[0.2233894275617447, 0.11581899659636552, -0.2247114852307021, -0.0737418948950529, 0.22130192328864495, -0.2444967260394515, 0.1888092705508921, 0.13378846783173678, 0.014780978120803867, 0.18204687368466596]"
P3':CB1f_a1_1216:1M,CB1f_a1_1216,P3prime,1M,R_1216,-9.200075359182168,-10.730344059914946,-7.8175584197072645,-734621707160382.1,406565942610926.0,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-9.903604084715315, -11.802633300800556, -8.647461370293819, -7.8175584197072645, -7.808000444044306, -10.730344059914946, -8.728128051837835, -6.957671858238163, -11.35250100467711, -9.6720226665265]"
P5':CB1f_a1_1216:E_1216,CB1f_a1_1216,P5prime,5M,E_1216,2.6411602290046687,2.1867582290172027,3.3339737472931454,-40348088157107.91,49231239925866.16,1,SHORT_OF_SOFT,0.15,10,0,0.001953125,"[2.171949970782856, 2.593046306884567, 3.3339737472931454, 2.0504431572809767, 2.2128306963751516, 2.1867582290172027, 4.812064232365422, 2.689274151124771, 3.0135711612068814, 3.368402113459406]"
P5':CB1f_a1_1216:LR_1216,CB1f_a1_1216,P5prime,5M,LR_1216,2.4990690854946136,1.961476793690371,2.9006360228636914,-8439436287263.135,2.862574798577724,1,SHORT_OF_SOFT,0.15,10,0,0.001953125,"[3.1216934251395565, 2.4825200887306123, 2.179827930267255, 1.89640503980978, 2.5156180822586145, 2.7255397680283386, 3.3476181816933295, 1.9101930878044886, 2.6795786205878263, 1.961476793690371]"
P3':CB1l_a1_1216:5M,CB1l_a1_1216,P3prime,5M,R_1216,-6.984032073040529,-8.416048978402742,-6.258434844761194,-27746910421140.977,6465767920090.185,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-6.621310996060132, -7.15307938446275, -6.3394530224007255, -8.874659181541316, -6.916089489569606, -11.542938678457213, -5.895558693462254, -2.728421422169183, -7.051974656511452, -8.416048978402742]"
P3':CB1l_a1_1216:1M,CB1l_a1_1216,P3prime,1M,R_1216,-9.10025685591534,-11.136649990858295,-6.875109085059355,-1690564313352675.2,115.3935680050995,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-6.170570168073224, -12.171111832346156, -10.325623225714592, -11.339188421635635, -7.8748904861160876, -6.875109085059355, -7.8067036392746605, -10.970570909197303, -10.934111560080954, -4.688999456422814]"
P5':CB1l_a1_1216:E_1216,CB1l_a1_1216,P5prime,5M,E_1216,-4.674301263506784,-5.837517422924193,-2.6627441025365495,-6612436973341.705,-4.670206611293087,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-4.672750452839021, -4.675852074174548, -2.7807677898768777, -6.750474129365287, -4.924560716483098, -9.11168372340056, -1.2723037316477246, -0.172935738876149, -4.053184473425374, -5.2296937386280025]"
P5':CB1l_a1_1216:LR_1216,CB1l_a1_1216,P5prime,5M,LR_1216,-4.504475172322032,-6.636619058397038,-3.3358316946112927,-206410728994993.75,-4.220002734596146,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-3.7230069984823206, -4.786378292328502, -3.934913606902768, -6.904512246836484, -4.621773330599636, -8.572902184389424, -2.736749782319817, -0.9520168021964315, -4.387177014044429, -6.636619058397038]"
P3':RB_dpi_1216:5M,RB_dpi_1216,P3prime,5M,R_1216,-1.9190236139405221,-2.2353150818256045,-1.7612972708588666,-1.9244634027833343,-1.9023848444576257,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.5640509955451423, -1.9154346458675335, -1.7784350302752188, -2.074415840110416, -1.9226125820135105, -2.1598880585751243, -2.854722957051756, -1.8902041127539901, -1.607790659178029, -2.396214323540793]"
P3':RB_dpi_1216:1M,RB_dpi_1216,P3prime,1M,R_1216,-1.8903372267398204,-2.1906568719712607,-1.334876024611641,-1.9681633225122384,-1.757674897709498,1,BELOW_SOFT,0.15,0,10,0.001953125,"[-1.7748761579568009, -1.8516077459933051, -1.2264041294751697, -2.288324592074793, -1.9290667074863355, -2.777341470285509, -2.1906568719712607, -1.961003835047137, -1.334876024611641, -1.2155392931735585]"
