seed,env,act,late_online_acc,floor_thr,floor_verdict,first_floor_task,zmed_below_zc_task,slope_t131_150,acc_t50,acc_t100,acc_t150,zmed_l2_t50,zmed_l2_t100,zmed_l2_t150,neggate_l2_t50,neggate_l2_t100,neggate_l2_t150,tinygate_l2_t50,tinygate_l2_t100,tinygate_l2_t150
0,RL,LR,0.44290623962879183,0.1162460908847784,ABOVE_FLOOR,,,-0.009300439877617549,0.44594791531562805,0.4389895796775818,0.4469895660877228,-7.338373184204102,-10.287546157836914,-11.573038101196289,0.0,0.0,0.0,0.0,0.0,0.0
0,RL,ELU1,0.09964999854564667,0.1162460908847784,AT_FLOOR,14,,-0.0001362780655237054,0.10230208188295364,0.10123958438634872,0.09733333438634872,-155.72767639160156,-195.50424194335938,-196.59927368164062,0.0,0.0,0.0,0.9995916485786438,0.9999916553497314,1.0
0,RL,R,0.11208854094147683,0.1162460908847784,AT_FLOOR,5,,0.000563987327697582,0.10982291400432587,0.11860416829586029,0.11166666448116302,-0.004251896403729916,-0.004251896403729916,-0.004251896403729916,0.0,0.0,0.0,0.9900000095367432,1.0,1.0
0,RL,GELU,0.1749270811676979,0.1162460908847784,ABOVE_FLOOR,,,-0.007538537669898853,0.2135729193687439,0.18728125095367432,0.17790624499320984,0.0068354615941643715,-0.14016161859035492,-0.1050129383802414,0.012133334763348103,0.0375250019133091,0.18227501213550568,0.00273333303630352,0.0074083334766328335,0.004924999549984932
0,RL,SILU,0.11216145679354668,0.1162460908847784,AT_FLOOR,35,3,0.0005675907757945585,0.11158332973718643,0.11874999850988388,0.11215624958276749,-50.48338317871094,-112.86160278320312,-137.6349334716797,0.7912916541099548,0.3426666557788849,0.16869999468326569,0.9683250188827515,0.9983667135238647,0.9999417066574097
0,PM,LR,0.9717166543006897,0.11916666666666667,ABOVE_FLOOR,,,-0.0011282850028875699,0.9851666688919067,0.9744479060173035,0.9686874747276306,-10.636316299438477,-18.805667877197266,-27.226402282714844,0.0,0.0,0.0,0.0,0.0,0.0
0,PM,ELU1,0.969391667842865,0.11916666666666667,ABOVE_FLOOR,,,-0.0035135382996465594,0.9873332977294922,0.9840103983879089,0.9707812666893005,-17.954875946044922,-37.15357971191406,-64.36300659179688,0.0,0.0,0.0,0.4434167146682739,0.745191752910614,0.8897083401679993
0,PM,R,0.7865916550159454,0.11916666666666667,ABOVE_FLOOR,,,-0.036416826391578574,0.895562469959259,0.8240312337875366,0.6463541388511658,-7.670658111572266,-12.75401496887207,-40.095272064208984,0.0,0.0,0.0,0.8421916961669922,0.8902165293693542,0.9766666889190674
0,PM,GELU,0.11734999865293502,0.11916666666666667,AT_FLOOR,68,10,8.513442331688253e-05,0.9248332977294922,0.11685416847467422,0.11728125065565109,-5.2059431076049805,-69.77152252197266,-75.229248046875,0.7254001498222351,0.00039999998989515007,0.0002749999985098839,0.3363500237464905,1.0,1.0
0,PM,SILU,0.2230927065014839,0.11916666666666667,ABOVE_FLOOR,,6,0.011771222366426245,0.9809062480926514,0.27796873450279236,0.2006770819425583,-8.667001724243164,-32.982818603515625,-68.06805419921875,0.8875751495361328,0.9532666206359863,0.6488000750541687,0.07418333739042282,0.7320333123207092,0.9455749988555908
1,RL,LR,0.4583395779132843,0.11953097586959913,ABOVE_FLOOR,,,-0.009787516486375842,0.4973437488079071,0.49924999475479126,0.46792706847190857,-7.71687126159668,-9.896785736083984,-11.881914138793945,0.0,0.0,0.0,0.0,0.0,0.0
