arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2
SNAc3,5,0.001,1,none,0.9694145833,1,1,0,0,-0.07056121528,0.1606839597,-0.4948394895,0.7793523073,0.9258929491,12.47198728,0,0,-0.2986704707,0.2945431173,-0.3508797884,0.6839533448,0.736076653,14.55500479,0,0,-0.03555507585,0.6906776428,-0.7045753002,0.985920608,77.57911111,0,0,0.2296383977,1.502004981,-0.7910853028,0.9956368208,42.55379401,0.6933766007,1.338220119,2.253097057,1.219212413,1.724976659,3,3,3,1,0.9617568254,3,3,3,1,1.759752989,3,2.826840401,3,0.9899999499,4.015681744,2.068663836,1.629892826,3,0.009999999776,6
SNAc3,5,0.001,2,none,0.9724916667,1,1,0,0,-0.08072020859,0.1239713281,-0.2914216816,0.7334728241,0.9588826895,13.17214749,0,0,-0.3141538501,0.2711328864,-0.4942011535,0.6263602972,0.6750140786,13.85838575,0,0,-0.1632224321,0.5995492339,-1.442986488,0.9719734192,73.11767575,0,0,0.3408009112,1.459517121,-2.557212114,0.9886297584,37.9975373,0.7089626789,1.573005676,2.863098383,1.403085709,2.006376982,3,3,3,1,0.738953054,3,3,3,1,1.62152195,3,3,3,1,3.482583523,2.117231846,1.526563168,2.970508337,0,6
SNAc3,5,0.001,3,none,0.9631125,1,1,0,0,-0.1221825406,0.1161428764,-0.1892909408,0.5573653579,0.7389110327,12.69837601,0,0,-0.3005928099,0.2519508004,-0.3676948249,0.5815194249,0.6648494601,14.34906581,0,0,-0.2891694009,0.632725656,-2.317450762,0.966375351,67.33653424,0,0,0.393866837,1.656301022,-4.157715797,0.9929330945,35.28507862,0.7493847609,1.805922985,3.415648222,1.552910447,1.985848069,3,3,3,1,0.6963896751,3,3,3,1,1.50886941,3,3,3,1,3.673353672,1.869482994,1.320135355,2.47280407,0,6
SNAc3,5,0.001,4,none,0.9484625,1,1,0,0,-0.1324654669,0.1365519613,-0.259696573,0.4749565721,0.6702027321,12.57219354,0,0,-0.3634625077,0.255810529,-0.428955853,0.6268559694,0.5535080433,14.34255844,0,0,-0.08228120953,0.8096739054,-3.862552881,0.994605124,64.48408998,0,0,0.4697492719,2.073097944,-7.480583668,1.001291275,36.3106867,0.8348045349,2.126019955,3.943908691,1.583338022,1.915155649,3,3,3,1,0.8163612485,3,3,3,1,1.530542493,3,1.170385718,3,0.8599999547,4.706901073,1.494140863,0.8270344734,2.135148764,0,6
SNAc3,5,0.001,5,none,0.9576479167,1,1,0,0,-0.165848121,0.1661922634,-0.3201568127,0.4615179598,0.5992301702,12.72827257,0,0,-0.3695255518,0.2782433927,-0.4881749451,0.6823526025,0.5530825853,14.20926239,0,0,-0.2396311462,0.8553715348,-6.316986561,0.9851888418,64.73619181,0,0,0.3562010229,2.431952238,-5.054774284,0.9987834096,37.66175133,0.8653185368,2.260534048,4.295155525,1.663819909,1.755343556,3,3,3,1,0.9886404276,3,3,3,1,1.665033817,3,1.595887184,3,0.8999999762,4.967875957,1.277594566,0.9956891537,1.953893661,0,6
SNAc3,5,0.001,6,none,0.9569479167,1,1,0,0,-0.1550585032,0.1450770795,-0.2224372923,0.4968481958,0.6512413025,12.82341253,0,0,-0.3997559547,0.2958532572,-0.6435161233,0.7007388473,0.5618889332,14.25203186,0,0,-0.2198514342,1.105036259,-4.148548126,0.9931461811,73.16730273,0,0,0.4921573997,2.975727558,-4.337400913,1.007928133,44.86935511,0.9310227633,2.462502003,4.795506001,1.722655296,1.669479966,3,3,3,1,0.8689001799,3,3,3,1,1.777510881,2.78148675,0.6768194437,3,0.2199999988,6,1.036143422,0.7091977,1.409316778,0,6
SNAc3,5,0.001,7,none,0.95709375,1,1,0,0,-0.1728925407,0.1572350115,-0.3650259078,0.4904479682,0.5926346183,12.44243533,0,0,-0.4819676876,0.3544060886,-0.6180179715,0.8036524653,0.6237766743,14.07935691,0,0,-0.2697983384,1.308178782,-5.346662521,0.9910614491,77.5332815,0,0,0.04710754007,3.546952248,-7.13846302,1.002412915,48.63574446,0.9627586603,2.675391674,5.238573074,1.779149771,1.54703939,3,3,3,1,0.9336524606,3,3,3,1,2.116276264,2.363612175,0.9824337959,2.73982358,0,6,0.8790100813,0.552012682,1.242683411,0,6
SNAc3,5,0.001,8,none,0.9692145833,1,1,0,0,-0.1889597625,0.1474300325,-0.2487395853,0.4512390196,0.5867410302,12.9538971,0,0,-0.4413505197,0.3492986858,-0.611084938,0.7731553316,0.6057395339,14.26645311,0,0,-0.2621571422,1.458589911,-2.943198681,0.9926909804,81.12377964,0,0,0.08500503749,3.865443707,-3.309881926,1.000136733,52.45146882,0.9899602532,2.865727425,5.583600998,1.895226717,1.708559155,3,3,3,1,0.8835641146,3,3,3,1,2.087946415,2.128006697,0.8275866508,2.473313093,0,6,0.7996855974,0.3951157331,1.073073864,0,6
SNAc3,5,0.001,9,none,0.9689291667,1,1,0,0,-0.2041410059,0.1639018804,-0.3522567749,0.4467257857,0.5526588559,12.56213025,0,0,-0.4380558431,0.3521121442,-0.5433080196,0.7428696752,0.6146460772,14.36461954,0,0,-0.3550859988,1.488707423,-3.568812847,0.9924029708,79.47858276,0,0,-0.3275931776,4.103826523,-4.631251335,1.003660321,53.881977,1.000133395,3.010580778,5.97727108,1.949452281,1.656937599,3,3,3,1,0.9834792614,3,3,3,1,2.108183861,2.068863869,0.8793407679,2.465256691,0,6,0.7529402971,0.4279156029,1.078881264,0,6
SNAc3,5,0.001,10,none,0.9620916667,1,1,0,0,-0.2111104876,0.1549163759,-0.4023750424,0.4115255773,0.5254049897,11.7842683,0,0,-0.4665901363,0.356553942,-0.6045631766,0.7570456862,0.5976329446,14.25052662,0,0,-0.1072353646,1.619189024,-4.302253723,0.9951786399,77.20165224,0,0,0.3726384044,4.51140213,-6.544738293,1.004662156,52.66357395,1.047887325,3.127560377,6.357357502,1.994406343,1.657173991,3,3,3,1,0.9237265587,3,3,3,1,2.135240316,1.913722038,0.5073117614,2.272154808,0,6,0.6908445358,0.3520924747,0.9871294498,0,6
