arm,seed,window_t31_50,memo_t31_50,drop_t1_10_minus_t41_50
ref,0,0.11342458332499998,0.11366666890500002,0.015064375020000006
ref,1,0.11218020832999998,0.11325000227,0.00502791666000002
ref,2,0.11560125000000002,0.11645833589000001,-0.005547083309999992
ref,3,0.11399385417,0.114666669075,0.000960624980000005
ref,4,0.11199718750500001,0.11291666961499999,0.00856666667
ref,5,0.11206583333,0.11287500300000002,0.0016439583300000143
ref,6,0.115342812505,0.11570833586999998,-0.00123687502
ref,7,0.11294624999849998,0.11350000202500002,0.0018895833430000036
ref,8,0.11325552083500001,0.1137083359,0.0038174999899999867
ref,9,0.1132371874965,0.11450000218,0.015534791687000032
H,0,0.113877916665,0.11458333544499999,0.05805666665999998
H,1,0.11161468750999999,0.11395833603499998,0.06352270832000002
H,2,0.11560114583,0.11645833589000001,0.056044791679999956
H,3,0.11515229167999999,0.11620833539000001,0.11550249999000001
H,4,0.11199718750500001,0.11291666961499999,0.09269208334999998
H,5,0.11205812500000001,0.11287500300000002,0.021411874999999997
H,6,0.11598135417500002,0.116500002885,0.11981812499999998
H,7,0.11297166666999998,0.11350000202500002,0.08396458333000002
H,8,0.113271562495,0.1137083359,0.10493979165999998
H,9,0.1132369791615,0.11450000218,0.13914124999700003
C,0,0.11342458332499998,0.11366666890500002,0.52153750001
C,1,0.11217999999499997,0.11325000227,0.38674833331999997
C,2,0.11560114583,0.11645833589000001,0.39666979168999994
C,3,0.11399385417,0.114666669075,0.45604145833
C,4,0.11199718750500001,0.11291666961499999,0.25689604169
C,5,0.11206552083000001,0.11287500300000002,0.31024229168000006
C,6,0.115342812505,0.11570833586999998,0.5956289583200001
C,7,0.11294614583149998,0.11350000202500002,0.43360291666699996
C,8,0.11348291666500002,0.11416666917,0.23267791668
C,9,0.1132368749965,0.11450000218,0.281343958327
CH,0,0.9875915625000001,1.0,-0.012454166650000098
CH,1,0.987279166675,1.0,-0.009724166690000091
CH,2,0.9860970833300001,1.0,-0.00770708332000003
CH,3,0.9868928125,1.0,-0.011274374999999948
CH,4,0.9867548958350001,1.0,-0.008112916679999804
CH,5,0.986485000015,1.0,-0.008868958340000122
CH,6,0.9866829166650002,1.0,-0.012894583339999932
CH,7,0.986651041655,1.0,-0.0085312499900001
CH,8,0.98784833332,1.0,-0.010353333319999991
CH,9,0.9865276041650001,1.0,-0.013526250010000185
