arm,seed,task,dead_frac_l1,dead_frac_l2,zbar_l1,zsd_l1,zbar_l2,zsd_l2,sink_ratio_l2,gate_zero_frac_l2,bias_over_sd_l2,r_a1,ratio_of_medians_l2
ref,0,1,0.9799999595,0.25,-6.966255665,1.848003387,-0.1170802861,0.2613555193,-0.5615424514,0.7080416679,1.486027479,0.2171815485,-0.4479732680357441
ref,0,50,1.0,1.0,-6.966255665,1.848003387,-0.09600716829,0.0,-96007168000.0,1.0,300992856100.0,,
ref,1,1,0.9799999595,0.3100000024,-6.428249836,1.804477453,-0.116597347,0.5314691067,-0.4145241976,0.7080333233,0.698916018,0.2196512967,-0.21938687598226864
ref,1,50,1.0,1.0,-6.428249836,1.804477453,-0.07163216919,0.0,-71632166910.0,1.0,354466005000.0,,
ref,2,1,1.0,1.0,-7.484933376,1.944554448,-0.005423441529,0.0,-5423441408.0,1.0,32605710340.0,,
ref,2,50,1.0,1.0,-7.484933376,1.944554448,-0.005423441529,0.0,-5423441408.0,1.0,32605710340.0,,
ref,3,1,1.0,1.0,-6.483652592,1.784512401,-0.02358741127,0.0,-23587411970.0,1.0,35547840510.0,,
ref,3,50,1.0,1.0,-6.483652592,1.784512401,-0.02358741127,0.0,-23587411970.0,1.0,35547840510.0,,
ref,4,1,0.969999969,0.2899999917,-7.319337845,1.869318724,-0.1414793283,0.8042671084,-0.531057179,0.7793083191,0.5090247393,0.217718482,-0.17591087192594188
ref,4,50,1.0,1.0,-7.319337845,1.869318724,-0.1108784005,0.0,-110878400500.0,1.0,425235513300.0,,
ref,5,1,0.9899999499,0.6800000072,-7.032592773,1.848757029,-0.01778894849,0.08835885674,-0.3255822957,0.9789500237,1.741255522,0.05347339436,-0.20132615049948868
ref,5,50,1.0,1.0,-7.032592773,1.848757029,-0.04267323762,0.0,-42673238020.0,1.0,180355547100.0,,
ref,6,1,1.0,1.0,-6.604883671,1.759224534,-0.01722822338,0.0,-17228222460.0,1.0,33549484030.0,,
