step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.78136,4.64475,0.144401,0.447619,0,1.147,56.5256,0.0202917,4.89348,0.293389,3.40844,3.40844,0,1.34822,-0.0014165,nan,0.001735,-0.00357631,-0.00109755,-0.0027554,-0.00280153,0.4855,0.497,nan,nan
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70921,4.0663,0.216107,0.466667,0,6.65195,326.199,0.0203923,4.77348,0.411675,2.4291,2.4291,0,4.84388,-0.00722075,nan,0.0108498,-0.0279904,-0.00573278,-0.0160907,-0.0231258,0.4925,0.4993,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.70883,4.03777,0.251887,0.495238,0,0.0116606,4.2559,0.00273987,4.73112,0.41263,2.42348,2.42348,0,0.20563,0.0805328,nan,0.113311,-0.0520704,0.057864,-0.025356,-0.049416,0.4875,0.5189,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.77672,4.23117,0.208748,0.466667,0,0.0158167,4.10937,0.00384895,4.82857,0.405326,2.46715,2.46715,0,0.256453,-0.000938395,nan,0.137502,-0.168637,0.00104045,-0.114111,-0.143701,0.4545,0.5003,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.61626,3.5499,0.314452,0.485714,0,0.0116699,3.82955,0.00304733,4.50465,0.492988,2.02845,2.02845,0,0.175777,0.134537,nan,0.181599,-0.0719426,0.09784,-0.0382629,-0.0696656,0.4805,0.5341,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75129,4.09916,0.233568,0.457143,0,0.027379,5.48022,0.00499596,4.74811,0.388485,2.5741,2.5741,0,0.248173,0.0530113,nan,0.245082,-0.175442,0.0446165,-0.12635,-0.147482,0.457,0.519,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.61191,3.51765,0.324636,0.495238,0,0.00955287,3.18305,0.00300117,4.40788,0.505506,1.97821,1.97821,0,0.165195,0.127861,nan,0.183674,-0.0821795,0.0919716,-0.0490416,-0.0809107,0.477,0.5327,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.73792,4.00298,0.261143,0.438095,0,0.0156689,5.21551,0.00300428,4.69677,0.399608,2.50245,2.50245,0,0.200425,0.0499253,nan,0.245935,-0.171872,0.041879,-0.117886,-0.122029,0.4575,0.52,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.59789,3.47836,0.318309,0.485714,0,0.0104505,3.4905,0.00299398,4.39456,0.503559,1.98586,1.98586,0,0.164792,0.127357,nan,0.190801,-0.0865168,0.0896374,-0.052966,-0.0862217,0.48,0.5312,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75243,4.06052,0.252424,0.447619,0,0.00552398,3.29396,0.001677,4.72485,0.382945,2.61134,2.61134,0,0.177486,0.0153923,nan,0.217945,-0.199004,0.0125197,-0.126497,-0.132643,0.4475,0.5056,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.60215,3.50461,0.31174,0.504762,0,0.0149495,4.05334,0.00368818,4.43289,0.508569,1.9663,1.9663,0,0.156115,0.0907557,nan,0.165751,-0.0992636,0.0596495,-0.0734802,-0.100692,0.474,0.519,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75676,3.95686,0.272646,0.438095,0,0.0106911,3.98098,0.00268555,4.65874,0.389216,2.56927,2.56927,0,0.18392,0.0172117,nan,0.244571,-0.223796,0.0146383,-0.135423,-0.151547,0.4425,0.5053,nan,nan
6000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.61953,3.51665,0.302111,0.476191,0,0.00565952,2.62634,0.00215491,4.47589,0.517141,1.93371,1.93371,0,0.142695,0.0685616,nan,0.163451,-0.116334,0.0422958,-0.0965257,-0.120119,0.4675,0.5118,nan,nan
6000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.7564,4.00161,0.24976,0.428571,0,0.0051034,3.30392,0.00154465,4.7028,0.387731,2.57911,2.57911,0,0.163347,-0.00323695,nan,0.237554,-0.245086,-0.00256183,-0.158562,-0.168362,0.436,0.4983,nan,nan
7000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.64096,3.54135,0.298086,0.47619,0,0.00619915,2.73868,0.00226355,4.36956,0.52027,1.92208,1.92208,0,0.141731,0.0450284,nan,0.141048,-0.12292,0.0232378,-0.0921978,-0.128224,0.465,0.5059,nan,nan
7000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.77803,4.04137,0.239377,0.447619,0,0.00916987,4.01852,0.0022819,4.69529,0.380651,2.62708,2.62708,0,0.162082,-0.0229046,nan,0.232039,-0.272468,-0.0186536,-0.179446,-0.190007,0.429,0.4905,nan,nan
8000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.65291,3.57638,0.285916,0.495238,0,0.00508733,3.10212,0.00163995,4.39895,0.508466,1.9667,1.9667,0,0.132566,0.0191072,nan,0.127679,-0.130932,0.00267029,-0.101705,-0.138485,0.459,0.4976,nan,nan
8000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.78175,4.00982,0.234221,0.476191,0,0.00780722,3.91333,0.00199503,4.69014,0.373633,2.67642,2.67642,0,0.155023,-0.0380567,nan,0.247063,-0.289368,-0.0312963,-0.197076,-0.205867,0.421,0.4847,nan,nan
9000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.66357,3.61326,0.272759,0.485714,0,0.00890786,3.32572,0.00267848,4.48648,0.503733,1.98518,1.98518,0,0.134947,0.0103855,nan,0.104786,-0.137191,-0.00394709,-0.100263,-0.146758,0.453,0.4963,nan,nan
9000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.79583,4.07135,0.220006,0.457143,0,0.00442998,3.24897,0.0013635,4.7125,0.375226,2.66506,2.66506,0,0.146207,-0.0488754,nan,0.225313,-0.305934,-0.0388801,-0.194978,-0.220922,0.414,0.4851,nan,nan
10000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.67287,3.70284,0.249667,0.476191,0,0.0139414,3.69502,0.00377302,4.50436,0.492415,2.03081,2.03081,0,0.142919,0.0168118,nan,0.101652,-0.146558,0.000619676,-0.107096,-0.158742,0.4465,0.4968,nan,nan
10000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.80349,4.11243,0.220999,0.447619,0,0.00734063,3.40624,0.00215505,4.7421,0.364414,2.74413,2.74413,0,0.156005,-0.0571664,nan,0.212254,-0.31451,-0.044913,-0.195939,-0.230373,0.4135,0.4837,nan,nan
11000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.46276,3.62374,0.198726,0.552381,0,0.0269267,7.1889,0.00374559,4.69945,0.36935,2.70746,2.70746,0,0.295299,0.116581,nan,0.364427,-0.125768,0.0714287,-0.0952942,-0.0994016,0.4665,0.5263,nan,nan
11000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75412,3.85513,0.227821,0.476191,0,0.0113758,2.64929,0.00429391,4.6747,0.408182,2.44989,2.44989,0,0.178047,-0.0316549,nan,0.292707,-0.302609,-0.0279944,-0.196611,-0.224781,0.413,0.4924,nan,nan
12000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.29735,3.64457,0.204683,0.533333,0,0.0328832,7.52062,0.00437241,4.75399,0.383619,2.60675,2.60675,0,0.240699,0.223755,nan,0.577516,-0.099067,0.185459,-0.0767285,-0.0870779,0.4635,0.5564,nan,nan
