route,noise_sd,K,tag,width,seed,run_id,dead_end,dead_max,eval0,eval_end,eval_ratio,b_mean_end,b_std_end,b_min_end,beta_mean_end,p_min_end,srank_end,finite
route1,0.0,10000,n0_K10000,20,0,B_w20_K10000_c0.0_lr0.01_s0,0.0,0.0,1.4576,0.0523628,0.03592398463227223,-0.231839,0.117421,-0.427066,-0.2231,0.3515,5.79571,True
route1,0.0,10000,n0_K10000,20,1,B_w20_K10000_c0.0_lr0.01_s1,0.0,0.0,1.85244,0.0674569,0.0364151605450109,-0.256658,0.162568,-0.49016,-0.269973,0.259,4.85004,True
route1,0.0,10000,n0_K10000,5,0,B_w5_K10000_c0.0_lr0.01_s0,0.0,0.0,1.34822,0.145774,0.1081233033184495,-0.0517289,0.708413,-0.48578,-0.0592612,0.353,2.14063,True
route1,0.0,10000,n0_K10000,5,1,B_w5_K10000_c0.0_lr0.01_s1,0.0,0.0,4.84388,0.132797,0.027415419044237263,0.145951,0.762361,-0.38606,0.103268,0.3815,2.62333,True
route1,0.5,10000,n0.5_K10000,20,0,B_w20_K10000_c0.0_lr0.01_s0,0.0,0.0,1.47976,0.10995,0.07430258960912581,-0.682915,0.210165,-1.02013,-0.635285,0.11,3.83474,True
route1,0.5,10000,n0.5_K10000,20,1,B_w20_K10000_c0.0_lr0.01_s1,0.0,0.0,1.86235,0.124594,0.06690149542245014,-0.727276,0.242739,-1.08448,-0.722039,0.0755,4.10491,True
route1,0.5,10000,n0.5_K10000,5,0,B_w5_K10000_c0.0_lr0.01_s0,0.0,0.0,1.33418,0.14957,0.11210631249156787,-0.298027,0.278372,-0.789297,-0.210408,0.2855,1.72079,True
route1,0.5,10000,n0.5_K10000,5,1,B_w5_K10000_c0.0_lr0.01_s1,0.0,0.0,4.82067,0.196303,0.04072110308318139,-0.391905,0.490071,-0.881699,-0.301052,0.235,1.80714,True
route1,1.0,10000,n1_K10000,20,0,B_w20_K10000_c0.0_lr0.01_s0,0.4,0.4,1.55337,0.230417,0.14833362302606592,-1.18535,0.366439,-2.01941,-0.876083,0.0,2.54102,True
route1,1.0,10000,n1_K10000,20,1,B_w20_K10000_c0.0_lr0.01_s1,0.2,0.35,1.87247,0.202656,0.10822923731755382,-1.36535,0.308293,-1.94207,-1.04493,0.011,3.0993,True
route1,1.0,10000,n1_K10000,5,0,B_w5_K10000_c0.0_lr0.01_s0,0.0,0.0,1.32123,0.178893,0.1353988329057015,-0.823308,0.424493,-1.40971,-0.606859,0.0665,1.59382,True
route1,1.0,10000,n1_K10000,5,1,B_w5_K10000_c0.0_lr0.01_s1,0.0,0.2,4.79768,0.225135,0.046925805806139635,-0.837853,0.430054,-1.16178,-0.488272,0.2435,1.57838,True
route1,2.0,10000,n2_K10000,20,0,B_w20_K10000_c0.0_lr0.01_s0,0.8,0.9,1.85206,0.795062,0.42928522834033456,-3.03577,0.502051,-4.11303,-1.17652,0.0,1.72628,True
route1,2.0,10000,n2_K10000,20,1,B_w20_K10000_c0.0_lr0.01_s1,0.9,0.95,1.89337,0.470245,0.24836402816142647,-2.50544,0.597789,-4.28625,-0.866633,0.0,1.15846,True
route1,2.0,10000,n2_K10000,5,0,B_w5_K10000_c0.0_lr0.01_s0,0.8,1.0,1.29857,0.411906,0.3171996888885466,-1.81964,0.814923,-4.14431,-0.622157,0.0,1.0,True
route1,2.0,10000,n2_K10000,5,1,B_w5_K10000_c0.0_lr0.01_s1,0.6,1.0,4.7524,0.610469,0.12845488595236093,-2.6948,0.870428,-3.99417,-1.08279,0.0,1.50179,True
route2,0.0,1000,n0_K1000,20,0,B_w20_K1000_c0.0_lr0.01_s0,0.0,0.0,1.4576,0.207733,0.14251715148188804,-0.117089,0.22705,-0.53168,-0.145142,0.22,4.61567,True
route2,0.0,1000,n0_K1000,20,1,B_w20_K1000_c0.0_lr0.01_s1,0.0,0.0,1.85244,0.136392,0.07362829565330052,-0.0899052,0.271779,-0.741772,-0.121212,0.1505,5.66035,True
route2,0.0,1000,n0_K1000,5,0,B_w5_K1000_c0.0_lr0.01_s0,0.0,0.0,1.34822,0.198705,0.14738321638901664,0.656994,0.333001,0.142922,0.694106,0.5735,2.7284,True
route2,0.0,1000,n0_K1000,5,1,B_w5_K1000_c0.0_lr0.01_s1,0.0,0.0,4.84388,0.139151,0.02872717738672304,0.570475,0.30729,0.158011,0.588095,0.5525,2.72201,True
route2,0.0,100,n0_K100,20,0,B_w20_K100_c0.0_lr0.01_s0,0.65,0.75,1.4576,0.514298,0.3528389132821076,-1.10064,0.0932888,-1.25606,-1.35229,0.0015,3.0474,True
route2,0.0,100,n0_K100,20,1,B_w20_K100_c0.0_lr0.01_s1,0.8,0.8,1.85244,0.634616,0.3425838353738852,-1.05435,0.142564,-1.40653,-1.32015,0.0,2.17942,True
route2,0.0,100,n0_K100,5,0,B_w5_K100_c0.0_lr0.01_s0,0.6,0.8,1.34822,0.49727,0.36883446321816915,-0.150816,0.746786,-1.10948,-0.256973,0.018,1.79391,True
route2,0.0,100,n0_K100,5,1,B_w5_K100_c0.0_lr0.01_s1,0.4,0.4,4.84388,0.621701,0.1283477295060984,-0.419082,0.731433,-1.12175,-0.620364,0.011,1.90844,True
