route,tag,noise_sd,K,width,dead_end,dead_max,eval_ratio,eval_end,b_mean_end,b_std_end,b_min_end,beta_mean_end,p_min_end,finite,n,c1_finite,c2_dead,c3_lop
route1,n2_K10000,2.0,10000,20,0.8500000000000001,0.925,0.3388246282508805,0.6326535,-2.7706049999999998,0.54992,-4.1996400000000005,-1.0215765,0.0,True,2,True,True,False
route2,n0_K100,0.0,100,20,0.7250000000000001,0.775,0.34771137432799637,0.574457,-1.0774949999999999,0.1179264,-1.331295,-1.33622,0.00075,True,2,True,True,False
route1,n2_K10000,2.0,10000,5,0.7,1.0,0.22282728742045377,0.5111875,-2.25722,0.8426754999999999,-4.06924,-0.8524734999999999,0.0,True,2,True,True,False
route2,n0_K100,0.0,100,5,0.5,0.6000000000000001,0.24859109636213378,0.5594855,-0.284949,0.7391095,-1.115615,-0.4386685,0.014499999999999999,True,2,True,True,False
route1,n1_K10000,1.0,10000,20,0.30000000000000004,0.375,0.12828143017180987,0.21653650000000002,-1.27535,0.337366,-1.98074,-0.9605064999999999,0.0055,True,2,True,True,False
route1,n0_K10000,0.0,10000,5,0.0,0.0,0.06776936118134338,0.1392855,0.04711105,0.735387,-0.43592,0.0220034,0.36724999999999997,True,2,True,False,False
route1,n0.5_K10000,0.5,10000,20,0.0,0.0,0.07060204251578797,0.117272,-0.7050955000000001,0.226452,-1.052305,-0.678662,0.09275,True,2,True,False,False
route1,n0.5_K10000,0.5,10000,5,0.0,0.0,0.07641370778737464,0.1729365,-0.344966,0.3842215,-0.8354980000000001,-0.25573,0.26025,True,2,True,False,False
route1,n0_K10000,0.0,10000,20,0.0,0.0,0.03616957258864156,0.05990985,-0.24424849999999998,0.1399945,-0.458613,-0.2465365,0.30525,True,2,True,False,False
route1,n1_K10000,1.0,10000,5,0.0,0.1,0.09116231935592058,0.202014,-0.8305804999999999,0.4272735,-1.285745,-0.5475655,0.155,True,2,True,False,False
route2,n0_K1000,0.0,1000,5,0.0,0.0,0.08805519688786984,0.168928,0.6137345,0.32014549999999997,0.1504665,0.6411005000000001,0.563,True,2,True,False,False
route2,n0_K1000,0.0,1000,20,0.0,0.0,0.10807272356759429,0.1720625,-0.10349710000000001,0.24941449999999998,-0.636726,-0.133177,0.18525,True,2,True,False,False
