quantity,k,level,n,mean,sd,lo,hi,sign
R_none,1,0.975,10,0.10197604166666666,0.04173778365166464,0.06653753377142813,0.13741454956190519,+
R_none,1,0.95,10,0.10197604166666666,0.04173778365166464,0.07211862989154323,0.1318334534417901,+
R_c12,1,0.975,10,0.06101875000000001,0.028195896069636687,0.037078320057278485,0.08495917994272154,+
R_c12,1,0.95,10,0.06101875000000001,0.028195896069636687,0.040848621026557244,0.08118887897344278,+
dR_add_h,1,0.975,10,0.12960208333333334,0.025610228353068146,0.10785707916004945,0.1513470875066172,+
dR_add_h,1,0.95,10,0.12960208333333334,0.025610228353068146,0.111281629617483,0.14792253704918368,+
dn_add_h,1,0.975,10,0.008232799767208195,0.001322950079180359,0.007109515952779545,0.009356083581636846,+
dn_add_h,1,0.95,10,0.008232799767208195,0.001322950079180359,0.0072864182918122265,0.009179181242604164,+
phi_add_h,1,0.975,10,-0.04456041665309853,0.01935914158855546,-0.060997779445449415,-0.028123053860747645,-
phi_add_h,1,0.95,10,-0.04456041665309853,0.01935914158855546,-0.05840911228213355,-0.030711721024063512,-
kappa_add_h,1,0.975,10,2.5761163190990564,0.5222490320884353,2.132687731673127,3.0195449065249855,+
kappa_add_h,1,0.95,10,2.5761163190990564,0.5222490320884353,2.2025218673581537,2.949710770839959,+
dR_add,1,0.975,10,0.13731145833333336,0.028622120003948832,0.11300913231133455,0.16161378435533216,+
dR_add,1,0.95,10,0.13731145833333336,0.028622120003948832,0.11683642712499046,0.15778648954167626,+
dn_add,1,0.975,10,0.009298220432538879,0.0022205278911055955,0.007412825753767897,0.011183615111309862,+
dn_add,1,0.95,10,0.009298220432538879,0.0022205278911055955,0.007709750470736248,0.01088669039434151,+
phi_add,1,0.975,10,-0.028434676810597092,0.02072103040647536,-0.04602838532626399,-0.01084096829493019,-
phi_add,1,0.95,10,-0.028434676810597092,0.02072103040647536,-0.0432576090106952,-0.013611744610498987,-
kappa_add,1,0.975,10,2.2270341370413673,0.5250614162785187,1.7812176245603726,2.672850649522362,+
kappa_add,1,0.95,10,2.2270341370413673,0.5250614162785187,1.8514278268478461,2.6026404472348883,+
dR_drop_h,1,0.975,10,0.022471875000000006,0.014328304163527055,0.0103060704028438,0.03463767959715621,+
dR_drop_h,1,0.95,10,0.022471875000000006,0.014328304163527055,0.012222023665774203,0.032721726334225806,+
dn_drop_h,1,0.975,10,0.0002089555233508812,0.0011543875869620324,-0.0007712060960619822,0.0011891171427637446,0
dn_drop_h,1,0.95,10,0.0002089555233508812,0.0011543875869620324,-0.0006168436091490987,0.0010347546558508612,0
phi_drop_h,1,0.975,10,-0.02119632150233951,0.013268878126662805,-0.03246259395650571,-0.009930049048173309,-
phi_drop_h,1,0.95,10,-0.02119632150233951,0.013268878126662805,-0.030688305104729453,-0.01170433789994957,-
kappa_drop_h,1,0.975,10,0.9736197934228542,0.21735335142736986,0.7890705005111738,1.1581690863345346,+
