act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,l2,0.001,0.001,5,33,0.9457354167,1,1,0.2700000107,0.2700000107,-0.1201121286,0.726267755,-0.6546001434,0.2800000012,50.68299756,0.03999999911,0.03999999911,0.3697978556,0.2886507809,-0.003568693763,0.9183333516,12.93843311,1.09190464,0.8139813542,2.801918983,0.2786308304,0.2786308304,0.3509674398,0.08666042152
R,l2,0.001,0.001,5,34,0.9488333333,1,1,0.3799999952,0.3799999952,-0.200718686,0.7683771253,-0.8011977077,0.2458333373,48.92124744,0.1199999973,0.1199999973,0.3599787951,0.2944745719,-0.002273931401,0.9091666937,13.52480465,1.163338423,0.7986335158,2.767657042,0.2945886488,0.2945886488,0.3657082023,0.09381667443
R,l2,0.001,0.001,5,35,0.9463375,0.9125000238,0.9125000238,0.3600000143,0.3600000143,-0.4144870937,0.8566241264,-3.446237803,0.1199999973,49.16577479,0.150000006,0.150000006,0.310493201,0.3033033311,-0.1355938166,0.8333333135,16.86330588,1.313705802,0.8733639717,2.877254963,0.3240367337,0.3240367337,0.3958767225,0.109616077
R,l2,0.001,0.001,5,36,0.9406479167,1,1,0.2399999946,0.2399999946,-0.1638820618,0.7234821916,-1.14721036,0.2450000048,39.16166371,0.1599999964,0.1599999964,0.4903291762,0.2883390486,-0.02110738121,0.9741666913,9.621500111,1.271915913,0.8446227908,2.79211235,0.2896634135,0.2896634135,0.3610792377,0.09180846264
R,l2,0.001,0.001,5,37,0.9459395833,1,1,0.3700000048,0.3700000048,-0.2032003552,0.7794598937,-2.211009026,0.2366666645,49.81800903,0.1199999973,0.1199999973,0.3943177462,0.3595929742,-0.01309137419,0.8866666555,16.30438742,1.321308732,0.9499297142,2.858165979,0.3259450108,0.3259450108,0.3976326412,0.1103214832
R,l2,0.001,0.001,5,38,0.9427520833,1,1,0.2800000012,0.2800000012,-0.3116402626,0.8043502569,-1.551576495,0.2333333343,41.84667333,0.200000003,0.200000003,0.5014737844,0.315869391,-0.05367558077,0.9674999714,10.20558605,1.242113948,0.8988189697,2.805657148,0.2969789259,0.2969789259,0.3671867431,0.09526141675
R,l2,0.001,0.001,5,39,0.9380166667,1,1,0.25,0.25,-0.1445977539,0.7290069461,-0.7563020587,0.2866666615,41.133444,0.1700000018,0.1700000018,0.4949818552,0.2871719301,-0.002449318068,0.9725000262,9.537291177,1.202253461,0.8431403041,2.763442755,0.2818197764,0.2818197764,0.3531553723,0.0878515242
R,l2,0.001,0.001,5,40,0.9410666667,1,1,0.3000000119,0.3000000119,-0.3316230476,0.7923755646,-1.645518184,0.2691666782,45.6688417,0.1800000072,0.1800000072,0.4866013229,0.3223167658,-0.06169191375,0.9416666627,12.42996292,1.317188501,0.8811566234,2.789390326,0.3160982679,0.3160982679,0.3861740067,0.104808712
R,l2,0.001,0.001,5,41,0.94678125,1,1,0.2399999946,0.2399999946,-0.05134232342,0.7219867706,-0.7655613422,0.3075000048,51.0140089,0.03999999911,0.03999999911,0.350278914,0.2791032493,-6.058950748e-05,0.9216666818,13.67833164,1.209091544,0.8026385307,2.75452137,0.2741839836,0.2741839836,0.3449774468,0.0840227758
R,l2,0.001,0.001,5,42,0.9472583333,0.9983333349,0.9983333349,0.2599999905,0.2599999905,-0.1133255661,0.6960483789,-0.7988684177,0.2433333397,49.32735325,0.09000000358,0.09000000358,0.3569758534,0.2828928232,-0.0004236774112,0.9141666889,12.84979191,1.105885863,0.8391125798,2.799443722,0.27913728,0.27913728,0.3495400749,0.08694077813
R,l2,0.001,0.001,5,43,0.9490895833,1,1,0.3100000024,0.3100000024,-0.2844674587,0.7946782112,-1.5874933,0.226666674,40.89320917,0.2099999934,0.2099999934,0.4751475453,0.3282572627,-0.1257555783,0.9441666603,11.83051269,1.2763381,0.921974659,2.851117373,0.3158021875,0.3158021875,0.384900656,0.1051783739
R,l2,0.001,0.001,5,44,0.9446604167,1,1,0.3199999928,0.3199999928,-0.249176994,0.7351879478,-1.239964724,0.2216666639,38.3915948,0.2399999946,0.2399999946,0.466943711,0.2839361727,-0.04554210976,0.9599999785,10.47381001,1.137061715,0.7824777961,2.811592817,0.300766966,0.300766966,0.372001559,0.09739813788
R,l2,0.001,0.001,5,45,0.9389625,1,1,0.3199999928,0.3199999928,-0.06939502805,0.7821285725,-0.6460326314,0.285833329,47.13335451,0.09000000358,0.09000000358,0.3431300223,0.2935097516,-0.007608542219,0.9133333564,14.32570881,1.211957097,0.7973642349,2.775867462,0.2919613599,0.2919613599,0.363260019,0.09269475048
R,l2,0.001,0.001,5,46,0.9458020833,1,1,0.2599999905,0.2599999905,-0.1335498244,0.711048007,-0.8172480464,0.2533333302,48.77825337,0.03999999911,0.03999999911,0.2689421177,0.2281233072,-5.957682561e-07,0.9166666865,11.61452169,1.096210957,0.6821107864,2.794142962,0.2790973313,0.2790973313,0.3501378578,0.08688267409
R,l2,0.001,0.001,5,47,0.93928125,0.9991666675,0.9991666675,0.3400000036,0.3400000036,-0.2892897427,0.7048959732,-2.4243505,0.1650000066,44.12039984,0.2300000042,0.2300000042,0.3074028492,0.2702357173,-0.05430812016,0.8625000119,12.69509469,0.48715958,0.7910252213,2.901085854,0.327150097,0.327150097,0.3979789646,0.1115332191
R,l2,0.001,0.001,5,48,0.94590625,1,1,0.3000000119,0.3000000119,-0.1986020356,0.7576699853,-0.7919361591,0.2483333349,48.69371744,0.1299999952,0.1299999952,0.3011826277,0.2525429726,-0.0008136469405,0.9083333611,11.84607575,1.247478366,0.7071261406,2.722804308,0.2892931214,0.2892931214,0.3582625905,0.09135685098
R,l2,0.001,0.001,5,49,0.9461895833,1,1,0.2899999917,0.2899999917,-0.2003655583,0.7466713786,-0.7600493431,0.2708333433,51.39610437,0.1400000006,0.1400000006,0.287198782,0.2630826235,-1.91944473e-05,0.9233333468,11.7937316,1.137718201,0.7366493344,2.739906311,0.2821725539,0.2821725539,0.3514809719,0.08741631351
R,l2,0.001,0.001,5,50,0.9513520833,1,1,0.2300000042,0.2300000042,-0.1957458258,0.7597078681,-1.039501548,0.2800000012,52.35960182,0.1199999973,0.1199999973,0.249111563,0.2492217571,-0.0004650013288,0.9083333611,11.30033481,1.156645656,0.7408052683,2.77250886,0.2886904423,0.2886904423,0.3597728776,0.0910375678
