task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,R,1,0.6748960018157959,0.8542426802101135,0.7968,0.5844767724514007,0.776,0.6807890625,62500,500,0.6743519902229309,0.7968,0.776,33.053019981016405,34.98898879397893,"[0.485759973526001, 0.619439959526062, 0.7118399739265442, 0.7672799825668335, 0.7901600003242493]"
2,R,1,0.7042239904403687,0.7597911142807007,0.7836,0.5685042865753174,0.72,0.7217089538574218,62500,500,0.7038080096244812,0.7836,0.72,31.257839252008125,32.605044647993054,"[0.583840012550354, 0.6962400078773499, 0.7199199795722961, 0.7574399709701538, 0.7636799812316895]"
3,R,1,0.7067199945449829,0.7778849371299743,0.8204,0.4909653121948242,0.728,0.7577441711425781,62500,500,0.7063999772071838,0.8204,0.728,31.253078403009567,32.55134286801331,"[0.5467199683189392, 0.7006399631500244, 0.7358399629592896, 0.7665599584579468, 0.783840000629425]"
4,R,1,0.7982400059700012,0.5452132930526733,0.8968,0.27681518783569337,0.844,0.5096271362304687,62500,500,0.7978559732437134,0.8968,0.844,31.220476307033096,32.51781182299601,"[0.6962400078773499, 0.782319962978363, 0.8194400072097778, 0.837119996547699, 0.8560799956321716]"
5,R,1,0.7864320278167725,0.5795554736232758,0.8584,0.384867653465271,0.772,0.6888553466796875,62500,500,0.785968005657196,0.8584,0.772,31.23062748502707,32.54311538301408,"[0.6723999977111816, 0.7771999835968018, 0.8060799837112427, 0.8306399583816528, 0.8458399772644043]"
6,R,1,0.7581920027732849,0.6293034784507752,0.8492,0.4040026388168335,0.728,0.8435749816894531,62500,500,0.7578399777412415,0.8492,0.728,31.21151061099954,32.604240751999896,"[0.6236000061035156, 0.7485599517822266, 0.7765600085258484, 0.8095999956130981, 0.8326399922370911]"
7,R,1,0.8484960198402405,0.4278576865444183,0.9292,0.2025080997467041,0.812,0.616285400390625,62500,500,0.8480479717254639,0.9292,0.812,31.22690056602005,32.53632877499331,"[0.7536799907684326, 0.8335999846458435, 0.868399977684021, 0.8852799534797668, 0.9015199542045593]"
8,R,1,0.7505760192871094,0.6632230585651397,0.876,0.3363093612670898,0.736,0.9152231750488281,62500,500,0.7501760125160217,0.876,0.736,31.229317237972282,32.53196078899782,"[0.6023199558258057, 0.7279999852180481, 0.7719199657440186, 0.8120799660682678, 0.8385599851608276]"
9,R,1,0.6855360269546509,0.7761144852962494,0.8324,0.42253649711608887,0.656,0.9105400390625,62500,500,0.6851360201835632,0.8324,0.656,31.216720107011497,32.526612681976985,"[0.5715999603271484, 0.6483199596405029, 0.6970399618148804, 0.7362399697303772, 0.7744799852371216]"
10,R,1,0.7817599773406982,0.5771843636512756,0.9024,0.26725650444030763,0.7,0.9556932067871093,62500,500,0.781328022480011,0.9024,0.7,31.190236561989877,32.49140386399813,"[0.6423999667167664, 0.7599200010299683, 0.8091999888420105, 0.831119954586029, 0.866159975528717]"
11,R,1,0.8827199935913086,0.33242517931461335,0.9672,0.09422558355331422,0.864,0.47194700622558594,62500,500,0.8822399973869324,0.9672,0.864,31.213790061010513,32.51843250897946,"[0.7674399614334106, 0.8734399676322937, 0.910319983959198, 0.9228799939155579, 0.939520001411438]"
12,R,1,0.8414559960365295,0.4240466093235016,0.9492,0.1456893853187561,0.84,0.5375377197265625,62500,500,0.8409919738769531,0.9492,0.84,31.179490889946464,32.49458250898169,"[0.7176799774169922, 0.8259199857711792, 0.861519992351532, 0.8934399485588074, 0.9087199568748474]"
13,R,1,0.8334400057792664,0.4584764205646515,0.9504,0.15119612970352173,0.748,0.8478917236328125,62500,500,0.8330240249633789,0.9504,0.748,31.267556571983732,32.585019446967635,"[0.7118399739265442, 0.8210399746894836, 0.8555999994277954, 0.8808799982070923, 0.8978399634361267]"
14,R,1,0.9070079922676086,0.27672381243705746,0.9708,0.0826498314857483,0.852,0.6125821380615234,62500,500,0.9066399931907654,0.9708,0.852,31.200074377004057,32.51106491999235,"[0.8159199953079224, 0.901199996471405, 0.9220799803733826, 0.9399199485778809, 0.9559199810028076]"
15,R,1,0.8540480136871338,0.3971157166366577,0.9104,0.24728540592193604,0.8,0.6306566467285156,62500,500,0.8536480069160461,0.9104,0.8,31.19406200904632,32.504283610964194,"[0.7349599599838257, 0.8462399840354919, 0.873199999332428, 0.9000799655914307, 0.9157599806785583]"
16,R,1,0.872655987739563,0.3536924779834747,0.9636,0.1052352041721344,0.864,0.4374979248046875,62500,500,0.8723040223121643,0.9636,0.864,31.189004629966803,32.51280427002348,"[0.7561599612236023, 0.8663199543952942, 0.8948799967765808, 0.9200800061225891, 0.9258399605751038]"
17,R,1,0.875216007232666,0.35622058107995985,0.9636,0.10749964990615844,0.792,0.8136688842773437,62500,500,0.8749600052833557,0.9636,0.792,31.18505513202399,32.485266752017196,"[0.7639200091362, 0.8648799657821655, 0.8995199799537659, 0.9192000031471252, 0.9285599589347839]"
18,R,1,0.8276799917221069,0.4597201355037689,0.9304,0.18982825527191163,0.752,0.86605224609375,62500,500,0.8273280262947083,0.9304,0.752,31.19516789203044,32.49508300097659,"[0.6663999557495117, 0.8074399828910828, 0.85999995470047, 0.8892799615859985, 0.9152799844741821]"
