arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
SNA,raw,0,0,0.001,1,none,0.87104375,1,1,0,0,-1.394574642,6.657961845,-44.20640564,1.139090419,51.85329846,0,0,0.6922094226,9.190916061,-55.24748993,1.040022612,60.70348532,5.380987644,1.043778658,0.7568891644,0.09285514057,0.03363646194,0.1866485626,0,1.200000048,0.06772810966,0.01993748546,0.1402320117,0,1.200000048
SNA,raw,0,0,0.001,2,none,0.9323854167,1,1,0,0,-7.147141933,9.459887505,-73.20446777,0.9090447426,55.00158201,0,0,-15.02923584,15.94606495,-46.0607338,0.6221072078,72.20834252,7.520068645,1.400132537,0.889230907,0.06513260305,0.03061336279,0.1133789197,0,1.200000048,0.03857490048,0.01609310135,0.06939028203,0,1.200000048
SNA,raw,0,0,0.001,3,none,0.94059375,1,1,0,0,-4.928260803,10.85509396,-112.5733643,1.003662586,52.81607508,0,0,-23.9052887,23.59526443,-61.70847702,0.6115154028,73.80444307,8.858537674,1.647416115,1.009782076,0.05670388043,0.01987371407,0.09774556011,0,1.200000048,0.02630593069,0.01396791451,0.04197351635,0,1.200000048
SNA,raw,0,0,0.001,4,none,0.9409125,1,1,0,0,-9.140762329,10.79152775,-83.47074127,0.6367747188,60.62070957,0,0,-20.72582436,20.76560593,-43.54878998,0.5345910788,76.26009105,10.08322048,1.80092907,1.009162068,0.05754189193,0.02369453944,0.08261779696,0,1.200000048,0.02986182086,0.02184562758,0.04370140657,0,1.200000048
SNA,raw,0,0,0.001,5,none,0.93525,1,1,0,0,-8.456408501,11.19168091,-39.02323532,0.7118746042,63.69025121,0,0,-23.78266907,22.16506767,-59.21032715,0.5432451367,75.97477937,10.97380161,1.923361301,0.9758799672,0.055310864,0.02605736628,0.08224394917,0,1.200000048,0.02784050442,0.01842246018,0.04489813745,0,1.200000048
SNA,raw,0,0,0.001,6,none,0.9464604167,1,1,0,0,-8.236813545,11.75532722,-34.03881454,0.6515575051,64.44878271,0,0,-23.34753227,25.91430855,-67.34356689,0.5764886737,76.89107154,11.73238373,2.103544474,1.062328219,0.05281977355,0.01993172988,0.07927422225,0,1.200000048,0.02388035133,0.01535246521,0.03610288724,0,1.200000048
SNA,raw,0,0,0.001,7,none,0.9363020833,1,1,0,0,-8.181983948,12.11801624,-38.23565292,0.7285840511,65.4229184,0,0,-32.5719223,27.44799232,-65.41265869,0.5395517349,76.89560355,12.54848194,2.181476593,1.049025416,0.05078126863,0.02167771757,0.08054762334,0,1.200000048,0.02231507003,0.01623044908,0.03114798293,0,1.200000048
SNA,raw,0,0,0.001,8,none,0.9419604167,1,1,0,0,-8.058048248,11.84467411,-35.60848236,0.6820554733,70.45692087,0,0,-27.38679123,27.54541588,-72.41822815,0.5537466407,77.53299998,13.1508646,2.232908964,1.054249525,0.0522348024,0.02994798869,0.07709693909,0,1.200000048,0.02248958871,0.01492213178,0.02987967245,0,1.200000048
SNA,raw,0,0,0.001,9,none,0.9411,0.9100000262,0.9100000262,0,0,-12.07956886,12.64066982,-29.37722015,0.5492138863,72.05901321,0,0,-26.79971695,25.25383568,-57.87198639,0.4907327294,78.13610158,13.71959209,2.343124866,1.059506059,0.04852088541,0.02898546681,0.07434522361,0,1.200000048,0.02297502942,0.01626256667,0.03132408485,0,1.200000048
SNA,raw,0,0,0.001,10,none,0.941875,1,1,0,0,-9.621581078,12.85225677,-43.83451843,0.73175174,68.60510227,0,0,-44.28001404,32.13018799,-79.22510529,0.5529018641,75.55831716,14.2237587,2.429261923,1.068516254,0.04834986478,0.02673747391,0.07704590261,0,1.200000048,0.01927580498,0.01435579639,0.0253346581,0,1.200000048
SNA,raw,0,0,0.001,11,none,0.9468895833,1,1,0,0,-9.817789078,12.67219067,-44.1815834,0.7027583718,73.34993862,0,0,-30.07929802,31.33596992,-76.42261505,0.5578396916,78.542586,14.50100327,2.479241371,1.066849113,0.04887931794,0.03324524686,0.07116279751,0,1.200000048,0.01969535649,0.0145785138,0.02818937041,0,1.200000048
SNA,raw,0,0,0.001,12,none,0.9452541667,0.9766666889,0.9766666889,0,0,-10.54390907,12.76652431,-29.34838295,0.5789706707,72.71978437,0,0,-34.86649323,28.45170784,-61.74785233,0.5210186839,77.49925165,15.08629513,2.47166872,1.044049621,0.04814502969,0.031952966,0.06432453543,0,1.200000048,0.02146594971,0.01519184094,0.03100751899,0,1.200000048
SNA,raw,0,0,0.001,13,none,0.9446833333,1,1,0,0,-7.734463215,12.94358635,-36.43541336,0.6925885677,73.43312768,0,0,-36.04989624,32.14987183,-68.65708923,0.5401727557,78.5114194,15.39187241,2.503888845,1.079318762,0.04781763256,0.03163269535,0.06950768828,0,1.200000048,0.01920744963,0.01309382077,0.0265046563,0,1.200000048
SNA,raw,0,0,0.001,14,none,0.9429125,1,1,0,0,-9.397166252,12.63370132,-37.42253876,0.7055823207,73.97403973,0,0,-34.4528923,31.25609779,-75.454422,0.5513466597,79.02479756,15.88509369,2.526160955,1.08794415,0.04913904518,0.03587897867,0.06903120875,0,1.200000048,0.019806467,0.01323146839,0.02700920962,0,1.200000048
SNA,raw,0,0,0.001,15,none,0.9446833333,1,1,0,0,-11.40213394,12.56539726,-36.3970108,0.6054118276,75.33786864,0,0,-31.03022957,29.44849968,-83.80974579,0.5462065935,79.85205333,16.12724113,2.542475939,1.120090246,0.04923726991,0.0345597975,0.06449543685,0,1.200000048,0.02114127204,0.01485242322,0.02666264214,0,1.200000048
SNA,raw,0,0,0.001,16,none,0.9508708333,1,1,0,0,-10.44943714,12.81771374,-34.58563614,0.6348956227,77.6566412,0,0,-31.89301491,29.83990288,-80.61982727,0.5453446507,79.69350888,16.41242981,2.54280138,1.150988221,0.04809667543,0.03306669742,0.06330216676,0,1.200000048,0.02072346024,0.01488875877,0.02803761326,0,1.200000048
SNA,raw,0,0,0.001,17,none,0.94970625,1,1,0,0,-9.763795853,12.75230217,-47.17199326,0.7090360522,73.36304048,0,0,-41.27483749,31.85980797,-83.07961273,0.5760229826,77.90499134,16.63320923,2.571435452,1.179361701,0.04844108224,0.03264830261,0.06627398729,0,1.200000048,0.01908480376,0.01295025088,0.02640553378,0,1.200000048
SNA,raw,0,0,0.001,18,none,0.9460333333,1,1,0,0,-11.74639797,13.16383743,-40.55459595,0.6281918287,74.04114433,0,0,-35.53042221,30.44797325,-77.6944809,0.5608728528,79.75931161,17.15099907,2.581508636,1.241653204,0.0469661653,0.03201827034,0.06503345817,0,1.200000048,0.02026161738,0.01340838335,0.02697480097,0,1.200000048
SNA,raw,0,0,0.001,19,none,0.94355,1,1,0,0,-10.71125984,13.29644299,-42.71308136,0.6004011631,73.6136482,0,0,-37.61740494,31.0419693,-79.95227051,0.5288442969,78.79860389,17.53515053,2.599737167,1.260752439,0.04652653262,0.03158304095,0.06471420825,0,1.200000048,0.02002576366,0.01263987739,0.02636172622,0,1.200000048
SNA,raw,0,0,0.001,20,none,0.94545,1,1,0,0,-10.56941414,13.1437521,-35.10819626,0.6252133846,75.48080065,0,0,-36.35825729,30.90462494,-67.09900665,0.5329357386,79.97710558,17.8049736,2.560344934,1.306383371,0.04668972269,0.03197678924,0.06284146011,0,1.200000048,0.0200324785,0.0137081854,0.02715465426,0,1.200000048
SNA,raw,0,0,0.001,21,none,0.9421291667,1,1,0,0,-11.63509464,12.99312305,-37.4763031,0.592931509,79.25078551,0,0,-32.2593956,31.4008503,-81.82904053,0.5274862647,80.34507186,18.39637566,2.597661734,1.400529504,0.04762572423,0.03509291261,0.05857013911,0,1.200000048,0.01957805082,0.01444001496,0.02928283252,0,1.200000048
SNA,raw,0,0,0.001,22,none,0.9427208333,1,1,0,0,-9.805807114,13.67752743,-39.21517944,0.6611287594,77.02775825,0,0,-43.27602386,35.49178314,-79.33232117,0.5471228957,79.034998,18.86797523,2.673449516,1.447533369,0.04534818977,0.02943233587,0.06002313271,0,1.200000048,0.01738696173,0.01331539452,0.02325469442,0,1.200000048
SNA,raw,0,0,0.001,23,none,0.9503833333,1,1,0,0,-11.22989941,12.96545506,-38.22177887,0.6335999966,77.16398161,0,0,-37.20537949,32.42196655,-81.6205368,0.5453904867,80.07061852,18.95793724,2.609043121,1.431995153,0.04720749334,0.0303674154,0.05881119519,0,1.200000048,0.01902674697,0.01508457214,0.02542123012,0,1.200000048
SNA,raw,0,0,0.001,24,none,0.94954375,1,1,0,0,-12.61361885,13.42391396,-40.29156494,0.6736781001,77.53692058,0,0,-39.75329971,32.47988129,-70.42160797,0.5394105315,79.72649313,19.05479431,2.632733822,1.47474885,0.04595595971,0.03470303863,0.06116018444,0,1.200000048,0.01908093691,0.01488264743,0.0271265246,0,1.200000048
SNA,raw,0,0,0.001,25,none,0.9510145833,1,1,0,0,-9.164744377,13.68345451,-38.50735855,0.6934443712,77.90810568,0,0,-39.24879837,33.85552979,-88.29621887,0.5439658165,78.9571989,19.35617447,2.624245405,1.551478744,0.0452272445,0.03518761694,0.05989190564,0,1.200000048,0.01830824278,0.01270649116,0.02358765341,0,1.200000048
SNA,raw,0,0,0.001,26,none,0.9526354167,1,1,0,0,-10.47806644,13.5535574,-48.15364075,0.6906781197,77.21693634,0,0,-42.06737518,34.48074722,-85.64269257,0.5523815155,79.57005529,19.52676392,2.657415628,1.5768857,0.04558407143,0.03111555614,0.05549119785,0,1.200000048,0.01791498624,0.01405222341,0.02254389599,0,1.200000048
SNA,raw,0,0,0.001,27,none,0.9553708333,1,1,0,0,-8.320392609,13.87013149,-40.48101044,0.6945264339,77.45342816,0,0,-40.9016304,35.32860565,-79.23470306,0.5514857173,79.6729509,19.8596077,2.716597319,1.626489401,0.04456568137,0.03386871144,0.06154944003,0,1.200000048,0.01738847606,0.01272970159,0.02315716818,0,1.200000048
SNA,raw,0,0,0.001,28,none,0.9551083333,1,1,0,0,-9.020570755,13.95990467,-43.12708664,0.7457823157,75.75751489,0,0,-41.96761703,36.62055206,-81.18673706,0.5706050992,79.98976239,19.83862495,2.718140125,1.654141665,0.04428935796,0.03064548224,0.059008874,0,1.200000048,0.01694190502,0.01300426479,0.02201040648,0,1.200000048
SNA,raw,0,0,0.001,29,none,0.95328125,1,1,0,0,-9.481093407,14.06473351,-45.00689316,0.6530345082,78.22982401,0,0,-46.3177681,35.2443161,-84.73468781,0.5254232883,79.1791459,20.20785713,2.778627872,1.689025998,0.04385052994,0.03304293752,0.05838689581,0,1.200000048,0.0174864307,0.01210654806,0.02244484425,0,1.200000048
SNA,raw,0,0,0.001,30,none,0.9591708333,1,1,0,0,-9.865893364,13.88360977,-40.78852844,0.6573110223,78.65392215,0,0,-39.37392426,35.92812729,-101.1029587,0.538613081,80.20520356,20.2251091,2.759856462,1.710315108,0.0440248549,0.03173802793,0.05665962026,0,1.200000048,0.01713413,0.01204922143,0.02082121558,0,1.200000048
SNA,raw,0,0,0.001,31,none,0.95034375,1,1,0,0,-14.22076702,14.06747913,-31.95100403,0.576464355,76.8845066,0,0,-38.47873306,32.04423904,-78.36030579,0.5453833938,79.80215794,20.58019257,2.734271526,1.737641454,0.04339091852,0.0298433248,0.06072946265,0,1.200000048,0.01931475103,0.01585254259,0.02607066371,0,1.200000048
SNA,raw,0,0,0.001,32,none,0.9545333333,1,1,0,0,-10.23463821,13.94566631,-38.42606735,0.6396119595,79.64119169,0,0,-38.844944,34.28967285,-83.30287933,0.5318858027,80.52521672,20.72949028,2.729031563,1.774669886,0.04439164698,0.0299618803,0.05707965791,0,1.200000048,0.01803988218,0.01404123381,0.02401379682,0,1.200000048
SNA,raw,0,0,0.001,33,none,0.95204375,1,1,0,0,-12.62928867,14.29164028,-46.20837021,0.632540226,78.53262253,0,0,-39.67168808,35.68134689,-78.08446503,0.5514029264,80.10964361,21.022089,2.778132677,1.820402384,0.04344561696,0.02929977514,0.05793162808,0,1.200000048,0.01730403677,0.01348044816,0.02645151503,0,1.200000048
SNA,raw,0,0,0.001,34,none,0.9496958333,1,1,0,0,-14.87254143,14.21895885,-32.98763275,0.5756012201,80.36399384,0,0,-40.00683212,32.73731232,-81.56594086,0.5387863517,79.75466012,21.16650581,2.737175941,1.85590744,0.04363396019,0.02963350713,0.06092524529,0,1.200000048,0.01889042556,0.01385322679,0.02487919293,0,1.200000048
