key,arm,window,n,subset_of,resid_min,resid_max,resid_q01,resid_med,resid_q99,n_eff_med,n_eff_q01,n_eff_q99,n_below,n_above,n_mob_zero
E_1216@15M,E_1216,15M,4937633,,-3.4277155716453023,-7.915111713274754e-05,-3.3666913340983955,-3.076132291776487,-1.72720595037162,1.476395450996459,1.1041155074565945,5.6889742098849005,0,0,0
E_1216@5M,E_1216,5M,1666944,E_1216@15M,-3.4277155716453023,-0.0013142692448145001,-3.3565265809098865,-3.0344480861202046,-1.4121911441967194,1.5392385047243442,1.115395802664588,7.795485301353345,0,0,0
E_a0p1_1216@5M,E_a0p1_1216,5M,3737512,,-3.30277375613431,-0.21445821898044914,-3.105400170478107,-2.2061066746950155,-0.5232539312195892,3.524114602451889,1.4338107103610935,18.962853215984943,0,0,0
E_a0p01_1216@5M,E_a0p01_1216,5M,4062110,,-3.2947319782062237,-0.16874953090220832,-3.051934926498575,-2.251258951356285,-0.5282778764386503,3.3685316978178936,1.512556062423648,18.867823791421014,0,0,0
E_a0p001_1216@5M,E_a0p001_1216,5M,4234072,,-3.2202896313266858,-0.18050748529732008,-3.025572617122191,-2.091711521247425,-0.4838087509500642,3.951219958778672,1.5529607740619564,19.72579463995309,0,0,0
