coord,binset,abscissa,pair,x_lo,x_hi,dx,n_lo,n_hi,kappa_mob,at_floor,med_over_ulp_lo,med_over_ulp_hi,inc_med_pred_hi,pred_over_ulp_hi,obs_over_pred_hi,obs_hi2se_hi,obs_lo2se_hi,excluded_by_2se,pred_over_hi2se,kappa_inc,diff,same_sign,within_tol,kappa_inc_mean,diff_mean,key,arm,window,family,dial,sign_undefined
zmax,abs,depth_mid,0-1->1-3,0.5,2.0,1.5,1615334,2279945,0.8768343574779989,False,944.0,5.0,0.00012081910127450934,126.6880099380199,0.03946703403460336,1.143158832118738e-05,3.462894864298071e-07,True,10.568881408245119,3.031694048767637,2.154859691289638,True,False,1.1520806417645495,0.2752462842865506,E_1216@15M,E_1216,15M,elu,1.0,
zmax,abs,depth_mid,1-3->3-6,2.0,4.5,2.5,2279945,950151,0.7867321412219418,False,5.0,4.0,6.670932125663952e-07,0.6994979324600205,5.718387166539078,5.201934006499081e-06,2.0459907981884185e-06,True,0.12823946088761537,0.08925742052568353,-0.6974747206962583,True,False,nan,,E_1216@15M,E_1216,15M,elu,1.0,
zmax,abs,depth_mid,3-6->6-10,4.5,8.0,3.5,950151,87946,0.8518115511678521,True,4.0,0.0,1.9349973786767742e-07,0.20289918113433772,0.0,1.4225223596596983e-06,-8.737831669094829e-08,False,0.13602579710168297,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,True
zmax,abs,depth_mid,6-10->>10,8.0,10.967824935913086,2.967824935913086,87946,4257,1.4393344551789968,True,0.0,0.0,,,,,,,,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,True
zmax,abs,depth_med,0-1->1-3,0.4804411381483078,1.834661602973938,1.3542204648256302,1615334,2279945,0.9712240882331892,False,944.0,5.0,0.00012081910127450934,126.6880099380199,0.03946703403460336,1.143158832118738e-05,3.462894864298071e-07,True,10.568881408245119,3.3580507688879138,2.3868266806547247,True,False,1.2761001679806525,0.30487607974746334,E_1216@15M,E_1216,15M,elu,1.0,
zmax,abs,depth_med,1-3->3-6,1.834661602973938,3.822690010070801,1.9880284070968628,2279945,950151,0.9893371473132198,False,5.0,4.0,6.670932125663952e-07,0.6994979324600205,5.718387166539078,5.201934006499081e-06,2.0459907981884185e-06,True,0.12823946088761537,0.11224364325863306,-0.8770935040545866,True,False,nan,,E_1216@15M,E_1216,15M,elu,1.0,
zmax,abs,depth_med,3-6->6-10,3.822690010070801,6.779451608657837,2.956761598587036,950151,87946,1.0083127535585525,True,4.0,0.0,1.934997378676775e-07,0.2028991811343378,0.0,1.4225223596596983e-06,-8.737831669094829e-08,False,0.13602579710168303,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,True
zmax,abs,depth_med,6-10->>10,6.779451608657837,10.967824935913086,4.188373327255249,87946,4257,1.0198930117813674,True,0.0,0.0,,,,,,,,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,True
zmax,eqf,depth_mid,q1->q2,0.2874617576599121,0.9199120461940766,0.6324502885341645,987527,987526,0.9643905326010078,False,1294.0,376.0,0.0003352860911026215,703.1458965280449,0.5347396633566264,0.00022955140336336475,0.00014538565413175242,True,1.4606144253097233,1.9541525303679104,0.9897619977669025,True,False,0.7180320782401294,-0.24635845436087844,E_1216@15M,E_1216,15M,elu,1.0,
zmax,eqf,depth_mid,q2->q3,0.9199120461940766,1.6280879855155943,0.7081759393215177,987526,987527,0.9547660925305855,False,376.0,8.0,9.118282301295794e-05,95.61211982363538,0.08367140080940234,1.884242319543944e-05,1.6615746072949354e-06,True,4.839230181128059,4.457932338360352,3.503166245829766,True,False,1.6863351540163467,0.7315690614857612,E_1216@15M,E_1216,15M,elu,1.0,
zmax,eqf,depth_mid,q3->q4,1.6280879855155943,2.5422099113464354,0.9141219258308411,987527,987526,0.918666112686448,False,8.0,8.0,3.294438198886141e-06,3.454468828835234,-2.3158408416432037,-3.348704756542482e-06,-1.2959126054004395e-05,True,inf,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,True
