coord,binset,abscissa,pair,x_lo,x_hi,dx,n_lo,n_hi,kappa_mob,at_floor,med_over_ulp_lo,med_over_ulp_hi,inc_med_pred_hi,pred_over_ulp_hi,obs_over_pred_hi,obs_hi2se_hi,obs_lo2se_hi,excluded_by_2se,pred_over_hi2se,kappa_inc,diff,same_sign,within_tol,kappa_inc_mean,diff_mean,key,arm,window,family,dial,pos,sign_undefined
zmax,abs,depth_mid,0-1->1-3,0.5,2.0,1.5,202138,260515,0.8581760364578539,False,25814.5,2074.5,0.0033976773338629893,3562.722908032718,0.5822793558608541,0.002192794312996327,0.0017697701553874622,True,1.5494737986711846,1.2187126721394346,0.3605366356815807,True,False,1.0657876920711267,0.20761165561327277,E_1216@15M,E_1216,15M,elu,1.0,1,
zmax,abs,depth_mid,1-3->3-6,2.0,4.5,2.5,260515,104582,0.803689847235681,False,2074.5,702.0,0.00026528846163904,278.175113951618,2.523590230728175,0.0007437077493106797,0.0006160410910213515,True,0.35671063248289114,0.4334168142988446,-0.37027303293683644,True,False,0.3909094182761674,-0.41278042895951367,E_1216@15M,E_1216,15M,elu,1.0,1,
zmax,abs,depth_mid,3-6->6-10,4.5,8.0,3.5,104582,9779,0.8486421823725535,False,702.0,22.0,3.433800342803899e-05,36.00600628255941,0.6110091696189133,3.64248228830591e-05,1.612263195092528e-05,False,0.9427088647288749,0.989397414476427,0.14075523210387353,True,True,0.9970974269922918,0.14845524461973825,E_1216@15M,E_1216,15M,elu,1.0,1,
zmax,abs,depth_mid,6-10->>10,8.0,10.967918395996094,2.9679183959960938,9779,473,1.4398920666762483,True,22.0,0.0,2.923297734554572e-07,0.15326499226541473,0.0,nan,nan,,,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,1,True
zmax,abs,depth_mid,0-1->1-3,0.5,2.0,1.5,186188,258775,0.8651333107590187,False,12297.0,350.5,0.0016017153204380275,1679.5202438436252,0.2086905479614058,0.0004672295243149955,0.00021502908164203573,True,3.4281123882021367,1.9097351480919051,1.0446018373328865,True,False,1.2723531035685367,0.40721979280951803,E_1216@15M,E_1216,15M,elu,1.0,2,
zmax,abs,depth_mid,1-3->3-6,2.0,4.5,2.5,258775,104734,0.7958333698655817,False,350.5,194.0,4.571124041401326e-05,47.931709628364366,4.047425003284201,0.0002141792817933823,0.0001569907621519302,True,0.2134251269836205,0.2366010189645266,-0.5592323509010552,True,False,0.7834268076486598,-0.012406562216921935,E_1216@15M,E_1216,15M,elu,1.0,2,
zmax,abs,depth_mid,3-6->6-10,4.5,8.0,3.5,104734,9775,0.8495645681367388,False,194.0,8.0,9.458833978215349e-06,9.918306297541138,0.8065893268473965,1.7849959463617454e-05,6.468735604741921e-06,False,0.5299078688382877,0.9109761763952834,0.06141160825854464,True,True,0.7430520036024498,-0.10651256453428892,E_1216@15M,E_1216,15M,elu,1.0,2,
zmax,abs,depth_mid,6-10->>10,8.0,10.967881202697754,2.967881202697754,9775,473,1.4396277057642113,True,8.0,0.0,1.063908695373825e-07,0.05577945620801519,0.0,nan,nan,,,nan,,,,nan,,E_1216@15M,E_1216,15M,elu,1.0,2,True
zmax,abs,depth_mid,0-1->1-3,0.5,2.0,1.5,179885,255996,0.8727809466906367,False,5594.796875,71.0,0.0007204245287540322,755.4198706627881,0.09398746678149494,0.00012001249245549175,2.8093128882398884e-05,True,6.002912813607394,2.449176838499574,1.5763958918089371,True,False,1.2355880177829361,0.3628070710922995,E_1216@15M,E_1216,15M,elu,1.0,3,
zmax,abs,depth_mid,1-3->3-6,2.0,4.5,2.5,255996,105070,0.7895669449605904,False,71.0,59.0,9.405827663740182e-06,9.862725148334025,5.982119456098405,6.685631091752798e-05,4.558189098676889e-05,True,0.14068720715599967,0.0740569732542383,-0.7155099717063521,True,False,nan,,E_1216@15M,E_1216,15M,elu,1.0,3,
