key,arm,window,family,dial,coord,binset,bin,seed,n,inc_med,inc_mean,inc_p_up,lnmob_med
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,0,161810,0.0004613243363564834,0.01417616157194,0.583530066126939,-3.5409256973464327
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,1,151437,0.0005313927540555596,0.01799633448981201,0.5891756968244221,-3.5851672992516295
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,2,171511,0.0003081016766373068,0.01218998881639499,0.5838401035502097,-3.4929254332997997
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,3,159447,0.0007773484103381634,0.01679796591207716,0.5907542945304709,-3.560987373752346
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,4,158270,0.00036498338158708066,0.016470131283879735,0.5843179377013964,-3.60368711096503
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,5,160875,0.0005212245159782469,0.01357849068795632,0.5775912975912976,-3.50049905922856
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,6,164948,0.00038769359525758773,0.01380487487077648,0.5802919708029197,-3.469861712315657
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,7,168178,0.0002781267830869183,0.01462666025887429,0.582329436668292,-3.552208783052161
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,8,158365,0.0006701598758809268,0.016483847833494592,0.5915195908186783,-3.5490869142920642
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,0-1,9,160493,0.00045363721437752247,0.014914618610361153,0.5847856292797817,-3.5811529392987977
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,1-3,0,212020,4.019479774797219e-06,0.0023826547370933604,0.5034902367701161,-4.82949781070854
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,1-3,1,225765,9.934949048329145e-06,0.0037285803094806516,0.5093615042189887,-4.901480412624188
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,1-3,2,246141,2.383889494694813e-07,0.001824015617089736,0.5004001771342442,-4.828847130623068
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,1-3,3,245281,2.6432573577039875e-05,0.002846529009418553,0.512514218386259,-4.8938215121083415
E_1216@15M,E_1216,15M,elu,1.0,zmax,abs,1-3,4,217088,5.250848516880069e-06,0.0037355281959599177,0.5068497567806604,-4.903141260001586
