arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,1,1,1,0,0,-3.314502478,24.47925377,-10.12388134,0.4937501252,73.93926436,0,0,-23.64395905,21.8470993,-33.72691345,0.1997499615,78.95733857,5.600650787,1.275432587,1.33692503,600,600,60600,100,100,1200,1,1200
LR,std,1,1,0.001,1,none,1,1,1,0,0,-3.734520674,24.08413124,-12.08529472,0.4907500744,74.4382001,0,0,-21.46307755,20.57560158,-39.90606308,0.2192499787,75.03055576,5.303535461,1.23927772,1.320968747,600,600,60600,100,100,1200,1,1200
LR,std,2,2,0.001,1,none,1,1,1,0,0,-4.781283379,24.38267517,-12.87358475,0.4690001011,75.41917828,0,0,-20.35603523,20.51439476,-34.64910126,0.2192499787,73.08902691,5.556724548,1.259353042,1.396475792,600,600,60600,100,100,1200,1,1200
LR,std,3,3,0.001,1,none,1,1,1,0,0,-3.812179565,25.29975128,-11.82381821,0.4855000973,74.41669459,0,0,-22.89450073,21.81819153,-38.7149353,0.2139999717,78.22382217,5.629420757,1.28342402,1.380248189,600,600,60600,100,100,1200,1,1200
LR,std,4,4,0.001,1,none,1,1,1,0,0,-2.280680895,23.34059715,-9.257263184,0.503500104,75.01197719,0,0,-22.28066063,20.85563278,-37.42843246,0.2162499726,77.56569839,5.591108322,1.272035241,1.364178181,600,600,60600,100,100,1200,1,1200
LR,std,5,5,0.001,1,none,1,1,1,0,0,-3.202578306,24.02718544,-12.51436424,0.4967500865,74.3738124,0,0,-22.63047218,21.69811249,-35.04183197,0.2154999822,79.88934167,5.409362793,1.249226213,1.34547627,600,600,60600,100,100,1200,1,1200
LR,std,6,6,0.001,1,none,1,1,1,0,0,-2.673268318,23.42572212,-10.36672688,0.5035000443,74.56134184,0,0,-22.06370735,20.76653671,-41.36532974,0.2199999988,75.55401332,5.320102692,1.256643295,1.339630604,600,600,60600,100,100,1200,1,1200
LR,std,7,7,0.001,1,none,1,1,1,0,0,-3.137114525,23.75913239,-11.36247635,0.4975001216,75.36419253,0,0,-21.15867805,20.46144485,-36.66527557,0.2147499621,75.73776389,5.60020256,1.275286674,1.340352535,600,600,60600,100,100,1200,1,1200
LR,std,8,8,0.001,1,none,1,1,1,0,0,-3.42804122,25.06210518,-12.4943018,0.4975001216,74.32018911,0,0,-25.02339554,22.43634033,-41.43078995,0.2049999833,77.49968303,5.579598904,1.301134467,1.396665215,600,600,60600,100,100,1200,1,1200
LR,std,9,9,0.001,1,none,1,1,1,0,0,-2.878386259,25.25987816,-10.32566261,0.5050001144,74.69813796,0,0,-26.56976509,23.07475853,-43.72124481,0.2042499781,75.86307527,5.807286263,1.320232987,1.37220633,600,600,60600,100,100,1200,1,1200
