arm,seed,L,acc_base,acc_late,Cov,Cov10,Cov50,NL_x,NL_u,N,zbar,sigma,pos,hard_dead,Gbar,g1,g1_cnorm,g2,cont
CELU03,0,2.999997138977051,0.9236999750137329,0.8937000036239624,0.791787109375,0.777666015625,0.801884765625,0.06554092094033875,0.08768156397352089,6.703186568989535,-5.596084464826193,3.1938695498207705,0.188388671875,17.5,0.202940717597353,,,1.1102230246251565e-16,
CELU03,1,1.9550025463104248,0.9211000204086304,0.9015499949455261,0.7790234375,0.76453125,0.790302734375,0.07069810820966685,0.08880657589165515,6.995173101509696,-4.8380803138879855,2.724657960722233,0.19974609375000002,7.5,0.21515229479977233,,,1.1102230246251565e-16,
CELU03,2,2.6750028133392334,0.9261000156402588,0.8993499875068665,0.781943359375,0.7689550781250001,0.7925488281249999,0.06871410256847521,0.0908899449667746,7.039446004841315,-4.98767222415295,2.972532977195704,0.197451171875,14.0,0.21245000970540762,,,1.1102230246251565e-16,
CELU1,0,1.7700016498565674,0.9218000173568726,0.9041000008583069,0.712373046875,0.64091796875,0.763037109375,0.07979218753982721,0.07609063340280986,7.97000994391359,-6.790671504965935,4.607906489670397,0.1940234375,0.0,0.2627997891890486,1.7763568394002505e-15,0.0,1.1102230246251565e-16,
CELU1,1,1.8550008535385132,0.9235000014305115,0.9049499928951263,0.7250097656250001,0.652626953125,0.771884765625,0.07932694678106475,0.0748801634298075,8.104485021909603,-6.228454669348764,3.8217521123094556,0.18626953125,0.0,0.25271972761419237,1.7763568394002505e-15,0.0,1.1102230246251565e-16,
CELU1,2,2.0200014114379883,0.9254000186920166,0.9052000045776367,0.70078125,0.6289453125,0.750439453125,0.08054904663920467,0.07896012470311498,7.929841295276838,-6.598811827791833,4.3633646623410955,0.202509765625,5.0,0.27529653931782916,1.4210854715202004e-14,0.0,1.1102230246251565e-16,
CELU3,0,0.5849987268447876,0.9165999889373779,0.91075000166893,0.27943359375,0.118017578125,0.48544921875,0.0704157351834111,0.058947446969155264,8.064495318431485,-2.379948351694365,2.514338206332792,0.2850390625,0.0,0.5589299921873282,,,2.220446049250313e-16,
CELU3,1,0.9249955415725708,0.9193999767303467,0.910150021314621,0.28169921875,0.11486328125,0.49283203124999997,0.06869619750203586,0.06291347627910411,8.041357060558868,-2.74982030854616,2.791763012919925,0.291181640625,0.0,0.5578310082459899,,,2.220446049250313e-16,
CELU3,2,0.6549984216690063,0.9162999987602234,0.9097500145435333,0.29155273437499996,0.11209960937499999,0.5077148437500001,0.07263001925114723,0.053347181840123825,8.13058752304725,-2.3284992535288964,2.368885548928171,0.26369140625,0.0,0.5447655682284462,,,2.220446049250313e-16,
ELUF,0,1.0599970817565918,0.9218999743461609,0.911300003528595,0.6492578125,0.0,0.71865234375,0.08956281691696535,0.0495045246547377,8.024269020014891,-2.762069295609011,2.3685870508569824,0.22133789062499998,0.0,0.36011847715009937,,,1.1102230246251565e-16,2.000000165480742e-10
ELUF,1,0.8650004863739014,0.9186000227928162,0.9099500179290771,0.680654296875,0.0,0.7442285156249999,0.08790375888032556,0.04413486139493415,8.079682590170115,-3.1391219378797937,2.3289979156124696,0.19905273437499998,0.0,0.337065355386585,,,1.1102230246251565e-16,2.000000165480742e-10
ELUF,2,1.5349984169006348,0.9247999787330627,0.9094499945640564,0.6657031250000001,0.0,0.7339648437499999,0.0873817324158327,0.04890753840080612,8.057020516530258,-3.08357765558041,2.4202220280123354,0.208671875,0.0,0.3469429512062925,,,1.1102230246251565e-16,2.000000165480742e-10
