arm,seed,unit,window,window_boundaries,n_surviving_boundaries,rate,kept
L1w100_Aexact,0,0,all_499,499,17,-0.13047740389319026,1
L1w100_Aexact,0,1,all_499,499,42,-0.046329048772652946,1
L1w100_Aexact,0,2,all_499,499,40,-0.04415490822866559,1
L1w100_Aexact,0,3,all_499,499,18,-0.13130852093713152,1
L1w100_Aexact,0,4,all_499,499,46,-0.032630750038863524,1
L1w100_Aexact,0,5,all_499,499,28,-0.07137462789458889,1
L1w100_Aexact,0,6,all_499,499,188,0.004457848062342468,1
L1w100_Aexact,0,7,all_499,499,13,-0.1601440069767145,1
L1w100_Aexact,0,8,all_499,499,110,-0.030220199886455454,1
L1w100_Aexact,0,9,all_499,499,28,-0.05935183040440149,1
L1w100_Aexact,0,10,all_499,499,50,-0.06827144503593445,1
L1w100_Aexact,0,11,all_499,499,17,-0.15138370806680007,1
L1w100_Aexact,0,12,all_499,499,52,-0.049179908425475545,1
L1w100_Aexact,0,13,all_499,499,3,-0.7529697666565577,0
L1w100_Aexact,0,14,all_499,499,18,-0.11154125796424018,1
L1w100_Aexact,0,15,all_499,499,69,-0.0397755216429199,1
L1w100_Aexact,0,16,all_499,499,117,-0.0258282210616172,1
L1w100_Aexact,0,17,all_499,499,15,-0.11445210811992486,1
L1w100_Aexact,0,18,all_499,499,45,-0.04430123729010423,1
L1w100_Aexact,0,19,all_499,499,129,-0.022322067710238893,1
L1w100_Aexact,0,20,all_499,499,53,-0.041560931834128664,1
L1w100_Aexact,0,21,all_499,499,20,-0.12425705487839878,1
L1w100_Aexact,0,22,all_499,499,39,-0.04355980236178789,1
L1w100_Aexact,0,23,all_499,499,118,-0.0291284049896403,1
L1w100_Aexact,0,24,all_499,499,29,-0.08069548409046798,1
L1w100_Aexact,0,25,all_499,499,55,-0.0581066465978934,1
L1w100_Aexact,0,26,all_499,499,16,-0.13173658505547792,1
L1w100_Aexact,0,27,all_499,499,14,-0.13807187868016108,1
L1w100_Aexact,0,28,all_499,499,16,-0.1317756399512291,1
L1w100_Aexact,0,29,all_499,499,24,-0.08036311106601109,1
L1w100_Aexact,0,30,all_499,499,59,-0.04996037083851584,1
L1w100_Aexact,0,31,all_499,499,28,-0.10833212078016784,1
L1w100_Aexact,0,32,all_499,499,17,-0.11647839515524752,1
L1w100_Aexact,0,33,all_499,499,61,-0.026070613620161522,1
L1w100_Aexact,0,34,all_499,499,11,-0.13716985353014685,1
L1w100_Aexact,0,35,all_499,499,24,-0.08747228359182675,1
L1w100_Aexact,0,36,all_499,499,90,-0.028923038600219622,1
L1w100_Aexact,0,37,all_499,499,31,-0.039722772375229864,1
L1w100_Aexact,0,38,all_499,499,78,-0.019083137218004618,1
L1w100_Aexact,0,39,all_499,499,30,-0.0942801478629311,1
L1w100_Aexact,0,40,all_499,499,28,-0.07971990311385266,1
L1w100_Aexact,0,41,all_499,499,91,-0.02537591159753092,1
L1w100_Aexact,0,42,all_499,499,25,-0.09111446183174848,1
L1w100_Aexact,0,43,all_499,499,3,-0.5441254917532206,0
L1w100_Aexact,0,44,all_499,499,43,-0.060659402239580655,1
L1w100_Aexact,0,45,all_499,499,28,-0.054191252150173695,1
L1w100_Aexact,0,46,all_499,499,30,-0.06986671822766463,1
L1w100_Aexact,0,47,all_499,499,14,-0.14158918584247918,1
L1w100_Aexact,0,48,all_499,499,44,-0.045045932585542854,1
L1w100_Aexact,0,49,all_499,499,28,-0.0686800693760493,1
L1w100_Aexact,0,50,all_499,499,9,-0.1964045533289512,0
L1w100_Aexact,0,51,all_499,499,53,-0.05854306370019913,1
L1w100_Aexact,0,52,all_499,499,29,-0.05143741511836134,1
L1w100_Aexact,0,53,all_499,499,78,-0.022891388534424968,1
L1w100_Aexact,0,54,all_499,499,53,-0.05226773180182582,1
L1w100_Aexact,0,55,all_499,499,22,-0.08127916942943227,1
L1w100_Aexact,0,56,all_499,499,28,-0.060060824932796616,1
L1w100_Aexact,0,57,all_499,499,6,-0.3267241244514783,0
L1w100_Aexact,0,58,all_499,499,58,-0.056679941384635606,1
L1w100_Aexact,0,59,all_499,499,50,-0.01669351041316986,1
L1w100_Aexact,0,60,all_499,499,23,-0.09830450817294743,1
L1w100_Aexact,0,61,all_499,499,23,-0.11225253906424927,1
L1w100_Aexact,0,62,all_499,499,65,-0.02485246709906138,1
L1w100_Aexact,0,63,all_499,499,16,-0.14841250283643603,1
L1w100_Aexact,0,64,all_499,499,28,-0.09227539386068072,1
L1w100_Aexact,0,65,all_499,499,36,-0.06461610751769815,1
L1w100_Aexact,0,66,all_499,499,28,-0.08253810022558485,1
L1w100_Aexact,0,67,all_499,499,47,-0.04978471629797144,1
L1w100_Aexact,0,68,all_499,499,13,-0.19825837965562151,1
L1w100_Aexact,0,69,all_499,499,24,-0.08016109018353745,1
L1w100_Aexact,0,70,all_499,499,13,-0.11306901161487286,1
L1w100_Aexact,0,71,all_499,499,20,-0.10811581494053826,1
L1w100_Aexact,0,72,all_499,499,93,-0.02594155598536975,1
L1w100_Aexact,0,73,all_499,499,13,-0.15546533522697595,1
L1w100_Aexact,0,74,all_499,499,28,-0.10164901986718178,1
L1w100_Aexact,0,75,all_499,499,91,-0.02754711162728759,1
L1w100_Aexact,0,76,all_499,499,25,-0.07309550404548645,1
L1w100_Aexact,0,77,all_499,499,23,-0.10863438925361665,1
L1w100_Aexact,0,78,all_499,499,41,-0.0498527069008205,1
L1w100_Aexact,0,79,all_499,499,96,-0.01958851878104421,1
L1w100_Aexact,0,80,all_499,499,139,0.006278461756782687,1
L1w100_Aexact,0,81,all_499,499,108,-0.035064396203745636,1
L1w100_Aexact,0,82,all_499,499,93,-0.03451386901239554,1
L1w100_Aexact,0,83,all_499,499,29,-0.04159510453584893,1
L1w100_Aexact,0,84,all_499,499,114,-0.0275938681116442,1
L1w100_Aexact,0,85,all_499,499,49,-0.023193564722124412,1
L1w100_Aexact,0,86,all_499,499,38,-0.041519374096472016,1
L1w100_Aexact,0,87,all_499,499,65,-0.027392601049863376,1
L1w100_Aexact,0,88,all_499,499,47,-0.02122775453360791,1
L1w100_Aexact,0,89,all_499,499,18,-0.12664002511236402,1
L1w100_Aexact,0,90,all_499,499,48,-0.051689390966203064,1
L1w100_Aexact,0,91,all_499,499,20,-0.09545029774308204,1
L1w100_Aexact,0,92,all_499,499,16,-0.136458546272479,1
L1w100_Aexact,0,93,all_499,499,22,-0.08493003537031737,1
L1w100_Aexact,0,94,all_499,499,18,-0.10448833389414681,1
L1w100_Aexact,0,95,all_499,499,17,-0.1464146404143642,1
L1w100_Aexact,0,96,all_499,499,56,-0.043714946453941854,1
L1w100_Aexact,0,97,all_499,499,28,-0.07302190789154597,1
L1w100_Aexact,0,98,all_499,499,22,-0.11787318370558998,1
L1w100_Aexact,0,99,all_499,499,25,-0.0738256760686636,1
L1w100_Aexact,1,0,all_499,499,37,-0.03962733329752007,1
L1w100_Aexact,1,1,all_499,499,97,-0.03617299677919328,1
L1w100_Aexact,1,2,all_499,499,82,-0.050752985398370275,1
L1w100_Aexact,1,3,all_499,499,30,-0.06850058482959867,1
L1w100_Aexact,1,4,all_499,499,9,-0.2593475247008933,0
L1w100_Aexact,1,5,all_499,499,82,-0.029498598924497278,1
L1w100_Aexact,1,6,all_499,499,23,-0.06861539541379265,1
