quantity,vault,recomputed,abs_delta,match
K,36,36,0,True
rate_all_499:L1w100_Aexact,-0.0509,-0.05087237832257025,2.762167742974969e-05,True
rate_all_499:L1w100_A1,-0.0211,-0.021133484179704294,3.3484179704293404e-05,True
rate_first150:L1w100_Aexact,-0.0509,-0.05087237832257025,2.762167742974969e-05,True
rate_first150:L1w100_A1,-0.0234,-0.023405235649394944,5.235649394943337e-06,True
rate_first_K:L1w100_Aexact,-0.0489,-0.04886361248620266,3.6387513797336846e-05,True
rate_first_K:L1w100_A1,-0.0279,-0.027893940392992464,6.0596070075372155e-06,True
revival_total:L1w100_Aexact,0,0,0,True
revival_total:L1w100_A1,34222,34222,0,True
revival_within_task:L1w100_Aexact,0,0,0,True
revival_within_task:L1w100_A1,25723,25723,0,True
