task,N,N2,D2,erode,cos,arm,kind,param,seed,S2,D2_track,rho,G1,G5,G25,G125,G625,A1,A2,A3,A4,A5,A10,A20,A50,A100,A200,A400,X,X_hat,X_short_frac,X_long_frac,kap1,kap2,graw,gcorr,sigma,zbar,acc
1,1.0560577158162534,1.1206802829133842,0.7746427942410815,0.014441837024145207,0.01351684766950088,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.348381395728904,1.8235596914730876,0.8595950563593792,-0.15671564779967523,-0.0786101728067391,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.5549335422540462,2.424783684918432,0.8309772484815039,-0.22975325503615995,-0.09282602478134437,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.7027405702960174,2.9061622034750507,0.769842990560318,-0.28846447200369957,-0.1056229055168719,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.840803635420883,3.397849846329622,0.7404672332101322,-0.24877959035556085,-0.0855156890256634,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.9679534614151004,3.8851868078639966,0.7210503673612183,-0.23371340582684308,-0.07536571792497809,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.083189821669138,4.355119352080476,0.7364556172977328,-0.266523073081253,-0.07963616021708782,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.201379035139985,4.863151438949761,0.732961534573753,-0.22492944770446863,-0.0625809303200052,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.300806783584809,5.311456248630146,0.7126866800043865,-0.2643818703240021,-0.0725781810929066,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.3889002524162763,5.725160658594091,0.7060081046532066,-0.29230369468926204,-0.07633261964731408,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.482490358455917,6.181514068040672,0.7130134596302052,-0.2566600501836231,-0.06349556250114963,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.5734073162145403,6.641013179806317,0.727643311142659,-0.2681441993770149,-0.06294286553849164,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2.664289554609166,7.1167495889163055,0.7475656845898989,-0.271829275479909,-0.06146400526103548,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2.751373231496623,7.587616548730457,0.7901386770963856,-0.3192717172822348,-0.06832722271310178,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.830430948768765,8.0295288420348,0.7307547029019102,-0.2888424095975692,-0.06210456067469407,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.9149283485754993,8.51315504158333,0.8117934423778075,-0.3281672428292754,-0.06472979059367326,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.9941579855837586,8.980478601562561,0.744003076652562,-0.2766795166733322,-0.05526055835947277,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3.0743551503145428,9.46654521714186,0.7487535283911576,-0.2626869128118564,-0.051371143119013814,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3.1439683845400777,9.899871682124385,0.7534272073849391,-0.32010074240241676,-0.06096776738223137,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.2092869132728765,10.314999947328293,0.719638072072471,-0.3045098068685617,-0.05825981121552763,LIN,linear,0.0,0,0.022691555707013703,0.719638072072471,31.713915139367856,1.0,4.324317982076157,12.186626283240887,20.172757561666785,31.713915139367856,0.9020973814087483,0.8081730278590059,0.7182859876660073,0.6331553299097625,0.5526878382329099,0.24569627833049948,0.04471372401471965,0.008300396100169083,0.024345253273203343,0.032816559381921566,0.04983923382207211,0.6969465163654572,0.6116878004092315,0.48944069389601147,0.5105593061039885,0.11580885969123075,0.05290362559053245,0.09390580424811663,1.0,1.3852829761711707,0.034969220955544104,0.8938999772071838
21,3.2743130758235237,10.739725080730468,0.7259140248846946,-0.3011888914825196,-0.056725337894556416,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.3516964091607018,11.254185766198969,0.8365152335265322,-0.3220545480580314,-0.05437913109948262,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3.4190706832336555,11.709134962935522,0.7821531797330608,-0.32720398299650777,-0.05542323100580297,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.482390117666049,12.146440838391895,0.7951599682903292,-0.357854092833953,-0.05908103412086145,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.5488671028129746,12.61357094919855,0.827774909766716,-0.3606447989600644,-0.05738140861677105,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3.614952054287973,13.087224111423055,0.8007116504363865,-0.3270584882118816,-0.052889916651835664,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3.67655379916283,13.538131095657253,0.7974766790915531,-0.346569694857353,-0.05498502760787052,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3.7430670723728503,14.031752844421321,0.8205340115277611,-0.3269122627636938,-0.05002335007740287,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3.7973013990764515,14.440154483052108,0.7403736455090589,-0.331972006878273,-0.052152071297202826,LIN,linear,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
