task,N,N2,D2,erode,cos,arm,kind,param,seed,S2,D2_track,rho,G1,G5,G25,G125,G625,A1,A2,A3,A4,A5,A10,A20,A50,A100,A200,A400,X,X_hat,X_short_frac,X_long_frac,kap1,kap2,graw,gcorr,sigma,zbar,acc
1,1.1423046624917501,1.3116541872446046,0.9754122392023377,0.0034970852553479438,0.003278605673764061,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.5275877916908243,2.3540579912223785,1.1739744267040673,-0.1315706227262934,-0.05258988825938278,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.803232204567807,3.2864377196892316,1.136893055565797,-0.20451332709894374,-0.0627980379590095,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.0021592651713784,4.057057706669595,0.9883861955627323,-0.21776620858236903,-0.06495101593421192,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.1633196257931844,4.742485375771669,0.9242167484367846,-0.2387890793347104,-0.06657657630811188,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.3140696682086523,5.428935257964274,0.8847183278762566,-0.19826844568365232,-0.05122611377284345,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.442377528245886,6.050160166134009,0.8585415960843741,-0.23731668791463875,-0.058580474413327525,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.556176238661052,6.628398741260801,0.860492769419255,-0.2822541942924635,-0.06709090203022096,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.675103462323689,7.248213365680563,0.901669037363781,-0.2818544129440192,-0.06434209304331613,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.793007298795362,7.886641091977985,0.9048023344014468,-0.26637460810402397,-0.056446426249856074,LR,leaky,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
