arm,seed,extinct,extinction_task,alive_zero,alive_zero_task,agree
iM,0,True,73,True,73,True
iM,1,True,65,True,65,True
iM,2,True,114,True,114,True
iM,3,True,80,True,80,True
iM,4,True,127,True,127,True
iM,5,True,92,True,92,True
iM,6,True,116,True,116,True
iM,7,True,120,True,120,True
iM,8,True,125,True,125,True
iM,9,True,97,True,97,True
iM_nowd,0,True,69,True,69,True
iM_nowd,1,True,50,True,50,True
iM_nowd,2,True,104,True,104,True
iM_nowd,3,True,22,True,22,True
iM_nowd,4,True,31,True,31,True
iM_nowd,5,True,50,True,50,True
iM_nowd,6,True,51,True,51,True
iM_nowd,7,True,29,True,29,True
iM_nowd,8,True,131,True,131,True
iM_nowd,9,True,97,True,97,True
im,0,False,501,False,501,True
im,1,False,501,False,501,True
im,2,False,501,False,501,True
im,3,False,501,False,501,True
im,4,False,501,False,501,True
im,5,False,501,False,501,True
im,6,False,501,False,501,True
im,7,False,501,False,501,True
im,8,False,501,False,501,True
im,9,False,501,False,501,True
im_nowd,0,True,249,True,249,True
im_nowd,1,True,141,True,141,True
im_nowd,2,True,129,True,129,True
im_nowd,3,True,112,True,112,True
im_nowd,4,True,139,True,139,True
im_nowd,5,True,149,True,149,True
im_nowd,6,True,220,True,220,True
im_nowd,7,True,121,True,121,True
im_nowd,8,True,170,True,170,True
im_nowd,9,True,138,True,138,True
std_anchor,0,True,210,True,210,True
std_anchor,1,True,140,True,140,True
std_anchor,2,True,209,True,209,True
std_anchor,3,True,302,True,302,True
std_anchor,4,True,156,True,156,True
std_anchor,5,True,156,True,156,True
std_anchor,6,True,146,True,146,True
std_anchor,7,True,464,True,464,True
std_anchor,8,True,191,True,191,True
std_anchor,9,True,128,True,128,True
