seed,iM_tau,iM_B02_meanlog10unfit,iM_B10_meanlog10unfit,iM_drift,iM_B10_u_norm,iM_B10_bypass_share,iM_extinct,im_tau,im_B02_meanlog10unfit,im_B10_meanlog10unfit,im_drift,im_B10_u_norm,im_B10_bypass_share,im_extinct,im_nowd_tau,im_nowd_B02_meanlog10unfit,im_nowd_B10_meanlog10unfit,im_nowd_drift,im_nowd_B10_u_norm,im_nowd_B10_bypass_share,im_nowd_extinct,std_anchor_tau,std_anchor_B02_meanlog10unfit,std_anchor_B10_meanlog10unfit,std_anchor_drift,std_anchor_B10_u_norm,std_anchor_B10_bypass_share,std_anchor_extinct
0,27.0,-0.3634962339535403,1.157192959863944e-17,0.3634962339535403,0.0,0.0,1,501.0,-5.693243958332009,-5.722167336251706,-0.028923377919697124,0.0,0.0,0,99.0,-2.937852477218416,1.157192959863944e-17,2.937852477218416,0.0,0.0,1,73.0,-2.2419655373271237,-0.4041126743676173,1.8378528629595063,0.0,0.0,1
1,25.0,-0.054591288713135455,1.5429239464852585e-17,0.05459128871313547,0.0,0.0,1,501.0,-5.765623945272132,-5.74233124987008,0.023292695402052033,0.0,0.0,0,97.0,-2.839545228669463,1.5429239464852585e-17,2.839545228669463,0.0,0.0,1,37.0,-1.7947826030994036,-0.31004012222269145,1.4847424808767122,0.0,0.0,1
2,20.0,-0.38760343806069875,9.643274665532862e-18,0.38760343806069875,0.0,0.0,1,501.0,-5.758667945152222,-5.633503148133265,0.12516479701895733,0.0,0.0,0,93.0,-2.0369257270111403,9.643274665532862e-18,2.0369257270111403,0.0,0.0,1,41.0,-0.8819372222847516,-0.1847360715752962,0.6972011507094553,0.0,0.0,1
3,22.0,-0.3172001946937357,-2.89298239965987e-18,0.3172001946937357,0.0,0.0,1,501.0,-5.700972510792265,-5.677421606845972,0.023550903946292223,0.0,0.0,0,108.0,-3.3883327665738796,-2.89298239965987e-18,3.3883327665738796,0.0,0.0,1,28.0,-1.0877082332091839,-0.4780084140665332,0.6096998191426506,0.0,0.0,1
4,20.0,-0.3815227504350285,-6.656013887802288e-33,0.3815227504350285,0.0,0.0,1,501.0,-5.695472815198064,-5.677978733909205,0.01749408128885932,0.0,0.0,0,106.0,-4.6407678033303625,-6.656013887802288e-33,4.6407678033303625,0.0,0.0,1,68.0,-3.1630780944385073,-0.25543809197692485,2.9076400024615823,0.0,0.0,1
5,36.0,-0.33879608898912467,1.9286549331065685e-18,0.33879608898912467,0.0,0.0,1,501.0,-5.725994314134843,-5.650365927430269,0.07562838670457328,0.0,0.0,0,86.0,-3.595271056054724,1.9286549331065685e-18,3.595271056054724,0.0,0.0,1,80.0,-2.318306061431703,-0.20569989650123172,2.1126061649304715,0.0,0.0,1
6,28.0,-0.35070037006563654,8.678947198979572e-18,0.35070037006563654,0.0,0.0,1,501.0,-5.740455092092933,-5.684621297125597,0.0558337949673362,0.0,0.0,0,118.0,-4.458117220282927,8.678947198979572e-18,4.458117220282927,0.0,0.0,1,71.0,-1.3049214943470424,-0.3769555981011814,0.927965896245861,0.0,0.0,1
7,18.0,-0.3086697016043489,3.857309866213132e-18,0.3086697016043489,0.0,0.0,1,501.0,-5.746417295858646,-5.770083054999731,-0.023665759141084486,0.0,0.0,0,100.0,-4.962752770342073,3.857309866213132e-18,4.962752770342073,0.0,0.0,1,62.0,-0.9026646097826895,-0.08775808273726383,0.8149065270454257,0.0,0.0,1
8,22.0,-0.42190821521064337,4.821637332766427e-18,0.42190821521064337,0.0,0.0,1,501.0,-5.787014560902541,-5.692423307821671,0.09459125308087035,0.0,0.0,0,106.0,-4.084622739018969,4.821637332766427e-18,4.084622739018969,0.0,0.0,1,57.0,-1.281719857821808,-0.38838794082235695,0.8933319169994511,0.0,0.0,1
9,21.0,-0.25705131920672936,7.71461973242629e-18,0.25705131920672936,0.0,0.0,1,501.0,-5.640585831725543,-5.627786588747667,0.012799242977876268,0.0,0.0,0,97.0,-4.496025861295879,7.71461973242629e-18,4.496025861295879,0.0,0.0,1,66.0,-1.401112186200118,-0.45629711190579686,0.9448150742943211,0.0,0.0,1
