arm,seed,threshold,primary,tau,censored,never_below,first_below_task
iM,0,-1.0,True,27,False,False,1
iM,0,-0.5,False,47,False,False,1
iM,0,-1.5,False,26,False,False,1
iM,1,-1.0,True,25,False,False,1
iM,1,-0.5,False,34,False,False,1
iM,1,-1.5,False,15,False,False,1
iM,2,-1.0,True,20,False,False,1
iM,2,-0.5,False,30,False,False,1
iM,2,-1.5,False,16,False,False,1
iM,3,-1.0,True,22,False,False,1
iM,3,-0.5,False,24,False,False,1
iM,3,-1.5,False,20,False,False,1
iM,4,-1.0,True,20,False,False,1
iM,4,-0.5,False,28,False,False,1
iM,4,-1.5,False,15,False,False,1
iM,5,-1.0,True,36,False,False,1
iM,5,-0.5,False,40,False,False,1
iM,5,-1.5,False,14,False,False,1
iM,6,-1.0,True,28,False,False,1
iM,6,-0.5,False,50,False,False,1
iM,6,-1.5,False,24,False,False,1
iM,7,-1.0,True,18,False,False,1
iM,7,-0.5,False,38,False,False,1
iM,7,-1.5,False,17,False,False,1
iM,8,-1.0,True,22,False,False,1
iM,8,-0.5,False,62,False,False,1
iM,8,-1.5,False,18,False,False,1
iM,9,-1.0,True,21,False,False,1
iM,9,-0.5,False,60,False,False,1
iM,9,-1.5,False,15,False,False,1
iM_nowd,0,-1.0,True,20,False,False,1
iM_nowd,0,-0.5,False,25,False,False,1
iM_nowd,0,-1.5,False,18,False,False,1
iM_nowd,1,-1.0,True,13,False,False,1
iM_nowd,1,-0.5,False,14,False,False,1
iM_nowd,1,-1.5,False,13,False,False,1
iM_nowd,2,-1.0,True,13,False,False,1
iM_nowd,2,-0.5,False,20,False,False,1
iM_nowd,2,-1.5,False,11,False,False,1
iM_nowd,3,-1.0,True,20,False,False,1
iM_nowd,3,-0.5,False,22,False,False,1
iM_nowd,3,-1.5,False,19,False,False,1
iM_nowd,4,-1.0,True,13,False,False,1
iM_nowd,4,-0.5,False,17,False,False,1
iM_nowd,4,-1.5,False,10,False,False,1
iM_nowd,5,-1.0,True,11,False,False,1
iM_nowd,5,-0.5,False,14,False,False,1
iM_nowd,5,-1.5,False,9,False,False,1
iM_nowd,6,-1.0,True,21,False,False,1
iM_nowd,6,-0.5,False,34,False,False,1
iM_nowd,6,-1.5,False,18,False,False,1
iM_nowd,7,-1.0,True,19,False,False,1
iM_nowd,7,-0.5,False,21,False,False,1
iM_nowd,7,-1.5,False,13,False,False,1
iM_nowd,8,-1.0,True,17,False,False,1
iM_nowd,8,-0.5,False,26,False,False,1
iM_nowd,8,-1.5,False,15,False,False,1
iM_nowd,9,-1.0,True,14,False,False,1
iM_nowd,9,-0.5,False,22,False,False,1
iM_nowd,9,-1.5,False,12,False,False,1
im,0,-1.0,True,501,True,False,1
im,0,-0.5,False,501,True,False,1
im,0,-1.5,False,501,True,False,1
im,1,-1.0,True,501,True,False,1
im,1,-0.5,False,501,True,False,1
im,1,-1.5,False,501,True,False,1
im,2,-1.0,True,501,True,False,1
im,2,-0.5,False,501,True,False,1
im,2,-1.5,False,501,True,False,1
im,3,-1.0,True,501,True,False,1
im,3,-0.5,False,501,True,False,1
im,3,-1.5,False,501,True,False,1
im,4,-1.0,True,501,True,False,1
im,4,-0.5,False,501,True,False,1
im,4,-1.5,False,501,True,False,1
im,5,-1.0,True,501,True,False,1
im,5,-0.5,False,501,True,False,1
im,5,-1.5,False,501,True,False,1
im,6,-1.0,True,501,True,False,1
im,6,-0.5,False,501,True,False,1
im,6,-1.5,False,501,True,False,1
im,7,-1.0,True,501,True,False,1
im,7,-0.5,False,501,True,False,1
im,7,-1.5,False,501,True,False,1
im,8,-1.0,True,501,True,False,1
im,8,-0.5,False,501,True,False,1
im,8,-1.5,False,501,True,False,1
im,9,-1.0,True,501,True,False,1
im,9,-0.5,False,501,True,False,1
im,9,-1.5,False,501,True,False,1
im_nowd,0,-1.0,True,99,False,False,1
im_nowd,0,-0.5,False,107,False,False,1
im_nowd,0,-1.5,False,89,False,False,1
