arm,wd_b,step,task,seed,unfit,eval_loss_exact,signal_var,residual_var,L1_strict_dead_frac,L1_submerged_frac,L1_alive,L1_n_invalid,L1_b_median_alive,L1_b_q25_alive,L1_b_q75_alive,L1_b_median_all,L1_b_maxabs,L1_wall_frac,L1_M_median_alive,L1_B_median_alive,L1_beta_median_alive,L1_kappa_median_alive,L1_sigma_median_alive,L1_margin_median_alive,L1_p_hat_median_alive,L1_p_hat_thin_frac,L1_p_hat_sat_frac,L1_eff_rank,L1_eff_rank_W,L1_w_norm_median,L1_wcos_mean,eval_loss_exact_nobypass,residual_mean,mu_norm_visible,u_norm,bypass_value,bypass_share,visible_ok
iM,0.001,0,0,0,0.8526457435973179,4.873397417475869,1.43359375,1.2223476089852174,0.17,0.17,83,0,0.0,0.0,0.0,0.0,0.0,0.5540195928608588,0.2766816163663745,0.0,0.2766816163663744,2.009889600370836,0.3486831134857567,0.6955209597945212,0.59375,0.2650602409638554,0.3012048192771084,8.315676486033784,19.42039020784908,1.4015446940334724,0.1813100558425934,4.873397417475869,-1.9107720451405636,2.692582403567252,0.0,0.0,0.0,1
iM,0.001,0,0,1,1.0111524939813827,9.783609122255928,2.569335937499999,2.5979904410791184,0.21,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.7172856882720224,0.5846350579062664,0.0,0.5846350579062662,2.0191689345537136,0.3613367352792191,0.7261808887124062,0.6875,0.2151898734177215,0.3544303797468354,8.19720261990904,19.432932531501063,1.4225601226471185,0.1789907854251032,9.783609122255928,2.6806004329584088,2.8722813232690143,0.0,0.0,0.0,1
iM,0.001,0,0,2,0.9161040955102728,1.2425498197235172,1.3505859375,1.2372773086823312,0.21,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.6400244399826602,0.4839883786115244,0.0,0.4839883786115244,2.0086163285116525,0.3617783899626434,0.7172989882528782,0.6875,0.2278481012658227,0.3417721518987341,7.438505732379096,19.472343253566255,1.4226828760704475,0.1807091255840729,1.2425498197235172,0.0726120585108673,3.0413812651491097,0.0,0.0,0.0,1
iM,0.001,0,0,3,1.1090682346073402,5.09700448922983,1.3398437500000004,1.485978142462179,0.29,0.29,71,0,0.0,0.0,0.0,0.0,0.0,0.5133694055933865,0.3543902148426243,0.0,0.3543902148426243,2.02822565596314,0.3659257768692077,0.7236327938735485,0.625,0.2816901408450704,0.2676056338028169,9.68831171653333,19.558422335207062,1.3837291529248723,0.1784876291182121,5.09700448922983,1.9002700720601928,2.692582403567252,0.0,0.0,0.0,1
iM,0.001,0,0,4,1.063272762265724,2.2230644504848645,1.0624999999999998,1.1297273099073315,0.2,0.2,80,0,0.0,0.0,0.0,0.0,0.0,0.773771424866426,1.1515601524977035,0.0,1.1515601524977035,1.962359434833537,0.3575831465871517,0.7015953743830323,0.875,0.175,0.425,7.573046761872702,19.487333010263463,1.4177702053563657,0.1793708559800457,2.2230644504848645,-1.0456276299799718,3.0413812651491097,0.0,0.0,0.0,1
iM,0.001,0,0,5,1.049099205008173,19.727750550432045,2.4833984375,2.605331326499789,0.21,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.7212537871693938,0.9087470657578514,0.0,0.9087470657578514,1.98765111536496,0.3510277943920741,0.7031601779162884,0.78125,0.1772151898734177,0.4050632911392405,7.444252733618355,19.551692107132524,1.396903784791045,0.1767938381316742,19.727750550432045,4.137924506794711,2.692582403567252,0.0,0.0,0.0,1
iM,0.001,0,0,6,1.1086242773733848,0.6244365814392404,0.5273437500000001,0.584626083771121,0.23,0.23,77,0,0.0,0.0,0.0,0.0,0.0,0.7439134842384623,0.8204827908324158,0.0,0.8204827908324158,2.001447553692877,0.3562923479733589,0.7005696529522538,0.78125,0.2207792207792207,0.3766233766233766,7.5337383232739805,19.494819362840143,1.410699839685539,0.1787992034134996,0.6244365814392404,0.1995256817257355,2.8722813232690143,0.0,0.0,0.0,1
iM,0.001,0,0,7,0.9043676557926272,2.207445424489016,2.2568359375000004,2.041009426305432,0.31,0.31,69,0,0.0,0.0,0.0,0.0,0.0,0.9126039378875428,1.5941978065695346,0.0,1.5941978065695344,1.9855859124437163,0.3546363233761273,0.6835835352540016,0.9375,0.1739130434782608,0.5362318840579711,6.225322714434836,19.48235171488297,1.396946609210943,0.1793855204583837,2.207445424489016,0.4079656826052693,3.3541019662496847,0.0,0.0,0.0,1
iM,0.001,0,0,8,0.9630595389262624,16.499770519135435,2.4365234375,2.346517138301781,0.22,0.22,78,0,0.0,0.0,0.0,0.0,0.0,0.7849737753662726,0.9816170077548404,0.0,0.9816170077548404,2.0471530011250803,0.3684957889940491,0.7516532649751753,0.84375,0.1923076923076923,0.4487179487179487,7.049310623450192,19.451976147627114,1.4526499835387874,0.1813321479684768,16.499770519135435,3.7620809907328754,3.0413812651491097,0.0,0.0,0.0,1
iM,0.001,0,0,9,1.1657325493014083,2.572096786910203,2.1835937500000004,2.545486308826123,0.19,0.19,81,0,0.0,0.0,0.0,0.0,0.0,0.638735185695508,0.9422895641999244,0.0,0.9422895641999246,1.9547038670211132,0.3499363021899511,0.6799447685480118,0.8125,0.1358024691358024,0.4074074074074074,8.499805147978314,19.48388168282213,1.3938159632489222,0.178955207101908,2.572096786910203,0.1631271837680031,2.8722813232690143,0.0,0.0,0.0,1
