arm,seed,step,L1_strict_dead_frac,L1_submerged_frac,L1_M_median_alive,L1_B_median_alive,L1_sigma_median_alive,mu_norm_visible,bypass_value,task_boundary,side
iM,0,10000,0.2,0.2,0.0403458945179542,-0.0699890221623724,0.3822093362738118,2.692582403567252,0.0,1,post
iM,0,10000,0.2,0.2,0.0403458945179542,-0.0699890221623724,0.3822093362738118,2.692582403567252,0.0,1,pre
iM,0,20000,0.29,0.29,-0.2288804172789148,-0.107666445442232,0.3831165775572399,2.692582403567252,0.0,2,post
iM,0,20000,0.29,0.29,-0.2288804172789148,-0.107666445442232,0.3831165775572399,2.692582403567252,0.0,2,pre
iM,0,30000,0.3,0.3,-0.0053395111216779,-0.0858932003387351,0.3955340913344135,2.692582403567252,0.0,3,post
iM,0,30000,0.3,0.3,-0.0053395111216779,-0.0858932003387351,0.3955340913344135,2.692582403567252,0.0,3,pre
iM,0,40000,0.29,0.29,-0.2456984286052989,-0.1248239594730623,0.3913966028882566,2.692582403567252,0.0,4,post
iM,0,40000,0.29,0.29,-0.2456984286052988,-0.1248239594730623,0.3913966028882566,2.692582403567252,0.0,4,pre
iM,0,50000,0.39,0.39,-0.2257544876128887,-0.0818759908452783,0.4601783571135699,2.692582403567252,0.0,5,post
iM,0,50000,0.39,0.39,-0.2257544876128887,-0.0818759908452783,0.4601783571135699,2.692582403567252,0.0,5,pre
iM,0,60000,0.45,0.45,-0.3861038651965128,-0.1220177618138476,0.4718345448243811,2.692582403567252,0.0,6,post
iM,0,60000,0.45,0.45,-0.3861038651965127,-0.1220177618138476,0.4718345448243811,2.692582403567252,0.0,6,pre
iM,0,70000,0.54,0.54,-0.4315388208045138,-0.1492950115299372,0.5143855452591426,2.692582403567252,0.0,7,post
iM,0,70000,0.54,0.54,-0.4315388208045139,-0.1492950115299372,0.5143855452591426,2.692582403567252,0.0,7,pre
iM,0,80000,0.53,0.53,-0.7939647805401685,-0.1361968449791099,0.5556738680402764,2.692582403567252,0.0,8,post
iM,0,80000,0.53,0.53,-0.7939647805401688,-0.1361968449791099,0.5556738680402764,2.692582403567252,0.0,8,pre
iM,0,90000,0.54,0.54,-0.8800176607948285,-0.1223812749404018,0.519013118649666,2.692582403567252,0.0,9,post
iM,0,90000,0.54,0.54,-0.8800176607948283,-0.1223812749404018,0.519013118649666,2.692582403567252,0.0,9,pre
iM,0,100000,0.62,0.62,-0.795057910574946,-0.0727293047613576,0.6338821732265615,2.692582403567252,0.0,10,post
iM,0,100000,0.62,0.62,-0.795057910574946,-0.0727293047613576,0.6338821732265615,2.692582403567252,0.0,10,pre
iM,0,110000,0.7,0.7,-0.7321768083787695,-0.0727013291385206,0.725448260186641,2.692582403567252,0.0,11,post
iM,0,110000,0.7,0.7,-0.7321768083787695,-0.0727013291385206,0.725448260186641,2.692582403567252,0.0,11,pre
iM,0,120000,0.6,0.6,-1.1397964673670686,-0.1270496467174992,0.5753626927820317,2.692582403567252,0.0,12,post
iM,0,120000,0.6,0.6,-1.1397964673670684,-0.1270496467174992,0.5753626927820317,2.692582403567252,0.0,12,pre
iM,0,130000,0.68,0.68,-0.8365040766779412,-0.0942070003218085,0.6415741936949301,2.692582403567252,0.0,13,post
iM,0,130000,0.68,0.68,-0.8365040766779412,-0.0942070003218085,0.6415741936949301,2.692582403567252,0.0,13,pre
iM,0,140000,0.67,0.67,-0.8257310078953357,-0.0892330580722714,0.62898636561325,2.692582403567252,0.0,14,post
iM,0,140000,0.67,0.67,-0.8257310078953357,-0.0892330580722714,0.62898636561325,2.692582403567252,0.0,14,pre
iM,0,150000,0.65,0.65,-0.9103159968720148,-0.1135601289578163,0.5818218912374721,2.692582403567252,0.0,15,post
iM,0,150000,0.65,0.65,-0.9103159968720148,-0.1135601289578163,0.5818218912374721,2.692582403567252,0.0,15,pre
