arm,cond,seed,lr,task,fresh_online_acc,continual_online_acc,fresh_gap
CR,std,0,0.0001,29,0.6641426282,0,0.6641426282
CR,std,1,0.0001,29,0.5503605769,0.04979967949,0.5005608974
CR,std,2,0.0001,29,0.5715544872,0,0.5715544872
CR,std,3,0.0001,29,0.6554086538,0,0.6554086538
CR,std,4,0.0001,29,0.6151041667,0,0.6151041667
CR,std,5,0.0001,29,0.6034855769,0,0.6034855769
CR,std,6,0.0001,29,0.6370592949,0,0.6370592949
CR,std,7,0.0001,29,0.6613782051,0,0.6613782051
CR,std,8,0.0001,29,0.6112179487,0,0.6112179487
CR,std,9,0.0001,29,0.708213141,0,0.708213141
