task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1503349815499897,1.3328222128914247,0.9869365508194791,0.013068666662986552,0.7751142441766237,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
2,1.5380649994248485,2.3852681510129923,1.1637360796137632,-0.044540938451414824,0.8478468752551933,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
3,1.7956755407729856,3.2610891932835187,1.054530432572919,-0.05530763024965179,0.9092624119712256,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
4,1.9837694487520037,3.996004926249043,0.9531043856746082,-0.06491567556516975,0.9599666312132249,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
5,2.139915817020886,4.662101854936185,0.8656237615171818,-0.060033159706158176,1.0110858050607145,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
6,2.2909142242582754,5.339984271509011,0.8896927395991581,-0.05903255902021235,1.058056669239055,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
7,2.4274760927663106,5.980363154562116,0.9075170631354476,-0.06691970249281973,1.1060856649824498,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
8,2.5580413255868106,6.635488385678631,0.9098435428230439,-0.061547306171061474,1.1474896773475536,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
9,2.661020079907871,7.186929854464795,0.8317114560775246,-0.06299043316018717,1.1772751748238137,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
10,2.771917328008335,7.782565454012388,0.8456961712648474,-0.05424829035862858,1.2123487125586734,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
11,2.8881940148738665,8.43454715761974,0.9272512169006145,-0.05564760957671244,1.2542658119317385,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
12,2.9958394929305014,9.061628291045274,0.8779731053452587,-0.04990890111348235,1.2928604372618857,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
13,3.101715413230979,9.693719930217418,0.9098281764587629,-0.05237210557916352,1.3243023319893763,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
14,3.2029936056914288,10.323871216892094,0.9387830719440313,-0.055560923918113785,1.3565729368131754,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
15,3.2976428008076732,10.934602837787219,0.8779585868319476,-0.04536304180241881,1.3872590810537984,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
16,3.3941450613933237,11.57359869055357,0.9405768155385061,-0.04823483180712263,1.4248648725237376,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
17,3.4844831292410117,12.189381514544953,0.9712338752169543,-0.05466871002192844,1.4532307539120775,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
18,3.572365331494644,12.805155918345319,0.8948574728497141,-0.045726419282419786,1.4738168601529793,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
19,3.658563621044252,13.423408179196853,0.9145342445882518,-0.04761108618276525,1.4973744352283922,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
20,3.7368916460683566,14.000070294169827,0.8592397938005908,-0.04469514689158002,1.5222552248421757,HP01,0.01,0,0.0015019921232214183,0.05808129608545665,0.0005191096943926124,0.6460518506453414,77.10895930617333,0.07871516707929702,0.1949259015698238,1.0,1.509903313490213e-14,0.02386421082238056,36.005372236938605,0.203940654677573,2.2834392957209597,-1.8270353353529691,0.18390625,-0.010087445651165174,-0.00024484523166121825,0.9272000193595886,-8.949840710862321e-05,-8.948506550084889e-05,0.005261106213648769,0.005350604620757392,7.974449014254989
21,3.8089815805117233,14.544149249478219,0.895555291895718,-0.05558325545600453,1.5419285805347354,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
22,3.8813260962848943,15.09863127098958,0.9125970864983713,-0.054013248028914725,1.5593622209362406,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
23,3.9536182532370843,15.662026799235896,0.9406175408482317,-0.05408956787730018,1.584102587976807,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
24,4.027708329429197,16.249510309241607,0.8915554107059753,-0.04367287715881413,1.6032848692431239,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
25,4.098996314628887,16.82980242155641,0.9273071576699842,-0.04705149301579192,1.6212702722279957,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
26,4.165898800188972,17.382930846388682,0.9626448339171751,-0.05289042337059398,1.6439004382084539,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
27,4.228663990382611,17.909861911298503,0.8904381983082575,-0.04943786510531904,1.6617147226485574,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
28,4.30582002184226,18.566196855141296,1.0308084122865824,-0.044470594724387434,1.6818220271909126,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
29,4.366554852215378,19.08957477422746,0.9110006561190968,-0.047730351289426196,1.6980715173240248,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
30,4.425983868639278,19.611838205125885,0.9702862985837579,-0.05431277685726354,1.7146919568549197,HP01,0.01,0,0.0014529720970356391,0.050627895648289886,0.0005247712729562077,0.7122533922917825,76.78260081717993,0.07734774684984569,0.17921693079822468,1.0,8.881784197001252e-16,0.024024271789075385,40.387750650780546,0.1933529448786933,2.624965188071957,-2.2561846863004713,0.1733203125,-0.011167418239371184,-0.002700064451858773,0.914900004863739,,,,,
31,4.4902538179748985,20.185398478041165,0.9905190228711126,-0.048853183038782354,1.7302629177580615,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
32,4.550277698113771,20.730080419342077,0.9136293558790678,-0.04647579126362403,1.747583325148928,HP01,0.01,0,,,,,,,,,,,,,,,,,,,,,,,
