task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.161115765194634,1.3534532459600894,1.010313053523171,0.008985347886681318,0.7767617692450667,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
2,1.5479846274922986,2.4161827471273876,1.1935164911226708,-0.0506588075511864,0.8480129924360338,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
3,1.8169128770846148,3.339530269539466,1.1047957283673664,-0.05780427362010134,0.9087625347975385,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
4,2.0162937147326057,4.112945673313903,0.9700268977975309,-0.05573686881361062,0.9601277855836333,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
5,2.182877766973734,4.829226406084968,0.9770831505138458,-0.06984466163926038,1.01005815955726,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
6,2.3260394437653775,5.485151353993173,0.8998006099131183,-0.06287297413834812,1.0582660737243565,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
7,2.458970689509511,6.122082533497726,0.8751976329341457,-0.06073807779917804,1.104991711518331,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
8,2.5817762794880883,6.746271277453298,0.8966102228225867,-0.06254504024294674,1.1479087593031003,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
9,2.706872632037055,7.3974615680223135,0.8929821478424108,-0.05226246301521811,1.189158790071825,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
10,2.810607662430558,7.967855694508617,0.8674046624839273,-0.06318947106943572,1.2217332888575718,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
11,2.9246138474142898,8.618305335869376,0.9133329380744616,-0.05105031864253862,1.2619551964313929,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
12,3.024042751252117,9.200167576753364,0.8992919488137471,-0.06041545366325374,1.2906033633718477,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
13,3.122238953034972,9.803266043984245,0.8976207771673836,-0.0543455374816649,1.3264074884359003,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
14,3.2182034669682285,10.412584580997216,0.9416145539227742,-0.05678541391635503,1.3499980427877074,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
15,3.30570815461374,10.982250906798997,0.855497481080655,-0.05256288421320848,1.3783976003950535,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
16,3.398421668034382,11.598393177895193,0.9620316251108838,-0.05483057477319605,1.4099462101758138,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
17,3.4882188393809717,12.21813855774029,0.8984332460272997,-0.04451124112939863,1.440406016587271,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
18,3.5663936955914397,12.773386206109695,0.8970617831622962,-0.05578095709605195,1.465023683631878,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
19,3.6461157266080955,13.343616502308333,0.9247140603192086,-0.05508166003252797,1.4902925464726906,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
20,3.7220454013702033,13.902345241961054,0.8679502998560702,-0.04829378439211287,1.517711128692922,HM01,-0.01,2,0.0015945653571110218,0.05711467338385495,0.0005319960267126712,0.6726862272853407,78.01420771567918,0.0811250341497913,0.18422944729478252,1.0,1.0658141036401503e-14,0.0246806274545623,35.16727042106162,0.18888363684023818,2.277734753726897,-1.8234780902762617,0.19248046875,-0.010691116445472128,-0.0007952496887413231,0.9257000088691711,0.0018829137841351387,0.0018829177708565412,-0.0265816435321553,-0.02846455731629044,7.364308556777726
21,3.7947205633747574,14.44942738232882,0.8996868112846879,-0.052115300678560406,1.5365135897808273,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
22,3.8634715228414405,14.972560008058904,0.9185996900398856,-0.058687633104332705,1.5560842822629615,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
23,3.9424287412873587,15.585647795074983,0.9975085496469753,-0.050958628409709536,1.5884927163591067,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
24,4.019876199877016,16.20083481251308,0.9733339320027271,-0.04896541913480666,1.6141906368222032,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
25,4.087991643226381,16.754810467475462,0.962249769282255,-0.05457068340290714,1.6356319053678245,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
26,4.160043594864714,17.347841010967205,0.9719216305538325,-0.0500601385354815,1.656188190013769,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
27,4.230139217348215,17.933841847365642,0.9532577453041416,-0.045947735731405,1.6761952028972125,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
28,4.299393685137185,18.525267922517195,1.0055315306115842,-0.05113457432494041,1.6930638964436,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
29,4.3744383841170205,19.174730577418853,0.9873496488818881,-0.04264433534863295,1.71535876948768,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
30,4.430406377971083,19.66773576496238,0.941766225672252,-0.055354033557420884,1.7288771304925985,HM01,-0.01,2,0.0015474938180824998,0.05541448010230132,0.0005202077260675172,0.6910344813460216,77.68356421757866,0.07910594702256514,0.17293393328419726,1.0,7.105427357601002e-15,0.02411913109725358,39.04644084709544,0.1809147669964824,2.590680514443493,-2.145919091309239,0.1846875,-0.011268339491164759,-0.0035886979286797035,0.9222999811172485,,,,,
31,4.494460292786614,20.23863416791071,0.9465928919070693,-0.04509444439991928,1.7412538796969588,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
32,4.562649497629419,20.85404805997039,1.0321183580376574,-0.048126676786484295,1.7658999652695275,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
33,4.628310483801017,21.450605207703337,0.9039845760932096,-0.03834801384573974,1.7857625656928446,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
34,4.684275658215013,21.97009320511139,1.0479487545420039,-0.05658482738771815,1.7969711886435547,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
35,4.736969426190723,22.463742354995055,0.9344124251930446,-0.052606259578253545,1.8113707542129305,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
36,4.797935030179826,23.0473123738924,1.0113120764122987,-0.04762306986786653,1.828893718943017,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
37,4.857609617575219,23.621449569635214,0.9726110447572472,-0.043137023292190824,1.8428912889297369,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
38,4.91896229227224,24.22366921939175,1.0340156126521542,-0.04513657906715248,1.863711478254071,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
39,4.972112828228326,24.75397560594363,0.9782643410359649,-0.04757584412977423,1.8767106523370074,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
40,5.031513692995629,25.347244700166968,1.0609179719121855,-0.04804900765863606,1.8861318720518454,HM01,-0.01,2,0.0015911292429043938,0.058258290504956754,0.0005433041446193745,0.6583063833224403,76.36188428891815,0.07745706039140171,0.17484084604363592,1.0,8.881784197001252e-15,0.026267545305420022,40.388927080037305,0.18116853139867203,2.942496650470126,-2.367981768766736,0.1858203125,-0.009938481296988244,-0.005926242706548123,0.9175999760627747,-0.00011696749053555656,-0.00011696103425690125,-0.005269759731864048,-0.005152792241328492,13.012385025344905
41,5.08646893951242,25.9029663473877,0.9269439236646122,-0.04069029597191951,1.9027530761344555,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
42,5.144659613055597,26.498174220379656,0.9677023048083833,-0.03698672109635716,1.9190265335140748,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
43,5.201015043517186,27.08061442264789,1.0316499079550163,-0.045828893973483956,1.9352463835633398,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
44,5.253814720132173,27.6349760750136,0.9951527743262215,-0.04293843146388344,1.9563302522625947,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
45,5.3088527714781,28.21877382767335,1.0105694089791775,-0.040971038409242586,1.9667644795771577,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
46,5.366348591142082,28.82881309846329,1.0948222258893272,-0.04514275956726026,1.9901598859502005,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
47,5.41639752224793,29.36960869324418,1.0761114570519976,-0.05002089816005459,2.0007446854552016,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
48,5.462720535512684,29.875212188230908,1.0519443327286746,-0.05172347018210975,2.0101959346451195,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
49,5.518039184500826,30.482227943608308,1.0934581597781676,-0.04575621124934165,2.0227095811060694,HM01,-0.01,2,,,,,,,,,,,,,,,,,,,,,,,
