task,N,N2,D2,cos,w2col,arm,eps,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,phi2_probe,sigma,zbar,posfrac,rad1,rad2,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1366084901804279,1.298614142405364,0.962120061916933,0.0036609340029209593,0.7643238064963873,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
2,1.52149915982724,2.33458447341334,1.1621906238942352,-0.051311421489092485,0.8346056551465858,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
3,1.7942163036561056,3.254020314584522,1.116577935608792,-0.062116629123394225,0.8918686705552795,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
4,1.9923553056866092,4.020151110835371,0.9678397192000798,-0.061214879025799036,0.949009112113976,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
5,2.149620324063333,4.683421536251396,0.8835901801396,-0.06294825855706795,1.0003313130867426,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
6,2.2941225348950227,5.341206907134628,0.8523896726967862,-0.05217647838948556,1.0441062823836489,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
7,2.4247482036310224,5.965097126132848,0.827933123868625,-0.054097513076770944,1.0842882269802354,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
8,2.534479011895774,6.524094325477153,0.8171511674963332,-0.06345416430769672,1.11429714618726,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
9,2.654594311525116,7.14789360282638,0.8575460010103224,-0.05419882376067752,1.153445860294638,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
10,2.7725123399744143,7.775212482371009,0.8691861933234333,-0.05429502533703592,1.192523723767227,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
11,2.8764261298593046,8.360702284024029,0.8475155765162231,-0.054764873815443635,1.2278190778819187,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
12,2.980578884664061,8.964311621193703,0.866233396121116,-0.04992415446024214,1.2606402296298378,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
13,3.0929512698165196,9.63001469878904,0.9212656524876515,-0.04659756875675833,1.3027977731151241,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
14,3.1979842115106885,10.291450946212272,0.9205714479761795,-0.04536170816882752,1.3398971431189337,HP01,0.01,1,,,,,,,,,,,,,,,,,,,,,,,
