check,count,original_failures,matched_failures,original_max_error,matched_max_error
autograd_W,30720000,0,0,1.1106021702289581e-05,0.0
autograd_b,1536000,0,0,1.0192394256591797e-05,0.0
autograd_v,1536000,1,0,4.242360591888428e-05,0.0
autograd_c,15360,0,0,6.198883056640625e-06,0.0
row_centered/expanded_gradient,30720000,0,0,6.023836301882746e-06,2.5801116354529086e-07
row_centered/A_vs_autograd,1536000,28,0,6.534871660290875e-05,1.143702132111457e-06
row_centered/Q_vs_autograd,1536000,1,0,0.00022352546901061032,2.107807951290397e-05
whole/expanded_gradient,30720000,0,0,1.110658474311188e-05,4.75681424028096e-07
whole/A_vs_autograd,1536000,8,0,4.1799220696248085e-05,9.191833569843766e-07
whole/Q_vs_autograd,1536000,20,0,0.0005498275291415666,4.989254784959485e-05
free5/expanded_gradient,7680000,0,0,1.110658474311188e-05,4.75681424028096e-07
free5/A_vs_autograd,1536000,42,0,6.943912976473121e-05,1.980677609481063e-06
free5/Q_vs_autograd,1536000,0,0,0.00019966961663442362,1.813598248645576e-05
