phase,arm,checkpoint,step,check,index,production_or_formula,original_autograd,matched_autograd,original_error,matched_error,original_tolerance,matched_tolerance
continuation,LR_a0p1_q0,200000,25,whole/Q_vs_autograd,"(4, 54)",1.0996803007860945,1.099628385564378,1.0996804626075307,5.191522171643648e-05,1.618214362508752e-07,4.199256771128756e-05,4.199360925215062e-05
continuation,LR_a0p1_q0,200000,120,free5/A_vs_autograd,"(1, 61)",-0.3644352692699043,-0.36440324656951995,-0.3644352535164299,3.202270038438204e-05,1.5753474413848778e-08,2.72880649313904e-05,2.72887050703286e-05
continuation,LR_a0p1_q0,200000,128,free5/A_vs_autograd,"(1, 61)",-0.028428959303136957,-0.028449781196903,-0.028428957662088673,2.082189376604454e-05,1.6410482833739692e-09,2.056899562393806e-05,2.0568579153241773e-05
continuation,LR_a0p1_q0,200000,175,free5/A_vs_autograd,"(1, 61)",0.040944360167499264,0.04096572050012695,0.04094436437830479,2.136033262768733e-05,4.2108055237077835e-09,2.081931441000254e-05,2.0818887287566096e-05
continuation,LR_a0p1_q0,200000,255,free5/A_vs_autograd,"(1, 61)",-0.2886258679933907,-0.28866860545592543,-0.28862586321421824,4.273746253474764e-05,4.779172446678359e-09,2.5773372109118507e-05,2.5772517264284367e-05
fixed,LR_a0p1_q0,1000000,-1,row_centered/A_vs_autograd,"(71, 9)",0.485131690334581,0.4851647305428,0.48513167510790955,3.3040208219037304e-05,1.5226671423729243e-08,2.9703294610856002e-05,2.9702633502158193e-05
fixed,LR_a0p1_q0,1000000,-1,row_centered/A_vs_autograd,"(71, 44)",-0.5796165448245832,-0.5796559896779812,-0.5796165831977326,3.944485339790749e-05,3.837314932475522e-08,3.159311979355963e-05,3.1592331663954654e-05
fixed,LR_a0p1_q0,1000000,-1,whole/Q_vs_autograd,"(33, 62)",0.7513303014484853,0.751295027866494,0.751330187323791,3.5273581991290825e-05,1.1412469436145045e-07,3.5025900557329884e-05,3.502660374647582e-05
fixed,LR_a0p1_q0,1000000,-1,whole/Q_vs_autograd,"(71, 9)",0.22560496788440182,0.22563569854427035,0.22560495513355747,3.073065986852752e-05,1.275084435259366e-08,2.4512713970885412e-05,2.4512099102671153e-05
fixed,LR_a0p1_q0,1000000,-1,whole/Q_vs_autograd,"(71, 44)",0.18806053743310167,0.18808613513992892,0.1880605619932233,2.559770682725171e-05,2.456012163087884e-08,2.376172270279858e-05,2.3761211239864466e-05
fixed,LR_a0p1_q0,1000000,-1,whole/Q_vs_autograd,"(151, 9)",0.5623027677518254,0.5623367023304309,0.5623027980859341,3.393457860545457e-05,3.033410866937203e-08,3.124673404660862e-05,3.124605596171868e-05
fixed,LR_a0p1_q0,1000000,-1,free5/A_vs_autograd,"(71, 9)",0.7513472523984579,0.751398423127077,0.7513472299351085,5.117072861915428e-05,2.2463349402812582e-08,3.502796846254154e-05,3.5026944598702174e-05
fixed,LR_a0p1_q0,1000000,-1,free5/A_vs_autograd,"(71, 44)",-0.6657474789730902,-0.6657927855827541,-0.6657475228842922,4.530660966395317e-05,4.391120200786247e-08,3.331585571165509e-05,3.331495045768585e-05
fixed,LR_a0p1_q0,1000000,-1,free5/A_vs_autograd,"(71, 48)",-0.4245298977114163,-0.4245587994843416,-0.42452990759742765,2.8901772925304936e-05,9.886011342885581e-09,2.8491175989686835e-05,2.8490598151948555e-05
fixed,LR_a0p1_q0,5000000,-1,autograd_v,"(257, 26)",0.051473259925842285,0.0514308363199234,0.051473259925842285,4.242360591888428e-05,0.0,2.102861672639847e-05,2.102946519851685e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(11, 21)",-0.06006235830907787,-0.060085261140621946,-0.060062361100547995,2.290283154407491e-05,2.7914701244968754e-09,2.120170522281244e-05,2.1201247222010962e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(47, 53)",0.30036274683604924,0.30033063072886124,0.30036272831951105,3.211610718800717e-05,1.8516538191626353e-08,2.600661261457723e-05,2.6007254566390225e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(77, 78)",0.035365551552617606,0.03538742566667975,0.03536554990817546,2.1874114062146732e-05,1.6444421449546276e-09,2.0707748513333597e-05,2.070731099816351e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(91, 21)",-0.016838991569598203,-0.0168117717915929,-0.01683899098234972,2.721977800530448e-05,5.872484824809288e-10,2.033623543583186e-05,2.0336779819646994e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(126, 29)",-0.011739898392748395,-0.011709861450680266,-0.01173989818731632,3.0036942068129013e-05,2.0543207412959674e-10,2.0234197229013608e-05,2.0234797963746325e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(127, 53)",0.10336618164410682,0.10333448433991299,0.10336617987537305,3.1697304193833986e-05,1.768733770557418e-09,2.206668968679826e-05,2.2067323597507464e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(146, 16)",-0.007200184233158942,-0.007223701733837406,-0.007200184341799939,2.3517500678463775e-05,1.0864099724006149e-10,2.0144474034676752e-05,2.0144003686836e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(146, 29)",0.009508538817209656,0.009539595352764682,0.009508538881503829,3.1056535555025466e-05,6.429417241660129e-11,2.0190791907055293e-05,2.019017077763008e-05
fixed,LR_a0p1_q0,5000000,-1,row_centered/A_vs_autograd,"(221, 67)",-0.2709961242792313,-0.2710312597797664,-0.27099613208191564,3.51355005350773e-05,7.802684331981169e-09,2.542062519559533e-05,2.5419922641638314e-05
