phase,arm,checkpoint,dtype,batch_size,Q_batch,Q_expected_batch1,gap
fixed,LR_a0p1_q0,0,float64,32,109.43891824495063,310.7520878831649,201.31316963821428
fixed,LR_a0p1_q0,0,float32,32,109.43892267906345,310.7520965095033,201.31317383043987
fixed,LR_a0p1_q0,200000,float64,32,0.3504130073626855,1.6013575763428252,1.25094456898014
fixed,LR_a0p1_q0,200000,float32,32,0.35041072299456993,1.6013542220391996,1.2509434990446295
fixed,LR_a0p1_q0,1000000,float64,32,8.098563421726586,38.14610369061677,30.047540268890184
fixed,LR_a0p1_q0,1000000,float32,32,8.098558773709362,38.14608119715046,30.047522423441094
fixed,LR_a0p1_q0,5000000,float64,32,2.1751496949095217,12.27689941803537,10.101749723125849
fixed,LR_a0p1_q0,5000000,float32,32,2.1751510647390355,12.276902925877291,10.101751861138256
fixed,LR_a0p3_q0,0,float64,32,125.72430941720032,336.017933938301,210.2936245211007
fixed,LR_a0p3_q0,0,float32,32,125.72431664176997,336.01794566494385,210.29362902317388
fixed,LR_a0p3_q0,200000,float64,32,18.618387744314816,37.16384804119071,18.5454602968759
fixed,LR_a0p3_q0,200000,float32,32,18.61837940127274,37.163829101072054,18.54544969979931
fixed,LR_a0p3_q0,1000000,float64,32,0.05585766235785464,0.9145246603523808,0.858666997994526
fixed,LR_a0p3_q0,1000000,float32,32,0.05585869549347289,0.9145259917638984,0.8586672962704255
fixed,LR_a0p3_q0,5000000,float64,32,0.013359940212935557,0.06668474315681626,0.0533248029438807
fixed,LR_a0p3_q0,5000000,float32,32,0.013359594731049607,0.06668425289672471,0.05332465816567511
fixed,LR_a0p7_q0,0,float64,32,195.56900695676524,468.8094755129119,273.2404685561467
fixed,LR_a0p7_q0,0,float32,32,195.56901485976277,468.8094848349854,273.2404699752226
fixed,LR_a0p7_q0,200000,float64,32,209.19815934803978,642.1258601677221,432.9277008196822
fixed,LR_a0p7_q0,200000,float32,32,209.19812281109074,642.1258145370161,432.92769172592546
fixed,LR_a0p7_q0,1000000,float64,32,50.75264958084355,320.4305076080346,269.67785802719106
fixed,LR_a0p7_q0,1000000,float32,32,50.75263925320328,320.4304734522527,269.67783419904947
fixed,LR_a0p7_q0,5000000,float64,32,92.95150525370137,349.16361609919454,256.21211084549316
fixed,LR_a0p7_q0,5000000,float32,32,92.95149582392439,349.16359309021186,256.2120972662874
fixed,LR_a0p3_qp05,0,float64,32,164.70117422061733,390.4524996713366,225.75132545071938
fixed,LR_a0p3_qp05,0,float32,32,164.70118192152526,390.45251171779955,225.75132979627435
fixed,LR_a0p3_qp05,200000,float64,32,31.645652125436584,111.08005136739246,79.43439924195587
fixed,LR_a0p3_qp05,200000,float32,32,31.645638727592768,111.08003438959656,79.43439566200378
fixed,LR_a0p3_qp05,1000000,float64,32,1.3079395388062143,14.08610754908494,12.778168010278725
fixed,LR_a0p3_qp05,1000000,float32,32,1.3079444371401485,14.08611958019971,12.778175143059563
fixed,LR_a0p3_qp05,5000000,float64,32,0.7609230863899741,4.185869024501751,3.4249459381117764
fixed,LR_a0p3_qp05,5000000,float32,32,0.7609252023003596,4.185876122375678,3.424950920075318
