verdict,dtype,unit_updates,max_norm_budget_error,max_rounding_bound_fraction,resolved,shrink,grow,sign_mismatch,check_failures
FAIL,float64,1536000,1.8611489137664646e-14,0.02349398487633574,1536000,773973,762027,0,0
FAIL,float32,1536000,2.839804643007102e-06,0.0058586150233570665,447382,229304,218078,0,100
