arm,dtype,coordinate,steps,lr,linear,quadratic,predicted,observed,max_unit_error
LR_a0p1_q0,float64,row_centered,256,0.005,0.3134642236528967,0.008646281541696478,0.32211050519459317,0.3221105051945251,1.0977330155981235e-14
LR_a0p1_q0,float64,whole,256,0.005,0.2841891579687503,0.02219613106451635,0.3063852890332667,0.306385289033245,1.1567786659116841e-14
LR_a0p1_q0,float64,free5,256,0.005,0.2910498976642846,0.005070744702759412,0.296120642367044,0.2961206423669744,1.1967423579894998e-14
LR_a0p1_q0,float32,row_centered,256,0.005,0.3134615024041608,0.008646285846180834,0.32210778825034164,0.32209528595116366,5.91241538875091e-06
LR_a0p1_q0,float32,whole,256,0.005,0.28418774018559856,0.022196144288909946,0.3063838844745085,0.30637571113543793,6.1758185559023415e-06
LR_a0p1_q0,float32,free5,256,0.005,0.29104773040313847,0.005070750225570721,0.29611848062870916,0.2960993441381057,6.487882214925578e-06
LR_a0p3_q0,float64,row_centered,256,0.005,0.5825162000496332,0.0832100223623787,0.665726222412012,0.6657262224119819,1.835641014191758e-14
LR_a0p3_q0,float64,whole,256,0.005,0.4481461863556074,0.19815802828528076,0.646304214640888,0.6463042146408933,1.8890325501758065e-14
LR_a0p3_q0,float64,free5,256,0.005,0.6445163354890696,0.05177919737805861,0.6962955328671282,0.6962955328670754,1.7354932595192718e-14
LR_a0p3_q0,float32,row_centered,256,0.005,0.5825200401634913,0.08321003789349907,0.6657300780569904,0.6657096543867341,8.060738795723438e-06
LR_a0p3_q0,float32,whole,256,0.005,0.44814878297455896,0.19815804021445432,0.6463068231890132,0.6462976290446083,9.50288143115722e-06
LR_a0p3_q0,float32,free5,256,0.005,0.6445218932151806,0.051779191866891096,0.6963010850820718,0.696264357748408,9.559866169698054e-06
LR_a0p7_q0,float64,row_centered,256,0.005,0.6248114987965709,2.8309795399332223,3.455791038729793,3.4557910387297364,1.867950238931826e-14
LR_a0p7_q0,float64,whole,256,0.005,-3.2382144743267007,6.486397221760339,3.248182747433639,3.2481827474336447,1.7236212457305555e-14
LR_a0p7_q0,float64,free5,256,0.005,1.1626556089039954,1.6233826210503866,2.786038229954383,2.786038229954346,1.8540724511240114e-14
LR_a0p7_q0,float32,row_centered,256,0.005,0.6248111256852164,2.8309791568409315,3.455790282526148,3.4558419941160903,8.771532849248531e-06
LR_a0p7_q0,float32,whole,256,0.005,-3.23821447302792,6.486396323939418,3.2481818509114975,3.2482317220921444,8.832574025965934e-06
LR_a0p7_q0,float32,free5,256,0.005,1.1626542882071205,1.6233823758298564,2.7860366640369767,2.7860795801096474,8.302274957704137e-06
LR_a0p3_qp05,float64,row_centered,256,0.005,1.6713062665490896,0.6085265166363063,2.279832783185396,2.279832783185393,2.3926173542410112e-14
LR_a0p3_qp05,float64,whole,256,0.005,0.8174818992597312,1.456721794849888,2.274203694109619,2.274203694109666,2.4686849786625942e-14
LR_a0p3_qp05,float64,free5,256,0.005,1.8207451009036435,0.3505447041242311,2.1712898050278744,2.1712898050279352,2.531308496145357e-14
LR_a0p3_qp05,float32,row_centered,256,0.005,1.6713058816226656,0.6085264564939821,2.279832338116648,2.279900740023081,1.7356437857356764e-05
LR_a0p3_qp05,float32,whole,256,0.005,0.8174815208903334,1.4567216196756325,2.274203140565966,2.2742653605424277,1.8763424880068394e-05
LR_a0p3_qp05,float32,free5,256,0.005,1.8207416401994736,0.3505446458464091,2.171286286045883,2.1713744117816662,1.9040512894797496e-05
