id,statistic,group,window,point,ci_lo,ci_hi,smoke,n_seed,note
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,全群,W-wide,0.870526071392629,0.7745021116205585,0.9211117687572649,0.245,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,輸送死,W-wide,0.9902781661970209,0.8857343344051025,1.0608352056188983,,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,再分類死,W-wide,0.43135287242144604,0.37851718923479055,0.5410986634259294,,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),全群,W-wide,0.8311033670888934,0.7418303426774358,0.9101074994094344,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),輸送死,W-wide,0.9402154946052563,0.8653766395759428,1.039883462768228,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),再分類死,W-wide,0.43135287242144604,0.37851718923479055,0.5410986634259294,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L2,死亡個体のうち窓内正味が下向きの割合,全群,W-wide,0.621095060367481,0.6069063952856122,0.6343978772418448,0.683,10,
L2,死亡個体のうち窓内正味が下向きの割合,輸送死,W-wide,0.6948919274850914,0.6797930161741653,0.7108260681308847,,10,
L2,死亡個体のうち窓内正味が下向きの割合,再分類死,W-wide,0.44540925698546463,0.42064159835414194,0.4814602648609279,,10,
L3,∫F_self の平均,全群,W-wide,-2.445605596530789,-2.7285035495458483,-2.1777143010489635,-0.016,10,
L3,∫F_rest の平均,全群,W-wide,2.211907423054618,1.9637100954675994,2.4629489198801835,-0.015,10,
L3,∫F_gate の平均,全群,W-wide,-0.23369817165203877,-0.2888702154255233,-0.17183370279761903,-0.055,10,
L3,∫F_self の平均,輸送死,W-wide,-2.782557399184471,-3.1104747875951033,-2.4763713575290938,,10,
L3,∫F_rest の平均,輸送死,W-wide,2.468668702660089,2.1875738469606008,2.756912351135514,,10,
L3,∫F_gate の平均,輸送死,W-wide,-0.3138886937130082,-0.37059051712131386,-0.249724872450233,,10,
L3,∫F_self の平均,再分類死,W-wide,-1.6120503725229356,-1.8606449453954836,-1.3771820775020824,,10,
L3,∫F_rest の平均,再分類死,W-wide,1.5765540636643258,1.3220997682868412,1.8404254373931306,,10,
L3,∫F_gate の平均,再分類死,W-wide,-0.03549630989837577,-0.10761411299225315,0.04785999337390304,,10,
L3,∫F_self の平均,生存,W-wide,-19.745767167368307,-23.73103685230887,-16.266055345675124,-1.66,10,
L3,∫F_rest の平均,生存,W-wide,19.650842197937415,16.09741161004124,23.640144936886788,1.65,10,
L3,∫F_gate の平均,生存,W-wide,-0.09492496183300554,-0.2041246391725596,0.027280725341034845,-0.028,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,全群,W-wide,0.33687215081192917,0.3245546849097432,0.3513432036754858,0.538,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,輸送死,W-wide,0.35519313641458927,0.3356762116361148,0.3760854369699218,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,再分類死,W-wide,0.29488991269200643,0.2745578546044725,0.31670117816164434,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,生存,W-wide,0.09901558030069733,0.08359617533024297,0.11377003039338013,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,全群,W-wide,0.2842229095555518,0.2703455072432617,0.2964303151136307,0.145,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,輸送死,W-wide,0.33969879107050216,0.3235981539309677,0.35393828937511473,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,再分類死,W-wide,0.15051934429345817,0.13067525985578313,0.17194607936138645,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,生存,W-wide,0.3977726372062548,0.3783939290596005,0.4164120036476714,,10,
L6,"生存個体のタスク残り区間 [B+2000,B+1e4) の ∫F の平均 (粗いグリッド)",生存,W-wide,-97.74190146185613,-117.44649794472632,-80.63613907431275,-9.5,10,窓の定義に依存しない量。W-wide/W-narrow の両行に同一値
L6,"生存個体のタスク残り区間 [B+2000,B+1e4) の ∫F の平均 (粗いグリッド)",生存,W-wide,97.70771299415193,80.58144434068144,117.01296979445753,9.39,10,窓の定義に依存しない量。W-wide/W-narrow の両行に同一値
L7,窓内/窓外の ΣF_gate (正味),全対象,W-wide,-0.14875344468992943,-0.21391616998769816,-0.08045165987608233,-0.076,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_self (税),全対象,W-wide,-13.376367180072018,-15.575024364249545,-11.437457943069532,-5.71,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外で正味 (ΣF_gate) が負な割合,全対象,W-wide,0.5418279912165065,0.5323874546187185,0.5521372166689311,0.568,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_gate (正味),全対象,W-wide,-0.015474941865797325,-0.16784557125087693,0.12414325101349633,0.0,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_self (税),全対象,W-wide,-58.4617776428172,-68.26690627263757,-50.039685391943465,-48.19,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外で正味 (ΣF_gate) が負な割合,全対象,W-wide,0.38726920000725545,0.37528876463921046,0.3971406483769796,0.465,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L8,正味変位 (∫F_gate) に占める窓内の割合 (seed内 pooled 比),全対象,W-wide,0.664196474321127,-0.24565202171815295,1.6865123395480095,,10,pooled: Σ窓内積分 / Σ全タスク積分 (seedごと)
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,全群,W-narrow,0.8768670070069908,0.806977235750569,1.034758635725383,,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,輸送死,W-narrow,1.032330018213358,0.930155047218456,1.1470516040601764,,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1,死亡個体(窓内正味が下向き)の ∫F_self/∫F_gate の中央値,再分類死,W-narrow,0.4610000625096212,0.3244385580929202,0.4989841482551181,,10,判定なし・点推定とCIを報告。比が1を超えてもクリップしない
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),全群,W-narrow,0.780411301825583,0.7579056203714177,0.9371650937815696,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),輸送死,W-narrow,0.9244177879248294,0.8442532853502417,1.0457528714720503,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L1-win,死亡が窓内で起きた個体に限定した L1 (副次・判定に使わない),再分類死,W-narrow,0.4610000625096212,0.3244385580929202,0.4989841482551181,,10,§9 の選択: 主判定はタスク全体死亡、L1-win は窓内死亡限定
L2,死亡個体のうち窓内正味が下向きの割合,全群,W-narrow,0.6899566306047035,0.6759088532196754,0.7040532658540919,,10,
L2,死亡個体のうち窓内正味が下向きの割合,輸送死,W-narrow,0.7995394052751996,0.7883792087898528,0.8115381643811365,,10,
L2,死亡個体のうち窓内正味が下向きの割合,再分類死,W-narrow,0.430574477938511,0.398806109547539,0.4645068660570387,,10,
L3,∫F_self の平均,全群,W-narrow,-0.2721394002327182,-0.307206341809549,-0.2376882128634455,,10,
L3,∫F_rest の平均,全群,W-narrow,0.1588154810778173,0.13528672793475402,0.18249376664360928,,10,
L3,∫F_gate の平均,全群,W-narrow,-0.11332391907651665,-0.1280018634895278,-0.09914335112511465,,10,
L3,∫F_self の平均,輸送死,W-narrow,-0.3522139917600004,-0.3931214054031263,-0.3123191475586211,,10,
L3,∫F_rest の平均,輸送死,W-narrow,0.20247033362007535,0.1729531360188686,0.23220010962251325,,10,
L3,∫F_gate の平均,輸送死,W-narrow,-0.14974365802952136,-0.1651723492152907,-0.13489185591766067,,10,
L3,∫F_self の平均,再分類死,W-narrow,-0.07528200496209235,-0.08425164535801358,-0.06754379025258986,,10,
L3,∫F_rest の平均,再分類死,W-narrow,0.04937813312092218,0.041498461510764376,0.056550151775013116,,10,
L3,∫F_gate の平均,再分類死,W-narrow,-0.02590387181663109,-0.034912853962646324,-0.017131960433374536,,10,
L3,∫F_self の平均,生存,W-narrow,-1.0811496900808037,-1.3119481713204868,-0.8834836935342192,,10,
L3,∫F_rest の平均,生存,W-narrow,1.0409365411774298,0.8489471546826968,1.262659078612925,,10,
L3,∫F_gate の平均,生存,W-narrow,-0.04021314903616178,-0.04681545201456597,-0.03353471306620392,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,全群,W-narrow,0.36514633470539565,0.35364732790654985,0.3765070215575417,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,輸送死,W-narrow,0.3935889069665399,0.37342426085943603,0.41346701622836673,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,再分類死,W-narrow,0.3011740557946667,0.28090802899288203,0.32047107685440923,,10,
L4,稼ぎ自体が負 (∫F_rest<0) の割合,生存,W-narrow,0.16013298409747057,0.13818530770286633,0.1802636263053919,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,全群,W-narrow,0.3248102958993079,0.30627565637204485,0.34368749651305786,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,輸送死,W-narrow,0.40595049830865976,0.3906616523729612,0.42101769003068373,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,再分類死,W-narrow,0.12940042214384423,0.11239269395928486,0.14861213656759442,,10,
L5,稼ぎを失って税に沈んだ (∫F_rest>=0 かつ ∫F_gate<0) の割合,生存,W-narrow,0.4198450639327003,0.39267881044456526,0.45093514418327996,,10,
L6,"生存個体のタスク残り区間 [B+2000,B+1e4) の ∫F の平均 (粗いグリッド)",生存,W-narrow,-97.74190146185613,-117.44667336284816,-80.49681551270584,,10,窓の定義に依存しない量。W-wide/W-narrow の両行に同一値
L6,"生存個体のタスク残り区間 [B+2000,B+1e4) の ∫F の平均 (粗いグリッド)",生存,W-narrow,97.70771299415193,80.98606353118988,117.1116773248622,,10,窓の定義に依存しない量。W-wide/W-narrow の両行に同一値
L7,窓内/窓外の ΣF_gate (正味),全対象,W-narrow,-0.06697424789044851,-0.07552268816218624,-0.05837050893756742,,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_self (税),全対象,W-narrow,-0.782730741780993,-0.9229748035786236,-0.663277363272531,,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外で正味 (ΣF_gate) が負な割合,全対象,W-narrow,0.6199323747191181,0.6091998410333536,0.6325531581890301,,10,窓内。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_gate (正味),全対象,W-narrow,-0.008405694844679165,-0.15218210006021649,0.1326936815839131,,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外の ΣF_self (税),全対象,W-narrow,-72.33978751909783,-84.4992481583244,-61.74922081876393,,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L7,窓内/窓外で正味 (ΣF_gate) が負な割合,全対象,W-narrow,0.3902946826522084,0.3815062398310156,0.3995091110539363,,10,窓外。台形積分 (L1/L3/L6/L8 と同じ演算)
L8,正味変位 (∫F_gate) に占める窓内の割合 (seed内 pooled 比),全対象,W-narrow,0.12838163107445205,-0.20783191440541166,0.46527067031855524,,10,pooled: Σ窓内積分 / Σ全タスク積分 (seedごと)
