step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,955,519,139,146,1600,459,SNA,l2,0,21
2,1001,501,197,155,1600,633,SNA,l2,0,21
3,1017,478,158,139,1600,571,SNA,l2,0,21
4,1062,497,209,141,1600,621,SNA,l2,0,21
5,1012,497,231,131,1600,631,SNA,l2,0,21
6,1045,489,264,118,1600,617,SNA,l2,0,21
7,1064,496,298,144,1600,705,SNA,l2,0,21
8,1083,496,299,167,1600,739,SNA,l2,0,21
9,1082,485,317,177,1598,711,SNA,l2,0,21
10,1089,541,346,193,1599,693,SNA,l2,0,21
11,1093,477,296,141,1598,607,SNA,l2,0,21
12,1130,489,293,120,1599,633,SNA,l2,0,21
13,1127,481,272,155,1599,631,SNA,l2,0,21
14,1138,535,284,126,1599,664,SNA,l2,0,21
15,1130,549,259,114,1600,633,SNA,l2,0,21
16,1115,533,263,172,1600,670,SNA,l2,0,21
17,1131,525,232,157,1600,600,SNA,l2,0,21
18,1090,497,256,222,1600,663,SNA,l2,0,21
19,1105,508,243,173,1600,640,SNA,l2,0,21
20,1117,490,269,203,1600,686,SNA,l2,0,21
1,1034,612,161,129,1600,477,SNA,l2,0,22
2,1060,619,157,132,1600,451,SNA,l2,0,22
3,1021,497,253,234,1600,656,SNA,l2,0,22
4,1047,545,251,195,1600,575,SNA,l2,0,22
5,1003,541,309,205,1600,692,SNA,l2,0,22
6,1029,458,298,209,1600,604,SNA,l2,0,22
7,1062,532,333,124,1599,644,SNA,l2,0,22
8,1155,594,343,185,1599,629,SNA,l2,0,22
9,1122,565,325,131,1600,617,SNA,l2,0,22
10,1103,507,326,182,1599,621,SNA,l2,0,22
11,1150,556,314,192,1599,564,SNA,l2,0,22
12,1140,565,394,186,1600,722,SNA,l2,0,22
13,1150,565,327,127,1599,626,SNA,l2,0,22
14,1136,544,321,167,1598,649,SNA,l2,0,22
15,1116,524,312,160,1599,620,SNA,l2,0,22
16,1131,511,300,141,1599,611,SNA,l2,0,22
17,1131,549,344,208,1599,710,SNA,l2,0,22
18,1139,531,282,177,1600,620,SNA,l2,0,22
19,1133,553,303,144,1599,655,SNA,l2,0,22
20,1138,504,248,126,1597,603,SNA,l2,0,22
1,982,505,216,209,1599,474,SNA,l2,0,23
2,1014,533,216,163,1600,498,SNA,l2,0,23
3,1058,563,296,173,1600,649,SNA,l2,0,23
4,1042,531,270,194,1600,606,SNA,l2,0,23
5,1082,542,282,166,1600,603,SNA,l2,0,23
6,1086,520,272,162,1599,589,SNA,l2,0,23
7,1116,600,313,211,1599,617,SNA,l2,0,23
8,1103,526,312,205,1600,628,SNA,l2,0,23
9,1122,549,321,170,1599,611,SNA,l2,0,23
10,1105,550,294,138,1598,596,SNA,l2,0,23
11,1093,544,307,140,1598,666,SNA,l2,0,23
12,1080,507,287,202,1599,594,SNA,l2,0,23
13,1101,506,291,176,1599,640,SNA,l2,0,23
14,1080,521,300,173,1599,642,SNA,l2,0,23
15,1073,495,302,171,1600,607,SNA,l2,0,23
16,1089,535,319,124,1600,632,SNA,l2,0,23
17,1074,508,316,158,1599,667,SNA,l2,0,23
18,1099,501,312,207,1599,580,SNA,l2,0,23
19,1102,531,307,129,1599,625,SNA,l2,0,23
20,1113,552,289,178,1600,565,SNA,l2,0,23
1,942,461,170,157,1600,484,SNA,l2,0,24
2,989,499,244,224,1599,602,SNA,l2,0,24
3,1044,488,267,280,1600,584,SNA,l2,0,24
4,1103,564,318,180,1600,606,SNA,l2,0,24
5,1130,575,370,184,1600,665,SNA,l2,0,24
6,1130,544,364,208,1599,652,SNA,l2,0,24
7,1130,553,402,147,1599,685,SNA,l2,0,24
8,1190,593,435,189,1600,698,SNA,l2,0,24
9,1173,572,426,229,1597,657,SNA,l2,0,24
10,1195,577,407,124,1597,641,SNA,l2,0,24
11,1222,552,377,202,1599,639,SNA,l2,0,24
12,1206,558,400,244,1599,652,SNA,l2,0,24
13,1213,579,367,155,1600,582,SNA,l2,0,24
14,1208,585,333,164,1599,634,SNA,l2,0,24
15,1199,550,318,220,1599,672,SNA,l2,0,24
16,1211,563,306,170,1600,650,SNA,l2,0,24
17,1164,571,304,167,1600,681,SNA,l2,0,24
18,1219,582,317,230,1600,692,SNA,l2,0,24
19,1224,550,317,221,1599,734,SNA,l2,0,24
20,1222,566,303,204,1598,675,SNA,l2,0,24
1,1062,557,214,209,1600,588,SNA,l2,0,25
2,1076,605,183,158,1600,498,SNA,l2,0,25
3,1042,557,217,201,1600,581,SNA,l2,0,25
4,1075,558,239,205,1600,580,SNA,l2,0,25
5,1093,572,321,218,1600,667,SNA,l2,0,25
6,1098,492,320,180,1600,597,SNA,l2,0,25
7,1133,578,372,163,1600,670,SNA,l2,0,25
8,1136,527,334,179,1600,621,SNA,l2,0,25
9,1145,558,327,150,1599,616,SNA,l2,0,25
10,1152,544,295,167,1600,597,SNA,l2,0,25
11,1211,557,341,140,1599,658,SNA,l2,0,25
12,1198,573,311,184,1599,582,SNA,l2,0,25
13,1164,570,290,91,1600,637,SNA,l2,0,25
14,1175,559,289,161,1599,642,SNA,l2,0,25
15,1146,591,255,139,1599,619,SNA,l2,0,25
16,1113,574,233,108,1600,648,SNA,l2,0,25
17,1162,590,218,158,1595,599,SNA,l2,0,25
18,1132,538,223,199,1600,714,SNA,l2,0,25
19,1107,474,172,159,1598,617,SNA,l2,0,25
20,1089,536,231,186,1600,686,SNA,l2,0,25
1,966,507,131,134,1600,561,SNA,l2,0,26
2,946,479,184,189,1600,597,SNA,l2,0,26
3,982,460,244,266,1600,637,SNA,l2,0,26
4,1003,476,260,155,1600,641,SNA,l2,0,26
5,1042,503,323,165,1600,719,SNA,l2,0,26
6,1055,528,350,219,1600,665,SNA,l2,0,26
7,1106,561,360,165,1600,676,SNA,l2,0,26
8,1109,591,327,111,1600,594,SNA,l2,0,26
9,1138,537,330,151,1599,651,SNA,l2,0,26
10,1102,561,296,128,1600,612,SNA,l2,0,26
11,1156,564,280,178,1597,619,SNA,l2,0,26
12,1142,537,307,213,1599,660,SNA,l2,0,26
13,1179,544,313,219,1599,659,SNA,l2,0,26
14,1160,540,329,188,1600,671,SNA,l2,0,26
15,1160,507,246,122,1598,563,SNA,l2,0,26
16,1157,527,341,178,1599,643,SNA,l2,0,26
17,1175,545,332,180,1598,600,SNA,l2,0,26
18,1148,530,272,104,1600,558,SNA,l2,0,26
19,1159,535,283,231,1597,662,SNA,l2,0,26
20,1180,536,257,154,1600,631,SNA,l2,0,26
1,1004,526,161,167,1600,548,SNA,l2,0,27
2,1011,518,160,141,1600,558,SNA,l2,0,27
3,1024,483,198,199,1600,640,SNA,l2,0,27
4,1036,484,227,207,1600,658,SNA,l2,0,27
5,1063,511,256,180,1600,658,SNA,l2,0,27
6,1058,507,277,171,1599,588,SNA,l2,0,27
7,1080,465,256,154,1600,582,SNA,l2,0,27
8,1049,478,246,141,1600,549,SNA,l2,0,27
9,1101,500,314,240,1599,589,SNA,l2,0,27
10,1112,493,313,164,1600,646,SNA,l2,0,27
11,1084,565,372,187,1599,684,SNA,l2,0,27
12,1111,522,337,184,1599,645,SNA,l2,0,27
13,1133,542,335,177,1600,681,SNA,l2,0,27
14,1107,503,317,115,1600,649,SNA,l2,0,27
15,1088,547,319,200,1600,676,SNA,l2,0,27
16,1083,470,271,120,1600,692,SNA,l2,0,27
17,1095,496,264,127,1598,623,SNA,l2,0,27
18,1096,558,272,145,1599,586,SNA,l2,0,27
19,1090,516,279,188,1597,671,SNA,l2,0,27
20,1093,520,242,182,1598,630,SNA,l2,0,27
