step,mean,within,between,total,within_flow,between_flow,arm,iv,seed,task
0,-0.7993498237077117,0.8316547935413398,1.0041037987429098,1.8357585922842643,0.0,0.0,SNA,none,2,21
1,-0.7997739607836322,0.8256282221232444,0.9677820399383539,1.7934102620616017,-0.006026571418095239,-0.03632175880455636,SNA,none,2,21
2,-0.7992453453202863,0.8201747420475204,0.932875011015465,1.7530497530630003,-0.0054534800757241805,-0.03490702892288826,SNA,none,2,21
3,-0.8010732630616697,0.8162783973376971,0.9104598953653639,1.726738292703052,-0.003896344709823014,-0.022415115650101722,SNA,none,2,21
4,-0.8015873790108494,0.8145000035891057,0.904709373950741,1.7192093775398252,-0.0017783937485915105,-0.005750521414622466,SNA,none,2,21
5,-0.8009894612423863,0.8143189790377356,0.9144309081377453,1.728749887175471,-0.00018102455137002134,0.009721534187004093,SNA,none,2,21
6,-0.8042927703390791,0.8155262655915172,0.9275032121033848,1.7430294776949007,0.001207286553781477,0.013072303965639919,SNA,none,2,21
7,-0.8096979535795893,0.8180306499439008,0.9430100390030682,1.761040688946959,0.0025043843523838275,0.015506826899683324,SNA,none,2,21
8,-0.8137274221668549,0.8212133264803433,0.9589115258625701,1.780124852342898,0.0031826765364422593,0.015901486859501168,SNA,none,2,21
9,-0.8247921313899323,0.8247227391684475,0.9584835727962633,1.7832063119646901,0.0035094126881043608,-0.0004279530663066108,SNA,none,2,21
10,-0.8335277801075083,0.8285417230447879,0.9547553835372878,1.783297106582073,0.0038189838763404483,-0.0037281892589749767,SNA,none,2,21
11,-0.8385429699566603,0.8325447129407954,0.950359948022289,1.7829046609630792,0.0040029898960072426,-0.004395435514999141,SNA,none,2,21
12,-0.8451903741624923,0.8377172945327698,0.9443701961874738,1.7820874907202444,0.005172581591974383,-0.005989751834814805,SNA,none,2,21
13,-0.853406521259231,0.8438497654831412,0.9391638064807626,1.7830135719639153,0.006132470950371543,-0.005206389706711884,SNA,none,2,21
14,-0.8660753711878377,0.850597504810668,0.9286644497717262,1.7792619545823811,0.006747739327526726,-0.010499356709036081,SNA,none,2,21
15,-0.8787146020558173,0.8583101172450057,0.9227084720661215,1.7810185893111155,0.00771261243433793,-0.005955977705604703,SNA,none,2,21
16,-0.8874637948469619,0.8657472890748679,0.9180902029581762,1.7838374920330495,0.007437171829861882,-0.004618269107944486,SNA,none,2,21
17,-0.8906628717283127,0.8733275379674068,0.9133675052623478,1.7866950432297686,0.007580248892538975,-0.004722697695829022,SNA,none,2,21
18,-0.8908212561297333,0.8815557208203653,0.9136503000157581,1.795206020836111,0.008228182852958692,0.0002827947534102016,SNA,none,2,21
19,-0.8866864467859614,0.8896240742399059,0.914897666290853,1.8045217405307494,0.008068353419540516,0.0012473662750952508,SNA,none,2,21
20,-0.8801767031463034,0.8975922431524666,0.9167172136760621,1.814309456828525,0.007968168912560717,0.0018195473852086947,SNA,none,2,21
0,-0.6978644223827501,0.7699910099743338,1.0834629219720142,1.8534539319463519,0.0,0.0,SNA,none,2,22
1,-0.7222235251525242,0.7671752502835736,1.0389815895038452,1.8061568397874073,-0.002815759690760152,-0.04448133246816853,SNA,none,2,22
2,-0.7494370591832579,0.7646375196846162,1.0006435310111599,1.7652810506957848,-0.0025377305989573895,-0.03833805849268508,SNA,none,2,22
