step,n_negative,n_neg_local_up,n_neg_local_up_actual_down,n_neg_local_up_current_down,n_valid,n_opposed,arm,iv,seed,task
1,1153,574,270,260,1600,566,SNA,none,1,21
2,1166,615,304,225,1600,686,SNA,none,1,21
3,1203,594,269,235,1600,601,SNA,none,1,21
4,1173,654,280,214,1600,612,SNA,none,1,21
5,1222,629,298,242,1599,660,SNA,none,1,21
6,1215,681,287,286,1600,600,SNA,none,1,21
7,1235,660,282,173,1599,628,SNA,none,1,21
8,1275,636,247,175,1600,613,SNA,none,1,21
9,1246,671,250,134,1599,576,SNA,none,1,21
10,1243,626,266,259,1599,671,SNA,none,1,21
11,1235,642,259,189,1599,686,SNA,none,1,21
12,1238,612,272,284,1600,673,SNA,none,1,21
13,1211,548,269,240,1600,626,SNA,none,1,21
14,1247,565,293,239,1598,621,SNA,none,1,21
15,1242,580,292,275,1600,591,SNA,none,1,21
16,1204,606,350,316,1599,670,SNA,none,1,21
17,1231,620,341,272,1597,614,SNA,none,1,21
18,1158,609,377,290,1600,711,SNA,none,1,21
19,1216,615,333,247,1598,648,SNA,none,1,21
20,1202,580,359,280,1600,732,SNA,none,1,21
1,1180,667,174,184,1599,496,SNA,none,1,22
2,1233,678,228,229,1599,587,SNA,none,1,22
3,1178,634,206,199,1600,606,SNA,none,1,22
4,1198,657,223,216,1600,631,SNA,none,1,22
5,1133,633,188,176,1600,593,SNA,none,1,22
6,1157,617,190,167,1599,635,SNA,none,1,22
7,1161,592,168,167,1600,693,SNA,none,1,22
8,1155,556,191,228,1599,669,SNA,none,1,22
9,1094,554,178,200,1599,606,SNA,none,1,22
10,1155,540,226,252,1600,673,SNA,none,1,22
11,1064,501,228,244,1599,615,SNA,none,1,22
12,1103,524,254,246,1600,626,SNA,none,1,22
13,1122,546,306,223,1600,639,SNA,none,1,22
14,1139,598,343,273,1599,675,SNA,none,1,22
15,1110,559,314,257,1600,607,SNA,none,1,22
16,1096,551,341,279,1600,703,SNA,none,1,22
17,1101,599,357,244,1598,679,SNA,none,1,22
18,1142,556,332,265,1600,690,SNA,none,1,22
19,1145,587,327,189,1599,682,SNA,none,1,22
20,1135,531,287,152,1599,642,SNA,none,1,22
1,1209,682,195,190,1600,566,SNA,none,1,23
2,1198,683,200,212,1599,610,SNA,none,1,23
3,1166,616,198,235,1600,623,SNA,none,1,23
4,1149,631,193,180,1600,610,SNA,none,1,23
5,1164,601,242,208,1599,714,SNA,none,1,23
6,1242,619,247,257,1599,714,SNA,none,1,23
7,1164,671,232,164,1600,652,SNA,none,1,23
8,1189,613,258,257,1599,679,SNA,none,1,23
9,1171,627,283,197,1599,666,SNA,none,1,23
10,1131,576,267,256,1600,667,SNA,none,1,23
11,1183,600,315,271,1600,726,SNA,none,1,23
12,1162,564,322,202,1599,777,SNA,none,1,23
13,1163,597,331,158,1598,771,SNA,none,1,23
14,1180,582,313,234,1599,700,SNA,none,1,23
15,1125,558,292,191,1597,635,SNA,none,1,23
16,1169,515,299,216,1600,654,SNA,none,1,23
17,1147,584,334,265,1598,689,SNA,none,1,23
18,1196,609,358,187,1600,735,SNA,none,1,23
19,1184,523,326,264,1598,645,SNA,none,1,23
20,1185,557,361,188,1600,688,SNA,none,1,23
1,1235,666,233,217,1600,502,SNA,none,1,24
2,1227,695,280,302,1600,563,SNA,none,1,24
3,1247,673,255,209,1600,572,SNA,none,1,24
4,1229,646,316,295,1600,692,SNA,none,1,24
5,1253,653,313,241,1600,689,SNA,none,1,24
6,1220,660,266,226,1599,585,SNA,none,1,24
7,1214,641,275,176,1600,661,SNA,none,1,24
8,1247,586,294,236,1600,718,SNA,none,1,24
9,1242,585,296,251,1599,669,SNA,none,1,24
10,1241,632,288,218,1600,625,SNA,none,1,24
11,1179,573,300,228,1600,653,SNA,none,1,24
12,1251,577,324,267,1600,716,SNA,none,1,24
13,1256,620,298,242,1598,622,SNA,none,1,24
14,1283,599,343,217,1600,717,SNA,none,1,24
15,1251,601,329,238,1599,654,SNA,none,1,24
16,1288,598,300,237,1599,602,SNA,none,1,24
17,1243,597,260,240,1600,603,SNA,none,1,24
18,1298,630,276,207,1599,584,SNA,none,1,24
19,1261,649,290,204,1596,677,SNA,none,1,24
20,1309,638,310,192,1599,738,SNA,none,1,24
1,1150,597,276,279,1599,621,SNA,none,1,25
2,1166,647,266,223,1598,575,SNA,none,1,25
3,1137,623,299,191,1599,732,SNA,none,1,25
4,1142,611,263,200,1600,751,SNA,none,1,25
5,1150,575,247,217,1598,664,SNA,none,1,25
6,1169,652,315,170,1600,709,SNA,none,1,25
7,1195,621,235,205,1600,615,SNA,none,1,25
8,1149,614,239,198,1599,634,SNA,none,1,25
9,1127,584,205,217,1600,574,SNA,none,1,25
10,1131,543,268,171,1598,768,SNA,none,1,25
11,1152,552,220,211,1598,625,SNA,none,1,25
12,1178,551,241,246,1599,587,SNA,none,1,25
13,1151,526,283,274,1600,641,SNA,none,1,25
14,1179,531,293,226,1600,604,SNA,none,1,25
15,1192,580,360,249,1600,708,SNA,none,1,25
16,1189,578,364,253,1599,697,SNA,none,1,25
17,1234,613,352,203,1600,674,SNA,none,1,25
18,1200,578,310,205,1600,642,SNA,none,1,25
19,1220,631,345,223,1598,664,SNA,none,1,25
20,1192,549,286,251,1599,605,SNA,none,1,25
1,1159,612,237,220,1599,616,SNA,none,1,26
2,1127,615,197,165,1600,579,SNA,none,1,26
3,1151,583,254,254,1600,677,SNA,none,1,26
4,1153,617,215,196,1599,522,SNA,none,1,26
5,1195,657,257,196,1600,598,SNA,none,1,26
6,1187,629,285,227,1598,701,SNA,none,1,26
7,1152,545,296,235,1600,747,SNA,none,1,26
8,1172,544,256,246,1599,710,SNA,none,1,26
9,1191,594,284,242,1600,694,SNA,none,1,26
10,1193,630,267,174,1600,654,SNA,none,1,26
11,1177,563,284,220,1600,671,SNA,none,1,26
12,1197,574,323,313,1598,673,SNA,none,1,26
13,1175,627,279,150,1600,642,SNA,none,1,26
14,1205,608,292,255,1599,667,SNA,none,1,26
15,1182,523,283,299,1600,697,SNA,none,1,26
16,1181,549,337,316,1598,702,SNA,none,1,26
17,1203,598,403,291,1596,773,SNA,none,1,26
18,1173,562,375,276,1600,691,SNA,none,1,26
19,1214,557,371,230,1598,700,SNA,none,1,26
20,1211,626,415,168,1597,766,SNA,none,1,26
1,1231,663,297,277,1600,554,SNA,none,1,27
2,1233,689,270,163,1599,587,SNA,none,1,27
3,1235,681,242,189,1600,543,SNA,none,1,27
4,1240,630,230,231,1598,570,SNA,none,1,27
5,1250,650,241,168,1600,602,SNA,none,1,27
6,1263,663,231,226,1600,597,SNA,none,1,27
7,1245,656,289,176,1600,727,SNA,none,1,27
8,1258,621,277,209,1600,701,SNA,none,1,27
9,1254,655,263,192,1600,716,SNA,none,1,27
10,1234,655,192,167,1600,557,SNA,none,1,27
11,1239,613,196,180,1600,617,SNA,none,1,27
12,1197,594,223,265,1599,668,SNA,none,1,27
13,1235,629,192,191,1600,607,SNA,none,1,27
14,1232,581,224,236,1599,694,SNA,none,1,27
15,1203,590,237,279,1599,681,SNA,none,1,27
16,1189,566,250,258,1599,691,SNA,none,1,27
17,1185,548,268,306,1600,624,SNA,none,1,27
18,1215,558,275,175,1599,658,SNA,none,1,27
19,1222,622,277,202,1598,653,SNA,none,1,27
20,1235,569,252,235,1594,629,SNA,none,1,27
1,1138,618,226,213,1600,479,SNA,none,1,28
2,1172,640,248,231,1600,548,SNA,none,1,28
