seed,arm,k,s,neffT2,zero2,gtr2,zarm2,dmean2,effbar2,neffS2,zeroS2
37,S2dyn_10r,1,0,0.0085199600364381,0.926025,0.007244351223607858,0.22200679288228956,-45.77473024085487,-45.55272344797258,0.0085199600364381,0.926025
37,S2dyn_10r,1,750,0.0018823349555134275,0.9864083333333333,0.0010045808881521225,0.9722569204580038,-63.33173191421926,-62.35947499376126,0.0018823349555134275,0.9864083333333333
37,S2dyn_10r,1,1500,0.0025900024665219817,0.9811083333333334,0.0017047261094053586,1.4394353874975263,-62.76954925993085,-61.33011387243332,0.0025900024665219817,0.9811083333333334
37,S2dyn_10r,1,2250,0.0039760143040512095,0.9764916666666666,0.0030816841448346776,1.5337151538434162,-61.536701692252606,-60.00298653840919,0.0039760143040512095,0.9764916666666666
37,S2dyn_10r,1,3000,0.00624512923086806,0.965575,0.005267433454593022,1.9567034104751466,-60.094488147993296,-58.137784737518146,0.00624512923086806,0.965575
37,S2dyn_10r,1,3750,0.009665850722115394,0.9524083333333333,0.00850266573081414,2.4929657381701595,-59.310704305723554,-56.81773856755339,0.009665850722115394,0.9524083333333333
37,S2dyn_10r,1,4500,0.011772959047729235,0.9443166666666667,0.010737611410518487,2.4012523918109947,-58.186246018668825,-55.78499362685783,0.011772959047729235,0.9443166666666667
37,S2dyn_10r,1,5250,0.015080990267875214,0.9346666666666666,0.013788576500117779,2.142687451257737,-56.95561203880347,-54.81292458754574,0.015080990267875214,0.9346666666666666
37,S2dyn_10r,1,6000,0.018432637253062146,0.925225,0.016983327451348305,1.8091981106754276,-55.73504946209987,-53.92585135142445,0.018432637253062146,0.925225
37,S2dyn_10r,2,0,0.018432637253062146,0.925225,0.016983327451348305,1.8091981106754276,-55.73504946209987,-53.92585135142445,0.018432637253062146,0.925225
37,S2dyn_10r,2,750,0.0010781822030907781,0.9935833333333334,0.0006209479187925656,-1.9610510446046614,-69.19397945022385,-71.15503049482851,0.0010781822030907781,0.9935833333333334
37,S2dyn_10r,2,1500,0.0016502563498503777,0.990325,0.0011787902946273486,-1.578782724730329,-68.82871495027294,-70.40749767500327,0.0016502563498503777,0.990325
37,S2dyn_10r,2,2250,0.00250650068133272,0.986125,0.0020390042707324027,-1.3424604551277124,-68.20961869900773,-69.55207915413544,0.00250650068133272,0.986125
37,S2dyn_10r,2,3000,0.004639166707951746,0.977575,0.004048525486389796,-0.5603287075603303,-67.87367133713514,-68.43400004469547,0.004639166707951746,0.977575
37,S2dyn_10r,2,3750,0.006015902557675328,0.9739666666666666,0.005352870946129163,-0.45132359160002816,-68.54330127335936,-68.99462486495939,0.006015902557675328,0.9739666666666666
