registered,arm,seed,unit,t_sub,win_len,d_wmu,d_b,share_unit,routes_same_sign,share_in_unit_interval,d_wmu_ff,d_b_ff,n_ff_intervals,share_unit_ff,frac_db_ff,frac_dwmu_ff,pred,pred_meanrecip,pred_ff
0,E_1216,0,1,221000,221,-1.0038142078167827,-0.09854560507633181,0.0893951357113622,1,1,-0.12356409131972293,-0.051183748850318844,199,0.2929006092465206,0.5193914919967537,0.12309458299904437,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,2,321000,321,-0.19168708093329379,0.012727913424691595,-0.07112188552218086,0,0,-0.4040313271058541,-0.024763319330974976,289,0.057750999311096014,-1.9455914339372564,2.1077650363221667,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,3,61000,61,-0.045979408438894254,-0.012589832404217183,0.21495638705547476,1,1,-0.11287676871380803,-0.013414564288720312,55,0.10621919944777013,1.065507773100051,2.4549417347075937,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,4,441000,441,-4.672955087366432,-0.7357749257167256,0.1360346927905372,1,1,-0.5982498463021293,-0.11704241357591377,397,0.16362879922099174,0.15907366435721032,0.12802388105965914,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,6,81000,81,-0.6009495189602614,0.0033593574842340768,-0.005621507348676187,0,0,-0.3812423293213255,-0.026033645029044872,73,0.06392138664837792,-7.749590554510593,0.6343999242747305,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,7,201000,201,-1.6960135270433039,-0.27734786793211796,0.1405459074239021,1,1,-1.9188476890486215,-0.21592780299382675,181,0.10114778055056163,0.7785450257965422,1.1313870192968267,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,8,491000,491,-9.19118399609195,-0.7988213284480565,0.079962052321012,1,1,3.21938359325398,0.40641868826921057,442,0.11209069240766077,-0.5087729555979651,-0.3502686481548892,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,10,311000,311,-1.207386647088427,-0.34654520383109855,0.22301184162357796,1,1,-1.2153975537223694,-0.13571115798409483,280,0.10044429201606601,0.39161170457357886,1.0066349140544668,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,11,151000,151,-3.802929700547156,-0.8645879508238181,0.18523506827443184,1,1,-0.5024833349205207,-0.4455440433636513,136,0.46996959536130517,0.5153252979516045,0.13213058733329322,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,12,561000,561,-0.7387467839217159,0.12438862434485642,-0.2024692313528144,0,0,0.3690561928147321,0.03282449472720578,505,0.08167721352318132,0.26388662870169527,-0.4995706253441241,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,13,21000,21,-2.9373642363952044,-0.33064520696328437,0.10117633155413554,1,1,-1.1901018312924023,-0.11458557469176522,19,0.0878260755535765,0.34655144631958656,0.4051597743808989,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,16,181000,181,-1.3120498622284487,-0.12901316194583679,0.08952638419111476,1,1,-1.8314777666310684,-0.2134236042567949,163,0.10436865430049069,1.6542777576941794,1.3958903692275828,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,20,491000,491,-0.9647697339618659,-0.0336902538695103,0.03374221729474055,1,1,-0.20202118926165996,-0.024381946799629517,442,0.10769261956260665,0.7237092036784916,0.2093983487977507,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,21,1571000,1571,-1.2736767301189924,0.025134405521724412,-0.020130999988191678,0,0,0.510961730546456,0.06666667735538712,1414,0.11541447138575608,2.6524071674488234,-0.40117065693641096,0.09758305318051957,0.09758305318051957,0.09758305318051957
0,E_1216,0,22,91000,91,-3.6006024725894665,-0.33936945699609566,0.08613499361448325,1,1,-0.7491551973028843,-0.12137243266989706,82,0.13942398666162037,0.357641002063699,0.2080638457052744,0.09758305318051957,0.09758305318051957,0.09758305318051957
