registered,arm,seed,pred_kind,target_mu_norm,n_units,med_d_wmu,med_d_b,share_of_medians,med_share_unit,share_of_medians_ff,med_share_unit_ff,med_frac_db_ff,med_frac_dwmu_ff,frac_share_ff_outside01,share_of_medians_incl_nodesc,med_pred,med_pred_meanrecip,med_pred_ff,med_t_sub,med_win_len,frac_routes_same_sign,frac_share_outside01,n_units_ff,n_ok,n_never_submerged,n_submerged_at_start,n_degenerate_denom,n_no_descent
0,E_1216,0,oracle,3.041,64,-1.6810254065142534,-0.19965010121344928,0.10615871818029547,0.10203637473240884,0.11966725958438243,0.09979772114295304,0.4747412196048835,0.3563413637408175,0.109375,0.10396069339194082,0.09758305318051957,0.09758305318051957,0.09758305318051957,211000.0,211.0,0.875,0.125,64,64,0,31,0,5
0,E_1216,1,oracle,3.041,81,-1.5882336224965456,-0.19319212593836532,0.10844803725785156,0.10021130093896365,0.08598046362197048,0.10268973632055366,0.6261558388175764,0.3587267098201097,0.1728395061728395,0.09702815138471516,0.09758305318051957,0.09758305318051957,0.09758305318051957,141000.0,141.0,0.8641975308641975,0.13580246913580246,81,81,2,15,0,2
0,E_1216,2,oracle,3.041,78,-1.4358483496148493,-0.19603255356068505,0.12012675261976435,0.0956553645429663,0.09849874104501817,0.09401713427600905,0.34497174611519354,0.3255484051059366,0.14102564102564102,0.1125870057991648,0.09758305318051957,0.09758305318051957,0.09758305318051957,196000.0,196.0,0.8076923076923077,0.19230769230769232,78,78,0,20,0,2
0,E_1216,3,oracle,3.041,73,-1.6878481514030739,-0.1635090826954766,0.08831849395888809,0.08456086030054577,0.08049645599952755,0.09573911120477699,0.5032238314492513,0.5262558865749991,0.1095890410958904,0.08993860992584284,0.09758305318051957,0.09758305318051957,0.09758305318051957,154000.0,154.0,0.863013698630137,0.136986301369863,73,73,0,23,0,4
0,E_1216,4,oracle,3.041,69,-1.9248963832809238,-0.2669154245007199,0.12177844081005654,0.09102537170841743,0.10257974148550575,0.0982576018585378,0.4349083197480115,0.4904649388374368,0.14492753623188406,0.10895770958429507,0.09758305318051957,0.09758305318051957,0.09758305318051957,221000.0,221.0,0.8405797101449275,0.15942028985507245,69,69,1,26,0,4
0,E_1216,5,oracle,3.041,75,-1.3072440230232267,-0.16856407868116996,0.11421815511549023,0.11983355654568145,0.09854900188913403,0.09590813754355107,0.5165546284505542,0.5993398751280948,0.09333333333333334,0.10317900836827822,0.09758305318051957,0.09758305318051957,0.09758305318051957,161000.0,161.0,0.8666666666666667,0.13333333333333333,75,75,0,20,0,5
0,E_1216,6,oracle,3.041,73,-1.6099462503018174,-0.19707516381049572,0.10906077939718692,0.09436296464385258,0.0884481555439835,0.10126933112987721,0.41441088653277414,0.4811600878674847,0.1095890410958904,0.11158973621584596,0.09758305318051957,0.09758305318051957,0.09758305318051957,211000.0,211.0,0.8767123287671232,0.1232876712328767,73,73,0,22,0,5
0,E_1216,7,oracle,3.041,63,-1.5977021509252545,-0.14070182946516852,0.08093736039051677,0.09210062102220398,0.12077268878635306,0.10308560317263805,0.5682028707996749,0.48110164519505516,0.07936507936507936,0.09533398093185545,0.09758305318051957,0.09758305318051957,0.09758305318051957,161000.0,161.0,0.9206349206349206,0.07936507936507936,63,63,0,31,0,6
0,E_1216,8,oracle,3.041,78,-1.5848233738668411,-0.13035277963704317,0.07599964550040485,0.08216224748901947,0.0965751294366842,0.10166310329822925,0.4707827750751402,0.35922864474424115,0.08974358974358974,0.07858750333426376,0.09758305318051957,0.09758305318051957,0.09758305318051957,151000.0,151.0,0.9102564102564102,0.08974358974358974,78,78,0,21,0,1
0,E_1216,9,oracle,3.041,67,-1.6179724972607978,-0.1603458365992818,0.09016711662148225,0.08831544625996998,0.079033582891822,0.0908625099986992,0.2521089589857953,0.3157112129249805,0.208955223880597,0.10065330869871586,0.09758305318051957,0.09758305318051957,0.09758305318051957,211000.0,211.0,0.8656716417910447,0.13432835820895522,67,67,0,25,0,8
0,E_933,0,oracle,2.333,69,-1.2175031308763806,-0.2509349345499192,0.1708856099947741,0.1601492421914195,0.13553813333569767,0.14485163899683304,0.46375764650367907,0.42783068546787034,0.057971014492753624,0.15407199033833846,0.15520987556979482,0.15520987556979482,0.15520987556979482,201000.0,201.0,0.8260869565217391,0.17391304347826086,69,69,0,24,0,7
0,E_933,1,oracle,2.333,84,-1.0925789527618868,-0.24500324627889025,0.18316874017506357,0.16826156224785938,0.1974834950430654,0.1795174610972486,0.6360150767914741,0.42608950963226677,0.08333333333333333,0.1755880785009283,0.15520987556979482,0.15520987556979482,0.15520987556979482,116000.0,116.0,0.8809523809523809,0.11904761904761904,84,84,0,12,0,4
0,E_933,2,oracle,2.333,83,-0.8906018036011858,-0.16412757070139605,0.15561107398750704,0.13340463557995536,0.13672664265710036,0.14753694294217026,0.46533668625994873,0.3524859316292628,0.07228915662650602,0.15874687224760148,0.15520987556979482,0.15520987556979482,0.15520987556979482,171000.0,171.0,0.7831325301204819,0.21686746987951808,83,83,0,15,0,2
0,E_933,3,oracle,2.333,80,-1.1969633161346773,-0.23816152317457728,0.16595178109327946,0.15466678670460943,0.12864135486414596,0.1553022437574041,0.46129779446696917,0.32006440875904374,0.1125,0.16231193650987874,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,141.0,0.8,0.2,80,80,0,15,0,5
0,E_933,4,oracle,2.333,76,-1.4614812676835136,-0.26151980568939415,0.15178156864258296,0.13350978991255208,0.14616099118145104,0.1558300040057306,0.47748330512237963,0.39200248743881677,0.05263157894736842,0.15150992312384304,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,141.0,0.8421052631578947,0.15789473684210525,76,76,0,22,0,2
0,E_933,5,oracle,2.333,79,-0.9598733551023777,-0.17083184282602648,0.15108433492568368,0.13503555011389212,0.14608550390352038,0.14951319918151193,0.4993878928550851,0.4188169821254421,0.11392405063291139,0.1509217101124113,0.15520987556979482,0.15520987556979482,0.15520987556979482,161000.0,161.0,0.810126582278481,0.189873417721519,79,79,0,17,0,4
0,E_933,6,oracle,2.333,77,-1.1374102736664042,-0.18526637260015022,0.1400692853563955,0.14424465974380066,0.16566472032867804,0.15900676047025034,0.4843410530978778,0.45643702094533584,0.06493506493506493,0.13821022444751707,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,141.0,0.8311688311688312,0.16883116883116883,77,77,0,17,0,6
0,E_933,7,oracle,2.333,71,-0.9935676005981158,-0.14038529918353237,0.12380170217878071,0.13260238732090854,0.1294196026723607,0.1499508666553502,0.5841959212906115,0.4321625490087364,0.08450704225352113,0.12076856633662565,0.15520987556979482,0.15520987556979482,0.15520987556979482,131000.0,131.0,0.7887323943661971,0.2112676056338028,71,71,0,24,0,5
0,E_933,8,oracle,2.333,83,-1.0023740591062023,-0.16542832486419456,0.14165780712123302,0.13159304506410535,0.14768473899344,0.15009834684651036,0.5303512399361411,0.47077727688500126,0.0963855421686747,0.1429691723310862,0.15520987556979482,0.15520987556979482,0.15520987556979482,121000.0,121.0,0.8313253012048193,0.1686746987951807,83,83,0,14,0,3
0,E_933,9,oracle,2.333,72,-0.8326345073160877,-0.17624672869837266,0.17469521922583017,0.15045666998537421,0.13546940687353906,0.13619622010212523,0.27431436867967296,0.4427837194279165,0.16666666666666666,0.19528768126852228,0.15520987556979482,0.15520987556979482,0.15520987556979482,141000.0,141.0,0.7916666666666666,0.20833333333333334,72,72,0,20,0,8
0,E_off,0,raw,nan,65,-1.656837458933257,-0.1772278061695296,0.09663113387603314,0.10488128518868932,0.11306813189668836,0.09463417281976796,0.36797597298668083,0.40003347528826266,0.12307692307692308,0.09636958745841863,0.099399364032505,0.10040308066960642,0.09939837823698666,191000.0,191.0,0.9076923076923077,0.09230769230769231,65,65,0,31,0,4
0,E_off,1,raw,nan,83,-1.352224525029758,-0.18653625834345533,0.12122498854860181,0.12122498854860181,0.12367614095745227,0.12623439650630827,0.5657388922996825,0.40462933642261617,0.1686746987951807,0.12102568523050533,0.12863705972434916,0.13025959070139567,0.12859560067681897,141000.0,141.0,0.8554216867469879,0.14457831325301204,83,83,1,15,0,1
0,E_off,2,raw,nan,78,-1.1207990693250895,-0.1705523384137475,0.1320727552482291,0.10136934059196068,0.12099954783667985,0.11211759897250703,0.5091521333686319,0.4149716631809317,0.16666666666666666,0.1331460555243682,0.10105210105210106,0.10453193981617862,0.10105675694590244,201000.0,201.0,0.8846153846153846,0.11538461538461539,78,78,0,20,0,2
0,E_off,3,raw,nan,74,-1.4959315881359592,-0.16722883908628994,0.1005488324211691,0.0918269863454316,0.09309541424363907,0.11673607495053381,0.6195388362112919,0.3887801769246362,0.1891891891891892,0.10578210288832268,0.11122554067971165,0.111821109111082,0.11123809523809523,141000.0,141.0,0.8513513513513513,0.14864864864864866,74,74,0,20,0,6
0,E_off,4,raw,nan,71,-1.6676704633243418,-0.2085170100130096,0.11113868575302913,0.08643669797448439,0.09779524854916932,0.09499417787458539,0.403236822109879,0.4789499483914315,0.1267605633802817,0.10414414769841122,0.09383292644092983,0.09906835531286881,0.0938347282800896,161000.0,161.0,0.8309859154929577,0.16901408450704225,71,71,0,26,0,3
0,E_off,5,raw,nan,79,-1.1313682130475726,-0.1757407942545024,0.13444999098983978,0.13454692882069144,0.15746108419423915,0.15175500520263813,0.5607789544567763,0.3994783878686407,0.06329113924050633,0.14101690992963306,0.1357218124341412,0.1413077656372037,0.1357360168499883,161000.0,161.0,0.8227848101265823,0.17721518987341772,79,79,0,17,0,4
0,E_off,6,raw,nan,73,-1.6895278250175405,-0.17158942972371793,0.0921970011758196,0.09305400104070877,0.08759989912509301,0.0941347491618802,0.4075867175729232,0.45587308525058595,0.136986301369863,0.09905578180508622,0.08898654215874759,0.09006184430889261,0.08899725693386162,211000.0,211.0,0.8904109589041096,0.1095890410958904,73,73,0,22,0,5
0,E_off,7,raw,nan,65,-1.2696952277652258,-0.11513600941789814,0.08314082346387242,0.09430185888255749,0.12849092126735795,0.10670943232527322,0.6100030309243775,0.5016227480911143,0.1076923076923077,0.07982283531855491,0.1004847950639048,0.10304774610018576,0.10048939641109299,171000.0,171.0,0.8769230769230769,0.12307692307692308,65,65,0,30,0,5
0,E_off,8,raw,nan,77,-1.1655612442724284,-0.11516541375391398,0.08992193067284872,0.08097380907242334,0.08968714655958887,0.09355805385059254,0.5310480752094413,0.5019726718277787,0.07792207792207792,0.08929988772814598,0.10973821989528797,0.11592191317976483,0.10971641097164109,141000.0,141.0,0.8311688311688312,0.16883116883116883,77,77,0,21,0,2
0,E_off,9,raw,nan,69,-1.2461649374537984,-0.1657359588835874,0.11738498028687656,0.10391557579262461,0.06979470929211062,0.09356439175650755,0.12966288028833245,0.29812043925199355,0.17391304347826086,0.09971814793094672,0.11691762621789194,0.11782136317651265,0.11691961776278809,181000.0,181.0,0.782608695652174,0.21739130434782608,69,69,0,20,0,11
0,LR_1216,0,oracle,3.041,69,-1.684365386484406,-0.1855550872833831,0.09923153946194278,0.09678483814521952,0.10478751365848325,0.09713136618351272,0.35939769889496986,0.31853839165127745,0.08695652173913043,0.09923153946194278,0.09758305318051957,0.09758305318051957,0.09758305318051957,41000.0,41.0,0.9710144927536232,0.028985507246376812,69,69,0,31,0,0
0,LR_1216,1,oracle,3.041,85,-1.496414958134018,-0.14702523896747266,0.08946187346931074,0.09720736207300601,0.09343246874871201,0.10076925899370721,0.4040283648707272,0.38063299204778556,0.12941176470588237,0.08946187346931074,0.09758305318051957,0.09758305318051957,0.09758305318051957,31000.0,31.0,0.9411764705882353,0.058823529411764705,85,85,0,15,0,0
0,LR_1216,2,oracle,3.041,80,-1.2259403452344007,-0.11792276864552642,0.08774909246899883,0.08366201622521141,0.1216343764132219,0.09975413200601636,0.2568054700873684,0.21304359022974095,0.1375,0.08774909246899883,0.09758305318051957,0.09758305318051957,0.09758305318051957,51000.0,51.0,0.975,0.025,80,80,0,20,0,0
