env,checkpoint,layer,seed,branch,pool,first_auc,all_auc,first_end_ce,all_end_ce,first_end_acc,all_end_acc
PM,10,1,0,A,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,B20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,C20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,D20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,C5,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,D5,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,C10,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,D10,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,RB20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,RC20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,0,RD20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,1,1,A,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,B20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,C20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,D20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,C5,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,D5,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,C10,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,D10,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,RB20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,RC20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,1,RD20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,1,2,A,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,B20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,C20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,D20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,C5,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,D5,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,C10,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,D10,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,RB20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,RC20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,1,2,RD20,0,0.10063597841053706,0.08579995055069958,3.076076609431766e-05,2.9701392850256526e-05,1.0,1.0
PM,10,2,0,A,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,B20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,C20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,D20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,C5,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,D5,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,C10,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,D10,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,RB20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,RC20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,0,RD20,0,0.07121499054310335,0.08468152420218758,2.1847883544978686e-05,3.144025868095923e-05,1.0,1.0
PM,10,2,1,A,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,B20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,C20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,D20,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,C5,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,D5,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
PM,10,2,1,C10,0,0.0895350396511276,0.085177762374351,3.4909247915493324e-05,2.9700756931561047e-05,1.0,1.0
