arm,completed,diverged,window_median,global_window_median,drop_median,val_window_median,train_min_median,collapsed
SNA,10,0,0.8295535951852798,0.8291543990373611,-0.11078000366687774,0.7933000000000001,0.6981999999999999,0
KKA,10,0,0.8318539977073669,0.831453999876976,-0.11340719759464263,0.798,0.6984,0
R,10,0,0.8694939941167832,0.8690951958298683,-0.12139519751071931,0.8014000000000001,0.7162,0
LR,10,0,0.8448307946324349,0.8444323971867561,-0.1087855845689773,0.7925,0.7081999999999999,0
KKT1,10,0,0.8313795983791351,0.8309800013899804,-0.11218480169773104,0.7943,0.6970000000000001,0
KKA23,10,0,0.8356175944209099,0.8352179929614068,-0.1090927958488464,0.7933000000000001,0.7068,0
SL,10,0,0.8275339961051941,0.8271343976259231,-0.11489839553833009,0.7923,0.6950000000000001,0
RSL,10,0,0.802467194199562,0.8020683988928795,-0.10078879594802853,0.7736000000000001,0.6806000000000001,0
LK001,10,0,0.8673739969730377,0.866984398663044,-0.12048079669475559,0.8010000000000002,0.7202,0
LK03,10,0,0.8042955994606018,0.8039047971367836,-0.09519760608673095,0.7795,0.688,0
ELU,10,0,0.7815744012594223,0.7811707988381386,-0.09475119709968571,0.7663,0.651,0
SILU,10,0,0.8214679956436157,0.8210655972361565,-0.11581199467182152,0.7811,0.6862,0
GELU,10,0,0.8588059991598129,0.8584043964743614,-0.13049920201301574,0.7948000000000002,0.7096,0
