task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,LK001,0,0.5312640070915222,1.132498131412506,0.6192,0.9261089202880859,0.564,1.0816373291015624,62500,500,0.5309280157089233,0.6192,0.564,47.237410445988644,49.269702602003235,"[0.4185599982738495, 0.5051999688148499, 0.5497599840164185, 0.5776000022888184, 0.6051999926567078]"
2,LK001,0,0.7715359926223755,0.6082699465446472,0.8636,0.3564649501800537,0.756,0.7346946716308593,62500,500,0.7712799906730652,0.8636,0.756,31.15620556398062,32.56617228803225,"[0.6311999559402466, 0.7716799974441528, 0.8003999590873718, 0.8199999928474426, 0.8343999981880188]"
3,LK001,0,0.7067840099334717,0.7116443267021179,0.8096,0.47519337158203123,0.764,0.7510265808105469,62500,500,0.7064480185508728,0.8096,0.764,31.18820129602682,32.58277365897084,"[0.5779199600219727, 0.6875999569892883, 0.7226399779319763, 0.7633599638938904, 0.7823999524116516]"
4,LK001,0,0.691648006439209,0.8156600810241699,0.7872,0.5802799530029297,0.704,0.8381932678222657,62500,500,0.6911839842796326,0.7872,0.704,31.20408100099303,32.591072924027685,"[0.5630399584770203, 0.6645599603652954, 0.7133600115776062, 0.7468799948692322, 0.7703999876976013]"
5,LK001,0,0.7071359753608704,0.7637686052360534,0.8232,0.4610636173248291,0.716,0.8001824035644531,62500,500,0.7067040205001831,0.8232,0.716,31.206357804010622,32.591132764995564,"[0.5831199884414673, 0.6806399822235107, 0.7263999581336975, 0.7595199942588806, 0.7859999537467957]"
6,LK001,0,0.7249760031700134,0.7378064823284148,0.834,0.46529490966796877,0.656,0.9239293518066406,62500,500,0.7245919704437256,0.834,0.656,31.198631023988128,32.72274550702423,"[0.604640007019043, 0.6977599859237671, 0.7472800016403198, 0.777999997138977, 0.7971999645233154]"
7,LK001,0,0.8527200222015381,0.3869221153841019,0.9412,0.1577062526702881,0.872,0.3025096130371094,62500,500,0.8523520231246948,0.9412,0.872,31.195322193030734,32.7342386469827,"[0.7419999837875366, 0.8360799551010132, 0.8751999735832214, 0.8983999490737915, 0.9119199514389038]"
8,LK001,0,0.7607839703559875,0.627186999212265,0.8744,0.3442805849075317,0.752,0.7364728698730468,62500,500,0.7603359818458557,0.8744,0.752,31.199895212019328,32.93707948102383,"[0.6499199867248535, 0.7457599639892578, 0.7744799852371216, 0.8022399544715881, 0.8315199613571167]"
9,LK001,0,0.8538720011711121,0.4129484296293259,0.9464,0.15307837467193602,0.8,0.6496517333984375,62500,500,0.8535040020942688,0.9464,0.8,31.21902371000033,32.78618523402838,"[0.7465599775314331, 0.8383199572563171, 0.8774399757385254, 0.8967999815940857, 0.9102399945259094]"
10,LK001,0,0.744271993637085,0.665433104473114,0.8532,0.377753604888916,0.604,1.1843528442382814,62500,500,0.7438079714775085,0.8532,0.604,31.198541487043258,32.59724032203667,"[0.6215199828147888, 0.7213599681854248, 0.7644799947738647, 0.7909599542617798, 0.8230400085449219]"
11,LK001,0,0.835312008857727,0.44924327579975126,0.9508,0.14743629264831543,0.832,0.5062875061035156,62500,500,0.834879994392395,0.9508,0.832,31.198855660972185,32.60438075294951,"[0.7046399712562561, 0.8285599946975708, 0.8579199910163879, 0.8828799724578857, 0.9025599956512451]"
