cell,noise_sd,online_tail,eval_tail,diff,sigma_sq
n0.5_K10000_bfree,0.5,0.434746701,0.16280189770000003,0.2719448033,0.25
n0_K10000_bfree,0.0,0.1270446259,0.1080348139,0.019009812000000004,0.0
n0_K1000_bfree,0.0,0.308620159,0.192150922,0.116469237,0.0
n0_K100_bfree,0.0,0.8259811779999999,0.695875687,0.130105491,0.0
n1_K10000_bfree,1.0,1.31319436,0.288867786,1.024326574,1.0
n2_K10000_bfree,2.0,4.65958289,0.640663719,4.018919171,4.0
