arm,seed,t,z2_rms,frac_mean,neg_units,neg_entries,a2_rms,vis_a2,zc_rms,rel_a2,rel_z2,rel_zc,vis_new,vis_old,dz_from_a2,dz_from_W3,dz_total,cos_a2part_W3part
A,0,1,16.46151532967502,0.2752843627744271,0.9399999976158142,0.6899416446685791,6.118106677998083,0.11772162112203449,8.55613545445181,,,,,,,,,
A,0,2,32.529290670380746,0.5366144494625952,1.0,0.8725500106811523,6.069884459637538,0.1256298472875519,9.213708255771325,1.3210968618721972,1.6852803119318336,1.4315084667677713,0.11972085829790367,0.12256651009525374,1309.4721881372623,527.249408101952,1341.7209327637547,-0.13821133875591637
A,0,3,40.06491708076674,0.5662053046680079,0.9899999499320984,0.8821333646774292,7.028926981608322,0.12149232860058094,9.694841762335521,1.2992213557246939,0.8524873275997187,1.3811681867714465,0.14369772451433235,0.14328865425028287,1291.7524922780947,453.86716572660225,1394.0284785453364,0.05919718948241849
A,0,4,50.15937589971926,0.6060491458100089,1.0,0.9036916494369507,7.934803076660183,0.10921490202972976,9.837696874610325,1.2426942606036444,0.8171879615173282,1.355197697090479,0.1356630563094556,0.1355125155445932,1320.3001138301402,601.271116547082,1439.2425927993422,-0.020938989420370008
A,0,5,55.893790604699646,0.5972653986564213,1.0,0.90399169921875,8.834380359029751,0.11274511315436334,10.41626546110074,1.1791852520625958,0.7164526794932945,1.3641013063272545,0.13356716463667717,0.13832396887898918,1315.9447228043528,543.2153342618584,1470.045187004837,0.09398060205881277
A,0,6,66.76478534779538,0.5966021337651904,1.0,0.9053916931152344,10.636987035081592,0.0972517023449807,10.92243633415093,1.2401860502688782,0.7446796371349786,1.365623209127059,0.12195997236141835,0.13205672458426493,1377.440481158485,681.2384020165287,1558.2371408145157,0.03497401601582058
A,0,7,78.23523746429728,0.6069264212484538,1.0,0.9119333624839783,12.039536059200195,0.0900265434364573,11.801465257464427,1.1480977208068257,0.704656513511994,1.3657010644067242,0.12646827735651844,0.12996722769168656,1551.9582600212314,880.2700589754894,1634.0516989560624,-0.18793941555076493
A,0,8,86.65205630218293,0.5981452083947918,1.0,0.9137666821479797,13.005384475895086,0.09291482505599574,12.811917785332396,1.1021336556503891,0.6582850415734522,1.4059767836198296,0.11760043499889493,0.12522804109837982,1616.8209185481057,867.4815053186421,1817.626745949878,-0.022444228135195966
A,0,9,97.5411443024985,0.631135897351994,1.0,0.9297500252723694,13.68335885848416,0.08154723467177213,12.417618746148538,1.048061396146041,0.6365932755245415,1.309128702076434,0.11445449428795508,0.1295232516421078,1611.8018300812503,848.5636537057225,1837.3297654001385,0.021001256532745188
A,0,10,106.61971351636859,0.6306311007558766,1.0,0.9310916662216187,14.813972753849908,0.07838724882781702,12.912777669153789,1.0291739812087422,0.6019329793608135,1.3679182313118197,0.11918015968108683,0.12667196580369394,1660.9488627307944,985.4989672145524,1860.7545195553635,-0.08217809389156683
A,0,11,108.58288603045521,0.6221250528187066,1.0,0.9273499846458435,15.28432594383541,0.08129536636875812,12.942840153370499,1.0072153455463906,0.5780664131006171,1.3295570596611301,0.11601248310268863,0.12249317731454806,1653.7621259312043,984.1707374908868,1880.6902664069387,-0.05105594433836097
A,0,12,111.99600810049643,0.6138937530204411,1.0,0.9208083152770996,16.32004371839899,0.07706305576642856,13.177564465716472,1.042267827344497,0.5914531049705888,1.3692857860228482,0.10886522117064798,0.12026233360986904,1681.9941457794353,1157.170314798683,1941.3968049992734,-0.10301338934403587
A,0,13,120.99394376103945,0.6286029702253759,1.0,0.9272249937057495,17.47695950274395,0.07409784182451966,13.835954109655196,0.9965483293929321,0.5796496889657268,1.35550015580064,0.11140774314227092,0.1160038337899158,1743.1284104115707,1169.4150895613927,1956.7049530746974,-0.1415636815309854
A,0,14,133.97971749941556,0.6366414529235341,1.0,0.9346416592597961,18.343282957170285,0.07100862245769748,14.494887158502188,0.9743115717548086,0.5773523322154472,1.3321885991244786,0.108984200940784,0.11933877073229156,1823.9900577857632,1145.9454982900759,2019.1354258092551,-0.1346114954636738
A,0,15,143.80069420893793,0.6455535345837031,1.0,0.935533344745636,19.580605270504318,0.07432189389062989,15.907206026645593,0.9537915901338757,0.5486937518488089,1.3553720222977736,0.11666123575813019,0.12210112116081091,1940.2726790993468,1150.29289464666,2152.107586419262,-0.10221813867658512
A,0,16,147.62344872108702,0.6492239208632774,1.0,0.9389083385467529,19.685581284278754,0.06997995440429607,15.701991051864784,0.8813463232908171,0.4977823654551112,1.2988747792685085,0.11772029395369649,0.1252380798932964,1947.604728003376,1367.9031401921004,2263.350497457988,-0.10124119272342455
A,0,17,152.91146109325814,0.6423800582053087,1.0,0.9356499910354614,20.350943881890537,0.07237029865870627,15.683139382857128,0.9122458580344405,0.5101914325094518,1.3128543666663148,0.11825255426286113,0.12277252010985251,1940.1273929861022,1265.0823369316427,2258.1973923104288,-0.053697698752313
A,0,18,152.8646500039929,0.6373382085929828,1.0,0.9296333193778992,21.541251115105325,0.07374540098757665,16.446817236195244,0.9614346650380438,0.5322355991725319,1.354818626030595,0.11305540389608958,0.11774297330342515,2026.686522576798,1413.824732945191,2327.580895770764,-0.12017561519563359
A,0,19,165.5298244820965,0.6579239676636567,1.0,0.9431666731834412,22.093614987983877,0.06834499214286367,16.261936702579217,0.9263435840225949,0.5449525724174059,1.3226714819818717,0.1142731656025476,0.11485034565711864,2085.2045639032463,1429.6844489272087,2383.002397429451,-0.11966194958422373
A,0,20,172.73823829040433,0.6423714420906464,1.0,0.9367916584014893,22.94179769711735,0.06223510282829425,15.775782195236463,0.9047384108529655,0.5136163288206138,1.2698332124179843,0.10563597321879452,0.1168297511035753,1972.6029451852908,1302.4478081063946,2262.088392039174,-0.09113565783144346
A,0,21,175.04414314139413,0.6517815750480587,1.0,0.9407416582107544,23.107193250927402,0.06252269156708568,16.636632626606172,0.8658716527500243,0.48434044281322713,1.3485737730975769,0.10927354991994105,0.11652948750279786,2058.105734635357,1444.3205499387323,2330.538243540749,-0.1497122185702503
A,0,22,189.007595592919,0.667715125592648,1.0,0.9444666504859924,24.605516834722703,0.05778849989312745,17.158978562022686,0.8861805807732875,0.5038135070007392,1.347502205955227,0.10777086198369858,0.11669291791619192,2142.0114259575585,1465.456185528691,2455.7578128018304,-0.1125342619525866
A,0,23,193.28116161212395,0.6533729366894753,1.0,0.9221500158309937,27.532119020706336,0.059523801373062686,20.597637489738172,0.9734736734208902,0.5240146422277437,1.437007630729421,0.09692870731751375,0.09775518667613915,2518.7783039787855,1708.9222132716766,2701.102898678762,-0.22858939011128
A,0,24,210.91341549911658,0.6808954024245555,1.0,0.9509833455085754,26.123980711690184,0.04946668361286243,17.21372995360143,0.8503063847275178,0.5125386991929828,1.211273771609898,0.09664858902516259,0.1056824260447172,2352.941259418208,1803.6994534861456,2733.067430571902,-0.15587722410592403
